"table s24:  awareness of police and crime commissioners, by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,,,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentages,,,,Percentages,,unknown
ALL ADULTS,57.26855694123583,28529,,Respondent's employment status,,,unknown
,,,,In employment,56.9915431843226,16270,unknown
Age,,,,Unemployed,36.27503986037372,528,unknown
16–24,31.244513297717862,1740,,Economically inactive,59.08249281764546,11722,unknown
25–34,45.14845443317308,3968,,Student,27.819998979055576,456,unknown
35–44,53.50890884836228,4408,,Looking after family/home,38.51315975484071,1114,unknown
45–54,63.36105636256729,4813,,Long-term/temporarily sick/ill,49.08913063513432,1245,unknown
55–64,68.71541199707136,4787,,Retired,69.22332727658377,8649,unknown
65–74,74.19809018039732,4782,,Other inactive,40.380966306734635,258,unknown
75+,62.60585898492555,4031,,,,,unknown
,,,,Respondent's occupation,,,unknown
Men,60.55741454587231,13115,,Managerial and professional occupations,70.35226551234204,10287,unknown
,,,,Intermediate occupations,60.17219640735384,6596,unknown
16-24,33.35369956437017,820,,Routine and manual occupations,48.30613521148933,9938,unknown
25-34,48.530247182642015,1708,,Never worked and long-term unemployed,30.450487203563075,786,unknown
35-44,53.992634427804695,1925,,Full-time students,29.509060706603947,715,unknown
45-54,66.55120719974494,2238,,Not classified,54.62311606787027,207,unknown
55-64,72.32765186489326,2324,,,,,unknown
65-74,78.81497192094719,2268,,Highest qualification,,,unknown
75+,72.62578575856254,1832,,Degree or diploma,66.76846581824333,11383,unknown
,,,,Apprenticeship or A/AS level,57.348374643952894,5160,unknown
Women,54.0987220564758,15414,,O level/GCSE,52.3596220607645,5196,unknown
,,,,Other,44.48787625605161,1310,unknown
16-24,28.984858036984924,920,,,43.40667169047524,5392,unknown
25-34,41.77934528578207,2260,,,,,unknown
35-44,53.02974206630103,2483,,Disability3,,,unknown
45-54,60.274449422537046,2575,,Disabled ,57.228456801495895,5896,unknown
55-64,65.16036719284544,2463,,Not Disabled,57.304916301255915,22553,unknown
65-74,69.89746326892322,2514,,,,,unknown
75+,54.73191944525445,2199,,Religion,,,unknown
,,,,No religion,55.183355020647376,10698,unknown
Ethnic group,,,,Christian,61.20576271372872,16378,unknown
White ,59.55094467603096,26484,,Buddhist,51.5566717170439,121,unknown
English/Welsh/Scottish/Northern Irish/British,61.54692295124119,24999,,Hindu,34.04537387960793,236,unknown
Irish,62.039248964645296,193,,Jewish,68.24973298227731,65,unknown
"Gypsy, Traveller or Irish Traveller",-,9,,Muslim,28.76398248972474,686,unknown
Any other White background,26.18715338546273,1283,,Sikh,42.55129355469614,123,unknown
Mixed/Multiple,43.32076915729666,250,,Other,61.63902167815589,162,unknown
White and Black Caribbean,41.13036893009873,91,,,,,unknown
White and Black African,-,28,,Sexual orientation4,,,unknown
White and Asian,41.79161385115195,70,,Heterosexual/straight,57.74234194185601,22036,unknown
Any other Mixed/Multiple background,57.295097292072086,61,,Gay/Lesbian,59.99116963143438,315,unknown
Asian/Asian British,32.075682791864985,1216,,Bisexual,56.102622885093446,308,unknown
Indian,36.54238355937719,463,,Other,44.54822391627998,132,unknown
Pakistani,31.56750471498533,348,,,,,unknown
Bangladeshi,29.219232517877696,98,,Experience of crime in last 12 months (including fraud and computer misuse),,,unknown
Chinese,30.616682070708794,108,,Victim,58.82337407138656,5536,unknown
Any other Asian background,25.230868866642908,199,,Not a victim,56.8699716093488,22993,unknown
Black/African/Caribbean/Black British,38.842892943890575,403,,,,,unknown
African,33.51131704951203,249,,Hours out of home on an average weekday,,,unknown
Caribbean,53.68068971143136,116,,Less than 3 hours,57.95667983302214,8848,unknown
Any other Black/African/Caribbean background,-,38,,3 hours or more but less than 7 hours,59.578733040954866,7543,unknown
Other ethnic group,26.24517580644551,138,,7 hours or longer,55.57323791630354,12007,unknown
Arab,23.587562307213528,50,,,,,unknown
Any other ethnic group,28.098595464834474,88,,Number of evening visits to pub/bar in the last month,,,unknown
,,,,,53.452465950986294,14911,unknown
Marital status,,,,Less than once a week ,61.98872403780133,8692,unknown
Married/civil partnered,65.3281775733393,13174,,Once a week or more often,59.48021545254941,4904,unknown
Cohabiting,51.2643848225153,3096,,,,,unknown
Single,42.032065719626026,5867,,Number of visits to a nightclub in the last month,,,unknown
Separated,56.096621486444086,832,,,58.47731417177726,27195,unknown
Divorced/legally dissolved partnership,60.89385491498101,2556,,1-3 times a month,41.21805463913527,1148,unknown
Widowed,55.30651923003893,2963,,4+ times a month,40.17753173186378,179,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,unknown
1. Section 7.3 of User Guide provides definitions of personal characteristics.,,,,,,,unknown
2. Unweighted base refers to non-London residents only,,,,,,,unknown
"3. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,unknown
"4. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
