"table s25:  awareness of police and crime commissioners, by household and area characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentages,,unknown
ALL ADULTS,57.26855694123583,28529,unknown
Structure of household,,,unknown
Single adult and child(ren),40.7712969726836,1321,unknown
Adults and child(ren),49.80123521517801,5990,unknown
Adult(s) and no child(ren),60.535271723373306,21218,unknown
Tenure,,,unknown
Owner occupiers,65.02657752370708,19125,unknown
Social renters,43.941465891324036,4419,unknown
Private renters,41.05463276436899,4887,unknown
Accommodation type ,,,unknown
Houses,58.451848044510534,25242,unknown
Detached,68.37406200027402,8134,unknown
Semi-detached,56.88311230638201,9274,unknown
Terraced,50.08226975491272,7834,unknown
Flats/maisonettes,46.023778801743696,3137,unknown
Other accomodation,64.05314558908178,83,unknown
Output Area Classification,,,unknown
Rural residents ,69.34703017052767,4542,unknown
Cosmopolitans ,46.78586823508401,723,unknown
Ethnicity central ,39.477165460712136,255,unknown
Multicultural metropolitans ,41.05697104670703,2389,unknown
Urbanities ,59.373290202720185,5522,unknown
Suburbanities ,65.16783551345058,6744,unknown
Constrained city dwellers ,47.143593725992744,2113,unknown
Hard-pressed living ,51.355442629485395,6241,unknown
Area type,,,unknown
Urban,54.4210134832888,21121,unknown
Rural,66.44901367621486,7408,unknown
Level of physical disorder,,,unknown
High,40.06718807406544,1237,unknown
Not high,58.0652343175321,27170,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,45.67697736645382,5091,unknown
Other Output Areas,57.8954317712438,15739,unknown
20% least deprived Output Areas,65.13082002096363,5197,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,49.127873543722,457,unknown
Other Output Areas,60.764930382425575,1525,unknown
20% least deprived Output Areas,69.74779426306173,520,unknown
Region,,,unknown
North East,51.875261157342,2001,unknown
North West,53.164521188276694,2967,unknown
Yorkshire and The Humber,58.31826877584504,3142,unknown
East Midlands,61.06490723854803,2969,unknown
West Midlands,55.18691612886778,3086,unknown
East of England,54.26246659858393,3958,unknown
London3,0,0,unknown
South East,56.26386742362237,4397,unknown
South West,64.15043822857137,3507,unknown
Wales,60.43136514609081,2502,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of area and household characteristics.,,,unknown
2. Unweighted base refers to non-London residents only,,,unknown
3. Within the London area responsibility for holding police to account is the responsibility of the Mayor of London and not a Police and Crime Commissioner.,,,unknown
