"table s26:  contact and details of contact with police and crime commissioners (pcc), year ending march 2019 csew",unnamed: 1,age_band
England and Wales,Adults aged 16 and over,unknown
,Percentage,unknown
Had contacted their local PCC in the last 12 months,1.377924739878949,unknown
Unweighted base - number of adults1,28520,unknown
How contact made2,,unknown
By telephone,22.694726038810796,unknown
At a local event,27.76665575469332,unknown
By email,19.391195457163278,unknown
Had contact with them through work,17.855181852295704,unknown
At a surgery session,5.174965662993485,unknown
By letter,4.758807637113414,unknown
"Know them socially (friend, family friend, acquaintance)",1.2183429215445067,unknown
"Through election activity (Canvassed by them, campaign event, election rally)",0.6416285043110123,unknown
Some other way,14.246476241016579,unknown
Nature of contact2,,unknown
Shared information on community activity / local crime,29.57025855879914,unknown
Shared views on policing / crime priorities,20.615102397380205,unknown
Had contact with them through work,16.45950492273159,unknown
Spoke to them as a victim of crime,8.94972485556717,unknown
Asked for information,11.056973396233328,unknown
Shared views on police budget / council tax charged for the police,3.613479509492961,unknown
Made a complaint about the local police,4.953852619899747,unknown
Made a complaint about the PCC or their office,0.6144371247491689,unknown
Something else,21.634277591992447,unknown
Unweighted base - number of adults3,415,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,unknown
1. The unweighted base is adults resident outside of the London Area. Within the London area responsibility for holding police to account is the responsibility of the Mayor of London and not a Police and Crime Commissioner.,,unknown
2. Figures add to more than 100 as more than one response is possible.,,unknown
3. Unweighted base refer to questions on how contact with PCC was made. Bases for the questions on nature of contact will be similar.,,unknown
