"table s29: perceptions of changing crime levels by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
,National,Local,,Unweighted base - number of adults2,,,National,Local,,Unweighted base - number of adults2,unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,,,,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,,unknown
ALL ADULTS,80.84642166266887,49.60991184179729,,16721,,,,,,,unknown
16-24,75.9060779415675,42.038056320477246,,1019,,Respondent's employment status,,,,,unknown
25-34,76.19508276114279,51.73647335521841,,2426,,In employment,78.61801584881024,52.19234273642992,,9659,unknown
35-44,76.87547823561329,52.763428538897784,,2727,,Unemployed,84.38810732578513,48.552669136113145,,297,unknown
45-54,80.6319946377856,55.952058424945726,,2840,,Economically inactive,84.6438141523011,45.45295059663468,,6749,unknown
55-64,83.89205533648985,52.47372982820874,,2776,,Student,68.33351395001267,37.08587543389521,,276,unknown
65-74,87.50394014467545,46.34126164607173,,2689,,Looking after family/home,85.5819591288119,56.852097357654955,,674,unknown
75+,88.67554015934867,39.55858890800457,,2244,,Long-term/temporarily sick/ill,84.93705850439413,53.6755114809054,,732,unknown
,,,,,,Retired,87.40267173885236,43.501543724151794,,4870,unknown
Men,77.23379575355638,45.6322605248804,,7772,,Other inactive,78.21876076393546,45.61505477773352,,197,unknown
16-24,70.57053767271668,40.19412698491138,,480,,Respondent's occupation,,,,,unknown
25-34,71.98551006334296,44.67449615492991,,1067,,,,,,,unknown
35-44,72.07430463605645,46.380012709169996,,1212,,Managerial and professional occupations,76.34395240710865,49.08383890576463,,6128,unknown
45-54,77.64117294530303,51.52208135785447,,1338,,Intermediate occupations,84.69026398115517,51.99871550039734,,3938,unknown
55-64,80.27960846499667,50.74307664475661,,1329,,Routine and manual occupations,84.484347366485,50.151871070803644,,5567,unknown
65-74,87.2223845923534,43.69458794297297,,1306,,Never worked and long-term unemployed,83.12414296022553,47.1814404834307,,488,unknown
75+,86.65036839624088,35.47620793578956,,1040,,Full-time students,71.50415655328338,38.38246419025911,,433,unknown
,,,,,,Not classified,80.59693439678513,50.27466638980055,,167,unknown
Women,84.39387963880154,53.42182630814306,,8949,,,,,,,unknown
,,,,,,Highest qualification,,,,,unknown
16-24,81.51847886077248,43.89490418567132,,539,,Degree or diploma,75.70101374575977,49.35199725696834,,6899,unknown
25-34,80.62496253730276,58.9492507584404,,1359,,Apprenticeship or A/AS level,82.34221047835617,49.66605885128328,,2973,unknown
35-44,81.79282889968883,58.84589940998719,,1515,,O level/GCSE,86.82109701772859,52.410895210603044,,2969,unknown
45-54,83.48652053432282,60.146122199401105,,1502,,Other,78.96571276226526,45.7886514957253,,770,unknown
55-64,87.41022505857077,54.1373409441432,,1447,,,86.06359167772678,48.05715578733133,,3039,unknown
65-74,87.77585015600953,48.98997308048052,,1383,,,,,,,unknown
75+,90.31889013208644,42.930269924033475,,1204,,Disability3 ,,,,,unknown
,,,,,,Disabled,87.04948906005353,52.09043436810244,,3321,unknown
Ethnic group,,,,,,Not disabled,79.56080095473477,49.04403434980971,,13346,unknown
White ,81.20362724202276,48.957281786866425,,14937,,,,,,,unknown
English/Welsh/Scottish/Northern Irish/ British ,82.47924556279389,49.298713802680474,,13860,,Religion,,,,,unknown
Irish ,86.09121132281311,49.74132358240748,,143,,No religion,76.41879580171789,45.82492817544869,,6067,unknown
"Gypsy, Traveller or Irish Traveller ",-,-,,6,,Christian,84.13549796824671,50.733368664938084,,9463,unknown
Any other White background,65.40126169324571,43.153396069631825,,928,,Buddhist,74.01833605641185,45.807004230915126,,72,unknown
Mixed/Multiple,72.48015012005172,51.04883415266597,,191,,Hindu,84.15175191617152,66.81422361358263,,210,unknown
White and Black Caribbean ,80.19459285397747,57.29669928318676,,61,,Muslim,78.75809100233138,55.49722398742464,,601,unknown
White and Black African ,47.62100710119292,31.02885368170557,,25,,Sikh,90.27147158525234,68.44401337645719,,95,unknown
White and Asian ,-,-,,47,,Other,80.27870077816769,57.31690210241366,,171,unknown
Any other Mixed/ Multiple ethnic background,66.08422405377168,61.63817162146598,,58,,,,,,,unknown
Asian/Asian British,79.92442558456688,59.76902574852468,,975,,Sexual Orientation4,,,,,unknown
Indian ,85.23594214971925,65.89791150134903,,367,,Heterosexual or straight,80.40828702986195,50.88903959411749,,12968,unknown
Pakistani ,81.75761754785403,56.11159834918635,,242,,Gay or lesbian,73.355113430545,49.94486600302756,,215,unknown
Bangladeshi ,82.79701064727607,72.54002099295602,,103,,Bisexual,72.6788221359032,46.02735316369189,,183,unknown
Chinese ,66.14958785475972,55.07369248283502,,84,,Other,84.45480519722278,65.2630507473985,,93,unknown
Any other Asian background ,69.9984080824283,44.24300869866473,,179,,,,,,,unknown
Black/African/Caribbean/Black British,80.01691899973241,43.38285129719005,,441,,Experience of crime in last 12 months (including fraud and computer misuse),,,,,unknown
African ,78.095589577911,40.44649630939122,,266,,Victim,83.34679804522932,62.25858551930439,,3428,unknown
Caribbean ,83.8888506989371,48.71438276025986,,148,,Not a victim,80.15210973583461,46.15828934810984,,13293,unknown
Any other Black/ African/ Caribbean background,-,-,,27,,,,,,,unknown
Other ethnic group,73.66379681522194,44.34934779198205,,143,,Hours out of home on an average weekday,,,,,unknown
Arab ,72.38007227852137,31.533119938405672,,52,,Less than 3 hours,84.67121859415965,46.367005497557415,,5061,unknown
Any other ethnic group ,74.4740709982699,51.67929621521573,,91,,3 hours or more but less than 7 hours,81.37812991847795,50.02136679170977,,4357,unknown
,,,,,,7 hours or longer,78.50208866010229,51.25807882984722,,7231,unknown
Marital status,,,,,,,,,,,unknown
Married/civil partnered,82.64483646408804,51.54390580095003,,7636,,Number of evening visits to pub/bar in the last month,,,,,unknown
Cohabiting,80.50460116303604,53.03287132670138,,1773,,,82.89742226694669,49.119303803427776,,8910,unknown
Single,75.11314148766134,45.490954371467495,,3720,,Less than once a week ,80.21303509529871,50.98735369768035,,4980,unknown
Separated,77.95827941252448,53.23954912279374,,488,,Once a week or more often,76.21082589316094,48.74326525890578,,2818,unknown
Divorced/legally dissolved partnership,85.24187728954514,49.96190757877477,,1431,,,,,,,unknown
Widowed,87.02702585325305,41.60712186899581,,1638,,Number of visits to a nightclub in the last month,,,,,unknown
,,,,,,,81.50292600943624,49.8552163485591,,15925,unknown
,,,,,,1-3 times a month,72.35979531193667,45.98492534399002,,689,unknown
,,,,,,4+ times a month,72.28186975607798,44.15132183150318,,105,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,unknown
1. See Section 7.3 of User Guide for definitions of personal characteristics.,,,,,,,,,,,unknown
2. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more.,,,,,,,,,,,unknown
"3. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,,,,,unknown
"4. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,,,unknown
