"table s3: ratings of the local police, by household and area characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Local police,Unweighted base - number of adults,unknown
,"Percentage saying police 
doing a good/excellent job",,unknown
ALL ADULTS,57.51245099903255,32154,unknown
Structure of household,,,unknown
Single adult and child(ren),58.19660934982157,1541,unknown
Adults and child(ren),60.10274836188058,7143,unknown
Adult(s) and no child(ren),56.4973259598166,23470,unknown
Tenure,,,unknown
Owner occupiers,56.27712451138013,20669,unknown
Social renters,53.50493881899008,5400,unknown
Private renters,64.01017071437124,5941,unknown
Accommodation type ,,,unknown
Houses,56.99957775030372,27264,unknown
Detached,57.485273654881055,7976,unknown
Semi-detached,56.7326681112863,9964,unknown
Terraced,56.881909457891766,9324,unknown
Flats/maisonettes,60.55783769486294,4738,unknown
Other accomodation ,55.04421824396935,74,unknown
Output Area Classification,,,unknown
Rural residents ,57.50234279618789,4221,unknown
Cosmopolitans ,67.55078900122075,1214,unknown
Ethnicity central ,56.010898696772024,1689,unknown
Multicultural metropolitans ,55.28835974709031,3878,unknown
Urbanities ,60.004240959349154,5803,unknown
Suburbanities ,58.66112917317996,6852,unknown
Constrained city dwellers ,54.873584693245355,2198,unknown
Hard-pressed living ,54.35492255216579,6299,unknown
Area type,,,unknown
Urban,57.583893944548635,25228,unknown
Rural,57.204792125506955,6926,unknown
Level of physical disorder,,,unknown
High,54.71629626661969,1516,unknown
Not high,57.60283873772951,30514,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,51.904594927008205,5882,unknown
Other output areas,57.72702345907279,18224,unknown
20% least deprived output areas,61.730919991708376,5672,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,52.369632816403765,440,unknown
Other output areas,60.91017969035195,1442,unknown
20% least deprived output areas,63.92656996766111,494,unknown
Region,,,unknown
North East,64.58469171792021,1903,unknown
North West,56.080450948430126,4146,unknown
Yorkshire and The Humber,56.55609871004796,2979,unknown
East Midlands,53.55814026091065,2811,unknown
West Midlands,52.774169499539134,2855,unknown
East,55.512214181332645,3751,unknown
London,57.987378779767425,3946,unknown
South East,59.83667653582078,4078,unknown
South West,61.45405155868898,3309,unknown
Wales,59.87888377823401,2376,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,unknown
