"table s30: perceptions of changing crime levels by household and area characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,Adults aged 16 and over,unknown
,National,Local,,"Unweighted base
 - number of adults2",unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,,unknown
ALL ADULTS,80.84642166266887,49.60991184179729,,16721,unknown
Structure of household,,,,,unknown
Single adult and child(ren),84.8765097803308,56.83429119556828,,772,unknown
Adults and child(ren),79.65754169243537,54.21183265819497,,3646,unknown
Adult(s) and no child(ren),81.15284862896479,47.679170581519834,,12303,unknown
Tenure,,,,,unknown
Owner occupiers,82.36183453716454,50.17863094835806,,10908,unknown
Social renters,84.81237715111939,48.41305145938918,,2773,unknown
Private renters,73.76123943816461,48.41844318638237,,2970,unknown
Accommodation type ,,,,,unknown
Houses,81.89540456714619,50.07227295912947,,14244,unknown
Detached,81.05619141181893,46.539154279283586,,4222,unknown
Semi-detached,83.64273153855225,50.54598000215436,,5241,unknown
Terraced,80.74592568234968,52.812006124456424,,4781,unknown
Flats/maisonettes,73.94355110850086,46.427535867522195,,2398,unknown
Other Accomodation,-,-,,42,unknown
Output Area Classification,,,,,unknown
Rural residents,82.20714365283273,40.067976009639594,,2236,unknown
Cosmopolitans,62.81928260191414,42.40969779556544,,611,unknown
Ethnicity central,72.95424243072804,51.407705023978856,,862,unknown
Multicultural metropolitans,78.57454988746227,58.42527257250721,,2002,unknown
Urbanites,80.40687146485817,48.32901275424562,,2985,unknown
Suburbanites,83.00381724291111,49.045679295917104,,3652,unknown
Constrained city dwellers,84.26099159670215,51.60243067696306,,1129,unknown
Hard-pressed living,85.65701247892643,50.98800620910492,,3244,unknown
Area type,,,,,unknown
Urban,80.68360324530789,51.728934172656935,,13032,unknown
Rural,81.53162630585506,40.973614091826285,,3689,unknown
Level of physical disorder,,,,,unknown
High,78.34694407827068,57.061964314854464,,765,unknown
Not high,81.01105611651006,49.264169442583466,,15882,unknown
English Indices of Deprivation (Employment),,,,,unknown
20% most deprived output areas,83.51217453425716,54.74840080476751,,3030,unknown
Other output areas,81.12690116819998,49.8702570359074,,9486,unknown
20% least deprived output areas,77.06813190142594,45.983247066578656,,2970,unknown
Welsh Indices of Deprivation (Employment),,,,,unknown
20% most deprived output areas,85.0720328674006,45.70253151776471,,213,unknown
Other output areas,83.03375717862741,41.49366112820944,,756,unknown
20% least deprived output areas,75.84827357324083,37.877143227441756,,266,unknown
Region,,,,,unknown
North East,82.8779613246052,47.68865763078755,,988,unknown
North West,81.34611405385108,49.6474595362392,,2168,unknown
Yorkshire and The Humber,83.45312558637113,50.58673737456125,,1547,unknown
East Midlands,82.91154792481397,47.72283179943349,,1459,unknown
West Midlands,85.88970845568102,54.76343210825332,,1523,unknown
East of England,84.1577545074288,56.142483372045206,,1964,unknown
London,75.66919974682132,55.06473416636797,,1985,unknown
South East,77.83520138589468,46.09616685443913,,2133,unknown
South West,78.25627273737902,41.132855952115605,,1719,unknown
Wales,81.72425067116552,41.45236904357253,,1235,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,unknown
2. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more.,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,unknown
