"table s32:  worry about crime by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
England and Wales,,,,,,,,,Adults aged 16 and over,,,,unknown
,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,,,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,unknown
,Percentage with high levels of worry,,,,,,,Percentage with high levels of worry,,,,,unknown
ALL ADULTS,9.83585330371812,6.663276039514882,19.443121521972024,9.497210920766866,8623,,Respondent's employment status,,,,,,unknown
,,,,,,,In employment,9.69505857310087,6.808144740554751,17.926002365538498,8.975944434964306,4946,unknown
16-24,7.995494496190241,4.848520437681442,11.251721312532958,9.980097462967743,565,,Unemployed,8.898934217322306,8.873723341463997,15.011186601118304,11.726886827808007,148,unknown
25-34,9.210542200935953,7.048593850471812,15.208982219931192,9.174459391433757,1244,,Economically inactive,10.163520847035,6.24049486468497,22.478983703858752,10.20065845333532,3523,unknown
35-44,10.910644603127512,8.418765408067035,16.724621071305783,10.174098654454285,1437,,Student,7.377624284229755,0,7.636868968154004,6.9140677946498865,151,unknown
45-54,11.18523406994699,6.216902619497194,21.86934308789497,11.39615723220407,1418,,Looking after family/home,14.831478618689633,12.223424139864738,24.685378064883583,22.758577814792343,374,unknown
55-64,11.346461363886476,7.318098572711684,24.429831160498956,8.838661982526071,1400,,Long-term/temporarily sick/ill,16.264819719813534,9.648689922318855,32.00738848649505,18.686202049336682,369,unknown
65-74,8.250259698521262,7.049127392353116,27.092426899393168,8.76880317324855,1381,,Retired,8.481780806484998,5.58644084846258,23.726830040010256,7.317785360409903,2523,unknown
75+,9.100744353067686,3.7717607878253903,20.754357176072798,6.828981546229664,1178,,Other inactive,15.24701597799243,7.640632962654674,18.418731916458963,8.508519683763833,106,unknown
Men,8.17731487841575,6.240769315944599,16.24767110075705,4.14325784608088,3945,,Respondent's occupation,,,,,,unknown
,,,,,,,Managerial and professional occupations,6.410484844448189,3.612216142762474,17.62142293739259,6.086168899829185,3118,unknown
16-24,4.7490930904461575,7.337912392364743,9.384183275630782,2.6721502971220232,260,,Intermediate occupations,11.365184346884801,7.514339988213352,19.50770279839568,8.58936211060636,1997,unknown
25-34,8.841187290677075,6.638543947555704,12.584158412129758,3.907243863649854,546,,Routine and manual occupations,12.489988154576503,10.25460874866738,23.749434463558508,12.697836720209407,2928,unknown
35-44,9.480582584690431,7.761810913870315,15.016200828460086,4.844654797648196,608,,Never worked and long-term unemployed,13.40026366938178,13.800897495560532,21.065494886345824,22.097277564929826,259,unknown
45-54,9.344827492607074,4.667429228778692,18.92730707702512,6.834061453015984,662,,Full-time students,7.39246793154444,1.3017792789237936,7.20870188385868,9.334639004862286,244,unknown
55-64,9.727385281079174,7.203347547746433,20.10405901806662,3.4644155150071154,667,,Not classified,12.529349678087145,9.913746343121954,20.60598013517571,10.817738844563749,77,unknown
65-74,6.730513274525047,5.796873836478804,20.876640516103482,3.913609190980945,669,,,,,,,,unknown
75+,7.145523372125326,3.3125297514708643,18.43455685101191,1.597641777984648,533,,Highest qualification,,,,,,unknown
,,,,,,,Degree or diploma,7.843795759026519,4.943870935788792,16.933858048024923,7.6424557521083045,3557,unknown
Women,11.414131837631244,7.109596459703351,22.50364046604317,14.552748612113712,4678,,Apprenticeship or A/AS level,9.858201852108436,5.825580730708748,17.455431695330958,8.213937982077988,1537,unknown
,,,,,,,O level/GCSE,10.468940307256771,7.513607447493411,20.729643640064346,10.37499267079522,1518,unknown
16-24,11.322306011257481,2.2947216050234442,13.151790223541726,17.368123646935658,305,,Other,15.607236696188846,9.857345563139534,21.622827713602426,10.913847439578324,383,unknown
25-34,9.59963283960057,7.467480048985131,17.931145838660605,14.546207699586603,698,,,12.71820262829423,11.378978002526637,26.350129101213803,14.576662111551608,1590,unknown
35-44,12.245281043704834,9.174352774070073,18.40307389408774,15.283967155940697,829,,,,,,,,unknown
45-54,12.981908011519986,7.694026379027459,24.91009652067323,16.10085895301068,756,,Disability4,,,,,,unknown
55-64,12.840804524338676,7.441148517118787,28.49736823233376,13.793639277681018,733,,Disabled,13.944139976419983,7.623792315573945,26.094393112364063,12.62739547407993,1659,unknown
