"table s33:  worry about crime by household and area characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,age_band
England and Wales,,,,,Adults aged 16 and over,unknown
,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,unknown
,Percentage with high levels of worry,,,,,unknown
ALL ADULTS,9.83585330371812,6.663276039514882,19.443121521972024,9.497210920766866,8623,unknown
Structure of household,,,,,,unknown
Single adult and child(ren),13.650920616189389,8.563669439049226,21.012826478886403,19.458324263324048,400,unknown
Adults and child(ren),11.43836411916567,7.304589385523448,16.346608159467433,10.284767242738289,1907,unknown
Adult(s) and no child(ren),9.083742790211268,6.340934526893431,20.527061237436744,8.816342568216097,6316,unknown
Tenure,,,,,,unknown
Owner occupiers,8.973590281842627,5.959691003136353,19.703957278744834,7.14762780108439,5550,unknown
Social renters,13.6003979415707,12.024734599750982,24.13564088505611,16.292917533067307,1445,unknown
Private renters,9.610307880663212,6.650461508020291,15.866537185996046,11.572037918895042,1584,unknown
Accommodation type ,,,,,,unknown
Houses,9.965733115951222,6.620487819977881,19.4506172684487,8.717820373228122,7358,unknown
Detached,8.214856411960058,3.834951173733063,17.85399974276835,5.340479064317544,2149,unknown
Semi-detached,10.166083715210178,7.566156327937441,18.964929017815283,8.29538097553717,2696,unknown
Terraced,11.149285681393806,8.4223311214767,21.23265858369794,11.865536792638515,2513,unknown
Flats/maisonettes,8.861530774329859,7.005227359300768,19.582768638542746,14.370653557167495,1219,unknown
Other,-,-,-,-,20,unknown
Output Area Classification,,,,,,unknown
Rural residents,6.0177735644968315,2.812314398133148,15.974063904023557,5.494555291363592,1150,unknown
Cosmopolitans,6.665501188675926,7.43578948162404,13.93668003584643,8.64195514145492,331,unknown
Ethnicity central,11.734411736448804,10.146015347880033,16.903857380129786,15.654025609105734,442,unknown
Multicultural metropolitans,15.63404717884056,10.588794114319807,24.196345805389985,18.370421814211312,1054,unknown
Urbanites,8.35160366878523,4.9459320402930755,17.40362519569455,7.312850786063067,1528,unknown
Suburbanites,8.726823489547666,5.268194733688118,20.43421561182584,5.599631616804005,1873,unknown
Constrained city dwellers,11.36013812181811,8.304766743337716,21.254800636717857,13.191844645867945,580,unknown
Hard-pressed living,10.020328772796876,9.116584494923105,20.421291635992684,8.401978235893106,1665,unknown
Area type,,,,,,unknown
Urban,10.591919403544669,7.422536965605167,20.035584434474696,10.531188448584937,6719,unknown
Rural,6.637738180911916,3.9417914541108163,16.82016040300075,4.939442436430573,1904,unknown
Level of physical disorder,,,,,,unknown
High,15.006832711792237,11.009774080616486,19.597639419321926,17.7508915628526,390,unknown
Not high,9.569064575764626,6.491359073153527,19.475235362508077,9.041174945248356,8187,unknown
English Indices of Deprivation (Employment),,,,,,unknown
20% most deprived Output Areas,14.694705567799705,10.064566069124162,21.23081458578344,14.452285483864946,1557,unknown
Other Output Areas,9.751633866072376,6.626581167887455,19.84542004201925,9.442099067399273,4903,unknown
20% least deprived Output Areas,6.343449741933993,4.299481862520274,16.532552249158275,5.106184024215272,1529,unknown
Welsh Indices of Deprivation (Employment),,,,,,unknown
20% most deprived Output Areas,9.177637789658078,12.433022465901008,22.24246719858037,10.41246673890366,109,unknown
Other Output Areas,5.788326214216111,5.090217348361461,19.50878805265941,8.923439309923845,379,unknown
20% least deprived Output Areas,6.213230574392305,3.41728788384897,12.630337896369555,1.9497595033297659,146,unknown
Region,,,,,,unknown
North East,9.019152477754941,6.477271996908038,18.316357705696564,9.130408127178411,506,unknown
North West,11.357170674202871,6.669556670830243,19.077894350894613,9.130749532802563,1110,unknown
Yorkshire and The Humber,10.27055921919863,8.011710448900796,18.079864155652427,6.740190658064704,808,unknown
East Midlands,9.04428045836113,8.038380610144214,19.41607294871562,10.156262235948024,760,unknown
West Midlands,13.009031895200415,8.572333103189866,22.755122860141643,9.478689558841372,783,unknown
East,9.156057054786961,6.8634158430602445,19.60449866686947,8.959827559205554,1003,unknown
London,13.59740280246397,8.32095952722463,19.725733088080514,16.01480600952642,1025,unknown
South East,7.12381178796355,4.730912136179121,19.437784820130403,7.8460277285124045,1097,unknown
South West,6.6624051920746235,3.7301415436834024,18.114197141139506,5.711574338255299,897,unknown
Wales,6.493929286055295,5.892327529330947,18.59611037361543,7.778519942473425,634,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,,unknown
2. The question on worry about fraud was first introduced into the survey in April 2018.,,,,,,unknown
"3. Unweighted base refers to worry about burglary. Bases for fraud and violent crime will be similar but for car crime will be slightly lower as these are based only on those residing in households owning, or with use of a vehicle.",,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,unknown
