"table s34:  trends in the anti-social behaviour indicators,  year ending december 1992 to year ending march 2019 csew1,2",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,Adults aged 16 and over,unknown
,Jan '92 to Dec '92,Jan '94 to Dec '94,Jan '96 to Dec '96,Jan '98 to Dec '98,Jan '00 to Dec '00,Apr '01 to Mar '02,Apr '02 to Mar '03,Apr '03 to Mar '04,Apr '04 to Mar '05,Apr '05 to Mar '06,Apr '06 to Mar '07,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '123,Apr '12 to Mar '133,Apr '13 to Mar '143,Apr '14 to Mar '153,Apr '15 to Mar '163,Apr '16 to Mar '173,Apr '17 to Mar '183,Apr '18 to Mar '19,,April 2018 to March 2019 compared with:,unknown
,,,,,,,,,,,,,,,,,,,,,,,,,Apr '17 to Mar '18,unknown
,Percentages,,,,,,,,,,,,,,,,,,,,,,,,Statistical significance of change4,unknown
"High level of perceived anti-social behaviour4,5,6,7",:,:,:,:,:,18.822003075828977,20.64161971255779,16.287679565263797,17.0217719820306,17.310585083757267,17.525770332385914,16.34170682228137,16.494688337800945,14.36617043448799,13.72258408277509,14.384830372232658,12.899997325101033,11.882226006567398,10.910575687191908,10.436889553086798,8.960217306229447,9.609438404531295,7.195730186624696,,*,unknown
Percentage saying there is a very/fairly big problem in their area,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Rubbish or litter lying around,29.6770984425625,26.417318281251763,25.982267398720282,27.800270625823106,30.4675868680745,31.807103419123376,33.505268860647014,28.971231114739563,29.896094694139865,30.387412523353053,30.863120891020788,30.424151935464405,30.26863980438702,28.26907848627922,28.03251931171084,29.430043827419063,28.735164221161515,28.97919801360166,28.602842623360416,31.07088115112886,29.848995157374038,30.23874448082418,28.131647465960498,,*,unknown
People using or dealing drugs,14.1389361857716,21.559762161530667,20.94594690917474,24.551235975253164,32.541145327364745,30.933772015968678,31.53933917997981,25.085813018373685,25.664181406150718,26.621736768728212,27.53820021581018,26.03492220196068,27.458836374192444,25.971589190010196,25.677094079816907,27.224819106688354,25.362391297257293,24.557781280036657,24.10116966964858,23.92104893915291,22.67854937544722,23.458380782062473,19.71660931910049,,*,unknown
"People being drunk or rowdy in public places5,6",:,:,:,:,:,22.027717648806806,23.30613164588675,19.0594909257728,22.365378259833594,24.445789483121636,25.543517240962355,25.144058885539078,26.16827868713701,23.858869026534574,23.676978849774287,23.940758581264078,20.436722467660374,19.167290527376,18.159274186274203,17.840334326932766,15.620252779268847,16.464877923892562,12.526699316056616,,*,unknown
Teenagers hanging around on the streets,19.9957642047806,25.9768046802999,23.50520205608268,27.122659231770307,32.29893602718073,32.25770809095825,33.339345474964574,27.195426603981872,30.57585649643881,32.48776295082365,32.75450014719262,31.04358085315309,30.242818813929873,26.95320288935379,25.37022731183406,24.450496520743936,21.805637862374105,19.682228344016583,17.22592772162745,17.31501130933801,15.050811980820855,16.4900394204207,13.423227426135561,,*,unknown
"Vandalism, graffiti and other deliberate damage to property",25.5016297860912,28.7002072753697,24.311640580034297,26.350381829894122,32.32959881982061,34.62020784210226,35.03275182847051,28.10608807990198,28.25663667144714,28.744191117569486,28.25956111639244,27.166633287071853,26.825292234417184,22.911444785871428,21.339071820523372,20.66710029534081,18.79199197372169,16.399430448705125,15.877223907179774,15.63397521651869,14.149415009622116,15.147719910578326,12.085638904296465,,*,unknown
Noisy neighbours or loud parties,7.77212621018682,7.688536905794848,7.695298119070037,8.34555291906875,8.69904271259542,9.751729487417151,9.804584445423329,8.765036510784988,9.125094287809599,9.709624825866488,10.55849845624984,10.320047461785531,10.428969625900645,10.977337611255352,11.200885547252703,12.029042137398479,11.103643311305472,10.934045963585934,11.691437752239176,10.572459727011022,9.644435724790112,9.590876180096956,7.928452486814745,,*,unknown
"Abandoned or burnt-out cars6,7",:,:,:,:,13.500245434713378,20.016810353376208,24.44976533701237,15.209759084946821,11.627845240816313,9.941927711949605,8.536098086679681,6.782944017938419,5.774947867855297,4.784176901982966,4.0801847901890635,4.286937031981325,2.9484738474217496,2.3133066580115043,2.4160948216439913,2.6816028637949088,3.179036571046769,2.7536809556893274,2.339003873444155,,,unknown
"Unweighted base - number of adults3,8,9",8486,13745,7625,13986,8910,30670,34622,36116,42937,45845,45063,45021,44010,42390,44551,21762,8289,8670,8145,8606,8653,8523,8503,,,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"1. CSEW respondents were asked about their current perceptions of anti-social behaviour problems during their interview, so all year-labels identify the period in which the interview took place.",,,,,,,,,,,,,,,,,,,,,,,,,,unknown
2. A small change to the weighting procedure has been incorporated into all historic datasets. The effect of this change will only have a negligible impact on the estimates in this table from year ending March 2012.  ,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"3. Following changes to data affecting a small number of police force areas, estimates have been revised between year ending March 2012 and year ending March 2018. Consequently, there may be a small change on the unweighted bases and estimates in this table.",,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"4. Statistically significant change at the 5% level is indicated by an asterisk. For more information on statistical significance, see Chapter 8 of the User Guide. ",,,,,,,,,,,,,,,,,,,,,,,,,,unknown
5. This measure is derived from responses to the seven individual anti-social behaviour strands as described in Chapter 5 of the User Guide. ,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
6. The question on abandoned or burnt-out cars was introduced in 2000 and the question on people being drunk or rowdy in public places was introduced in 2001.,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"7. The question on abandoned or burnt-out cars was only asked of a quarter of the sample in the years ending March 2002 and March 2003; hence, for these years, the overall high level of perceived ASB measure is only calculable for those respondents who were asked the question on abandoned or burnt-out cars.",,,,,,,,,,,,,,,,,,,,,,,,,,unknown
8. Unweighted bases refer to the question relating to people using or dealing drugs. Other bases will be similar. ,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
9. From April 2011 the number of respondents asked questions about their perceptions of problems in the local area was reduced (from a full sample) to a half sample and from April 2012 was reduced to a quarter sample.,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
