"table s36: high levels of perceived anti-social behaviour in local area by household and area characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,High level of perceived ASB2,Unweighted base - number of adults,unknown
,Percentage,,unknown
ALL ADULTS,7.195730186624691,8459,unknown
Structure of household,,,unknown
Single adult and child(ren),14.322898836145198,403,unknown
Adults and child(ren),8.885095851420331,1848,unknown
Adult(s) and no child(ren),6.314872804142187,6208,unknown
Tenure,,,unknown
Owner occupiers,5.192165283140321,5407,unknown
Social renters,14.47936282632321,1436,unknown
Private renters,7.620997561698782,1567,unknown
Accommodation type ,,,unknown
Houses,6.154745278778268,7217,unknown
Detached,2.011274447897528,2139,unknown
Semi-detached,5.733721354997409,2624,unknown
Terraced,10.102663954978924,2454,unknown
Flats/maisonettes,14.148536271384648,1201,unknown
Other,-,18,unknown
Output Area Classification,,,unknown
Rural residents,1.1851886701583108,1195,unknown
Cosmopolitans,8.19746854399895,319,unknown
Ethnicity central,21.25042224690798,420,unknown
Multicultural metropolitans,14.704963652545786,970,unknown
Urbanites,3.964481487968879,1550,unknown
Suburbanites,1.752568478039764,1810,unknown
Constrained city dwellers,12.638636306455323,560,unknown
Hard-pressed living,8.822436592670067,1635,unknown
Area type,,,unknown
Urban,8.481607909003687,6573,unknown
Rural,1.9895342119750914,1886,unknown
Level of physical disorder,,,unknown
High,23.66931967629929,391,unknown
Not high,6.3309360625046995,8038,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,16.001179211656318,1465,unknown
Other output areas,6.654776953383425,4800,unknown
20% least deprived output areas,1.5179251279836752,1569,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,8.659180730751919,124,unknown
Other output areas,4.805868339921773,370,unknown
20% least deprived output areas,0.6636811565961865,131,unknown
Region,,,unknown
North East,6.019027742242312,489,unknown
North West,7.905451993994841,1074,unknown
Yorkshire and The Humber,7.469600215312503,799,unknown
East Midlands,5.832208283412858,746,unknown
West Midlands,11.387949872440158,737,unknown
East,5.337661485644348,970,unknown
London,12.778051139145596,1003,unknown
South East,4.200017345293517,1122,unknown
South West,3.9943574006778406,894,unknown
Wales,4.830666170256994,625,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household and area characteristics.,,,unknown
2. This measure is derived from responses to the seven individual anti-social behaviour strands as described in Sections 5.7 and 6.3 of the User Guide.,,,unknown
