"table s39: percentage of adults who felt very/fairly safe when walking alone after dark, by household and area characteristics, year ending march 2019 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
Household characteristic1,Percentage who feel very / fairly safe2,Unweighted base - number of adults,unknown
,Percentage,,unknown
ALL ADULTS,78.41676293133554,8118,unknown
Structure of household,,,unknown
Single adult and child(ren),66.76292649568238,409,unknown
Adults and child(ren),79.66863011390224,1771,unknown
Adult(s) and no children,78.40201474319865,5938,unknown
Tenure,,,unknown
Owners,80.94560056415753,5248,unknown
Social renters,66.012449064718,1307,unknown
Private renters,79.29122045214166,1526,unknown
Accommodation type ,,,unknown
Houses,79.22296960739017,6846,unknown
Detached,85.07852599750785,1991,unknown
Semi-detached,78.88007753519486,2509,unknown
Terraced,74.8958763427191,2346,unknown
Flats/maisonettes,73.49679974105672,1229,unknown
Other accommodation,-,23,unknown
Output Area Classification,,,unknown
Rural residents,87.84297908855825,1044,unknown
Cosmopolitans,82.95234962269399,308,unknown
Ethnicity central,72.18962234279753,439,unknown
Multicultural metropolitans,68.19914131626541,992,unknown
Urbanites,81.55956789560372,1466,unknown
Suburbanites,85.46195435058665,1740,unknown
Constrained city dwellers,65.47812424083831,554,unknown
Hard-pressed living,74.81037241776305,1575,unknown
Area type,,,unknown
Urban,76.20000303903102,6397,unknown
Rural,88.22389221814272,1721,unknown
Level of physical disorder,,,unknown
High,65.7729577107282,372,unknown
Not high,78.98124330812159,7711,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,65.33800126411508,1506,unknown
Other Output Areas,79.40511676826597,4619,unknown
20% least deprived Output Areas,87.34944014898264,1406,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,69.38386174997233,110,unknown
Other Output Areas,83.4538285982431,360,unknown
20% least deprived Output Areas,92.05803398586382,117,unknown
English regions and Wales,,,unknown
North East,74.55468688376641,482,unknown
North West,77.24722342281228,1047,unknown
Yorkshire and The Humber,79.4401074628456,746,unknown
East Midlands,79.30637433402521,689,unknown
West Midlands,73.39975941331028,743,unknown
East,78.28681079754766,934,unknown
London,74.51738341580496,1027,unknown
South East,81.4457544935554,1034,unknown
South West,85.0036375152492,829,unknown
Wales,82.50008598214113,587,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,unknown
2. The relevant questions relating to feeling safe walking alone after dark are only asked of one quarter of the CSEW sample. ,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
