"table s40a: prevalence of domestic abuse, sexual assault and stalking1 among adults aged 16 to 742, by type, year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 to 74,unknown
,Since the age of 16,,,,In the last year,,,,unknown
,Men,Women,All,,Men,Women,All,,unknown
,Percentage who were victims once or more,,,,,,,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",13.62774381093566,28.384710760263705,21.133166210123843,,3.7572395513501764,7.4885088193731475,5.6509359994347825,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",10.333754533719848,24.725682361146465,17.643837553222365,,2.7541219050951957,5.61968859866154,4.207638499971667,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",5.92071937438183,10.178364600868862,8.083166525292327,,1.3830140598047584,2.555971667331802,1.9783874691055758,,unknown
Partner abuse - non-sexual,9.191619236612812,21.62501738942992,15.510314814007627,,2.4642673540222106,4.790548606029917,3.6464852729183037,,unknown
"Non-physical abuse (emotional, financial)",5.0948823493758075,15.42719614728891,10.350239106289957,,1.6000550306204466,3.801577354843076,2.7190942816423433,,unknown
Threats or force,7.010958894522765,18.224146204601443,12.707902930762193,,1.328092779039013,2.3808746450023484,1.862901595380631,,unknown
Threats,3.4716990234964364,14.880600942974786,9.26353588518803,,0.640776877775772,1.8822259573279265,1.2706452923488134,,unknown
Force,6.392043188205194,15.759942081782766,11.14586123128564,,1.0436614315510715,1.34901882843463,1.198586682066308,,unknown
Family abuse - non-sexual,4.875514324066752,7.498061156160818,6.210444441816987,,1.2649047301485248,2.2436675980193033,1.7631151012529436,,unknown
"Non-physical abuse (emotional, financial)",2.2803456671014,4.37202682307918,3.3435709765714074,,0.6626875160694682,1.4391985030728789,1.0572173330169707,,unknown
Threats or force,3.7360646181079384,5.73436313063051,4.75326011845913,,0.7893784338393183,1.3224512412545923,1.0606520656321885,,unknown
Threats,2.29370331410601,4.190840646189681,3.2587402056404216,,0.45506533091995144,0.9642493422141415,0.7140036313050199,,unknown
Force,3.1929600614224216,4.318157973589417,3.765678678926481,,0.4900071101154098,0.678167202665311,0.5857372001299592,,unknown
Any sexual assault (including attempts)3,4.5022260513188535,24.603165530417577,14.712615127785039,,1.0113452213369842,3.7405477087313654,2.394244549904467,,unknown
Sexual assault by rape or penetration including attempts,0.6136307580867192,7.941310189476114,4.333604603445225,,0.1999730069993804,0.910023808396199,0.5604282896038187,,unknown
Sexual assault by rape or penetration excluding attempts,0.3927118137232145,6.400488964406902,3.443324624435899,,0.12978531926461134,0.37314044852093986,0.25334734944492027,,unknown
- Rape including attempts,0.2938435976673908,6.783617715511381,3.586456769986183,,0.022068926293098628,0.5802090044213676,0.3052377116617685,,unknown
