"table s40b: prevalence of domestic abuse, sexual assault and stalking1 among adults aged 16 to 592, by type, year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 to 59,unknown
,Since the age of 16,,,,In the last year,,,,unknown
,Men,Women,All,,Men,Women,All,,unknown
,Percentage who were victims once or more,,,,,,,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",14.915190879170751,30.486182118990666,22.8363721844981,,4.195819970456709,8.383466971467522,6.321043306508428,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",11.4355710885882,26.693220729025885,19.18470734127645,,3.10436373690748,6.375420398669647,4.76308850297749,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",6.27493262142389,10.80604839588281,8.576106204845662,,1.542645702642936,2.783265465467316,2.1722785901799293,,unknown
Partner abuse - non-sexual,10.22459372193522,23.329263862289,16.884458992629387,,2.8097041716694453,5.386574496652863,4.11927517796665,,unknown
"Non-physical abuse (emotional, financial)",5.882405763155875,17.033593184352483,11.553106813092715,,1.83833708914628,4.3124733895607035,3.095598332327053,,unknown
Threats or force,7.777499207145701,19.634502151308126,13.80153428779916,,1.524992878650237,2.7198523606895333,2.131956996112725,,unknown
Threats,3.85119024317343,16.282064646015055,10.161233019862605,,0.6986405249333726,2.201236226812955,1.4609283503639117,,unknown
Force,7.09228206112659,16.917069560260188,12.077943527359329,,1.2538864891730888,1.554991113947459,1.4066547712863418,,unknown
Family abuse - non-sexual,5.243782121794963,8.08508283501519,6.68971228410983,,1.4128096283167983,2.472148365961334,1.9519042147299321,,unknown
"Non-physical abuse (emotional, financial)",2.4371640275423534,4.905027180809098,3.691303308905016,,0.7423397360003257,1.6537002626355455,1.205259709358704,,unknown
Threats or force,4.051064817565031,6.173187265677577,5.131057311989671,,0.9064533688806657,1.4282423369984116,1.1719079752663137,,unknown
Threats,2.492612448234555,4.468379214405484,3.4976464230107607,,0.48568234165226143,1.0357140287517577,0.7653724739878878,,unknown
Force,3.440661829879335,4.727847131966737,4.095312853317194,,0.5967854652649696,0.7429608675061532,0.671087648412751,,unknown
Any sexual assault (including attempts)3,4.815499813782866,25.31787031241169,15.220709992903355,,1.2414363935841126,4.4746549459368135,2.8781785406879803,,unknown
Sexual assault by rape or penetration including attempts,0.7049289688350192,8.91182730630828,4.8668832836580584,,0.2514191239773397,1.0922968773285648,0.6778626741249395,,unknown
Sexual assault by rape or penetration excluding attempts,0.4363840438887026,7.122959000650125,3.828508306819331,,0.16324511293740082,0.4451631147679556,0.30625944116478127,,unknown
- Rape including attempts,0.32256055682601265,7.537206735780712,3.9792349802925635,,0.02775023379502741,0.708973604822044,0.37301271883909537,,unknown
- Rape excluding attempts,0.22657583581428703,6.155607693362857,3.226989385723846,,0.02779814540645215,0.25791128345155034,0.14424482689574938,,unknown
- Assault by penetration including attempts,0.5191983967432265,5.983670497730644,3.286418341326696,,0.22384962199765054,0.6701784972361589,0.44986439435550307,,unknown
- Assault by penetration excluding attempts,0.3165690726709984,4.397808533280492,2.3832469440813795,,0.13567455419115546,0.2846444803942847,0.21109625834540177,,unknown
"Causing sexual activity without consent3,4",0.1794368103942412,0.41989073898622287,0.30108138471617085,,0.049306318067342966,0,0.024362470787304566,,unknown
Indecent exposure or unwanted sexual touching,4.575659280485843,23.989892992105805,14.443139429535947,,1.1064151964944418,3.7979494275361247,2.4742472714024086,,unknown
- Indecent exposure,1.2987951279675367,11.49752318394606,6.466984152965716,,0.15495744403564685,0.9370295751589753,0.5511948317654212,,unknown
- Unwanted sexual touching,3.71371516715068,19.052230549464277,11.476448952843215,,0.9572112467760963,3.270008764329283,2.1270046076689075,,unknown
Any sexual assault (including attempts) by a partner,0.5610051480901741,7.666476106788629,4.167561521180571,,0.022799134377287946,0.7156394256004414,0.3739650392042909,,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.1088941758250894,4.8987529034372725,2.5347930256599347,,0,0.3071479617474434,0.15558611903672004,,unknown
Indecent exposure or unwanted sexual touching by a partner,0.47487050793687363,6.459509528673461,3.514088087249974,,0.022725792669900748,0.518446833404983,0.2744517144963624,,unknown
