"table s41b: prevalence of domestic abuse, sexual assault and stalking1 in the last year among adults aged 16 to 592, by type and sex, year ending march 2005 to year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,unnamed: 30,unnamed: 31,unnamed: 32,unnamed: 33,unnamed: 34,unnamed: 35,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adults aged 16 to 59,unknown
,Men,,,,,,,,,,,,,,,,,,,Women,,,,,,,,,,,,,,,,unknown
,,,,,,,,,,,,,,,,Apr '18 to Mar '19 compared with,,,,,,,,,,,,,,,,,,Apr '18 to Mar '19 compared with,,unknown
,"Apr '04 to
Mar '05","Apr '05 to
Mar '06","Apr '06 to
Mar '07","Apr '07 to 
Mar '08","Apr '08 to
Mar '09","Apr '09 to
Mar '10","Apr '10 to 
Mar '113","Apr '11 to 
Mar '123","Apr '12 to 
Mar '133","Apr '13 to
Mar '14","Apr '14 to
Mar '15","Apr '15 to
Mar '16","Apr '16 to
Mar '17","Apr '17 to Mar '184,5",Apr '18 to Mar '194,"    Apr '04 to 
Mar '055","    Apr '17 to 
Mar '185",,"Apr '04 to
Mar '05","Apr '05 to
Mar '06","Apr '06 to
Mar '07","Apr '07 to 
Mar '08","Apr '08 to
Mar '09","Apr '09 to
Mar '10","Apr '10 to 
Mar '113","Apr '11 to 
Mar '123","Apr '12 to 
Mar '133","Apr '13 to
Mar '14","Apr '14 to
Mar '15","Apr '15 to
Mar '16","Apr '16 to
Mar '17","Apr '17 to Mar '184,5","Apr '18 to Mar '194,5","    Apr '04 to 
Mar '055","    Apr '17 to 
Mar '185",unknown
,Percentage victims once or more,,,,,,,,,,,,,,,Statistically significant difference,,,Percentage victims once or more,,,,,,,,,,,,,,,Statistically significant difference,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)6",6.495646104806023,6.3515701146503165,6.504591375201883,:,4.217774706693051,4.132937015677988,4.787677014293596,4.911388964576275,4.381740620075039,4.530684522304952,3.9552802975605466,4.376421767489658,4.3340144884535174,4.216243874134554,4.195819970456709,*,,,11.078051084845455,11.493999399514188,11.03047182954135,:,8.884717245808067,9.236445747431231,9.052097106897676,9.050378129243757,8.78329928391209,8.465077319148648,8.165390279802123,7.709673219269052,7.452457391988314,7.922116558595046,8.383466971467522,*,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)6",4.880733741038623,4.815840984583897,4.91453865140307,:,2.9759028772679508,3.0636050782094517,3.573818277136923,3.5158396790828266,3.0469070638066897,3.0294430559389145,2.7539494259677615,2.987351671725324,2.986210983636378,2.7401895780799457,3.10436373690748,*,,,8.65073932620876,9.225465238632003,8.697371257098943,:,6.987348134078495,7.364374097201099,7.408327936314041,6.883648949880264,6.658768427674999,6.793446766110581,6.475845062340719,6.230880299786246,5.9466231116544055,6.256980807506083,6.375420398669647,*,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)6",2.5255934952236903,2.4072050854468223,2.5926136352031497,:,2.0398076169821793,1.7942446788794508,1.965744721474791,1.9719339830828944,1.8425679125375891,1.8469546421236993,1.5630075105782013,1.9668934295383547,1.5879492134755715,1.9674178910266964,1.542645702642936,,,,4.336871539512716,4.356652870929509,4.342622541432125,:,3.3357412117044585,3.170518101766942,3.1368506386160644,3.396725370812165,3.1512876463899984,2.5388491156157067,2.5378073327110857,2.183250304694842,2.031942158472958,2.4366603507838436,2.783265465467316,*,,unknown
Partner abuse - non-sexual6,4.629427326108614,4.528254300814907,4.85848536417126,4.668832993343128,2.8386356544265716,2.9232486512084286,3.0627032832389913,3.809669728894326,2.739450262958164,2.792232832835783,2.5430823909166542,2.753862252707522,2.7315777519144304,2.451423650183211,2.8097041716694453,*,,,8.625293705388907,8.777104856651162,8.644851039400082,7.538236298450419,6.538726123384942,7.178076724968522,6.44062097668439,7.023852624214969,6.078256537639273,5.9320273739687845,5.829772255247379,5.399304169547049,5.205224590337796,5.634464493511014,5.386574496652863,*,,unknown
"Non-physical abuse (emotional, financial)6",3.190935987345595,3.24922097671846,3.456083409786702,3.307985006417834,2.143343026614372,2.3519154185098743,2.1041706043840493,2.625317380560298,1.8770417747844677,1.7618353550163726,1.5087145017024477,2.0500566434613194,2.00990134699646,1.5434456326051407,1.83833708914628,*,,,5.854566667074447,5.634773292338013,5.495721993656177,5.349678028923066,4.197981733493329,4.612131289790768,4.361206718179775,4.65336561024513,4.48934388028741,4.2144843328988895,3.9985415271805698,3.9384805425271443,4.0040690398472885,4.50316037620542,4.3124733895607035,*,,unknown
Threats or force6,2.5003947507419393,2.2352879572744477,2.630747690729015,2.5081103894237042,1.4218558817460076,1.321710261184276,1.464510234540961,2.120760705354186,1.3779726817695124,1.5161016211751035,1.4994154788921428,1.4037280719292917,1.249821742596401,1.439371204593355,1.524992878650237,*,,,5.604157963269262,6.108059145189841,5.908326457471899,4.61994991949354,4.45860265683536,4.868333313041686,4.172799708627895,4.520087844773491,3.7442693015367623,3.6065785075636585,3.5866918511309316,3.047741361147224,2.7924847313533046,3.0137314306227196,2.7198523606895333,*,,unknown
Threats6,1.7364637176136661,1.1543279308648682,1.3532051071855153,1.5670774439240542,1.051987877125964,1.0937710435905235,0.7140947556951142,1.1608402144815364,0.5963638193309042,0.6298348367418267,0.8145140861619086,0.813897860813732,0.6163274937568425,0.7613851354470808,0.6986405249333726,,,,4.183591184719106,4.771790191188417,4.6524044565514995,3.972830448563644,3.3439634222330987,4.078203205535926,3.2815491310360336,3.3998839071292073,3.0077485940514297,2.8144319142497727,2.865624602127769,2.310985947733376,2.171177475195244,2.3265602815472985,2.201236226812955,*,,unknown
Force6,1.873290907620836,1.630450671970434,1.9571231982035306,1.8183685436058457,1.0269430640970731,0.9171745451477602,1.1348286524417155,1.4247595864620952,1.0799441511872114,1.1698407122112378,0.9940989188742513,0.9384343698987929,0.9134113982513351,1.210715487717069,1.2538864891730888,,,,3.5634181351962,3.889816990341802,3.4808633995224074,2.9385539302063552,2.851179061413502,2.9104661152586537,2.7919877315824997,2.980770449063458,2.064218169750693,2.031989783834395,1.8551133023785875,1.709937407239519,1.5447026462363063,1.6806842213750994,1.554991113947459,*,,unknown
Family abuse - non-sexual6,2.28710115948727,2.1447096692657093,2.2963941742722858,1.538825348084095,1.8941750959859995,1.6153116006640498,1.7573654977111262,1.7085888777963978,1.7567031893722735,1.7307615051640213,1.4210923377003393,1.8107503137440566,1.4557262808970455,1.7298755407262927,1.4128096283167983,*,,,3.771962977892943,3.7655555780747743,3.865181937759148,2.580125868512119,2.84847097344626,2.773128520795045,2.83857077902249,2.6679994057325085,2.7123177537881107,2.1841137394377963,2.166725413271387,1.9086764895543105,1.7520931031195988,1.9042745867791777,2.472148365961334,*,,unknown
