"table s42a: prevalence of domestic abuse, sexual assault and stalking1 in the last year among adults aged 16 to 742, by type, year ending march 2018 and year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,Adults aged 16 to 74,unknown
,,,Apr '18 to Mar '19 compared with,unknown
,"Apr '17 to Mar '183,4",Apr '18 to Mar '193,"    Apr '17 to 
Mar '184",unknown
,Percentage who were victims once or more,,Statistically significant difference,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",5.3240170772793025,5.6509359994347825,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",3.936629148638668,4.207638499971667,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",1.9101833992516222,1.9783874691055758,,unknown
Partner abuse - non-sexual,3.5459041943395997,3.6464852729183037,,unknown
"Non-physical abuse (emotional, financial)",2.633532545223521,2.7190942816423433,,unknown
Threats or force,1.9468789458486826,1.862901595380631,,unknown
Threats,1.348492929558911,1.2706452923488134,,unknown
Force,1.2529519215250278,1.198586682066308,,unknown
Family abuse - non-sexual,1.5788953213202708,1.7631151012529436,,unknown
"Non-physical abuse (emotional, financial)",1.1512408097464908,1.0572173330169707,,unknown
Threats or force,0.7467322063281028,1.0606520656321885,*,unknown
Threats,0.5519372530946848,0.7140036313050199,,unknown
Force,0.42161289370960864,0.5857372001299592,,unknown
Any sexual assault (including attempts but excluding causing sexual activity without consent)5,2.261379807959512,2.377115047780082,,unknown
Any sexual assault (including attempts)5,2.272190415208043,2.394244549904467,,unknown
Sexual assault by rape or penetration including attempts,0.4012334499035636,0.5604282896038187,,unknown
Sexual assault by rape or penetration excluding attempts,0.2776607386215054,0.25334734944492027,,unknown
- Rape including attempts,0.287610866377914,0.3052377116617685,,unknown
- Rape excluding attempts,0.19128569866229345,0.11455838898406041,,unknown
- Assault by penetration including attempts,0.23816380037897833,0.37518853054237883,,unknown
- Assault by penetration excluding attempts,0.1699588643167657,0.17775699903095896,,unknown
"Causing sexual activity without consent5,6",0.012341895164072645,0.024014647086912654,,unknown
Indecent exposure or unwanted sexual touching,2.0759912032468533,2.045404403800798,,unknown
- Indecent exposure,0.6589400374759631,0.4689786367442126,,unknown
- Unwanted sexual touching,1.6996604116792537,1.7458540961975217,,unknown
Any sexual assault (including attempts) by a partner,0.17570736183109048,0.3097137891500599,,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.09441386712321453,0.1361171300124752,,unknown
Indecent exposure or unwanted sexual touching by a partner,0.1295619103372122,0.21802871698757195,,unknown
- Indecent exposure by a partner,0.033629188149382316,0.030500546536598103,,unknown
- Unwanted sexual touching by a partner,0.11879393204418326,0.20783550166755832,,unknown
Any sexual assault (including attempts) by a family member,0.07687398169638042,0.0474681827634276,,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.03993806521332277,0.024895367076292054,,unknown
Indecent exposure or unwanted sexual touching by a family member,0.042335712003459106,0.04038581367156201,,unknown
- Indecent exposure by a family member,0.02549053690131387,0.003856137048826441,,unknown
- Unwanted sexual touching by a family member,0.022604231402307932,0.04051844016960119,,unknown
Stalking,3.4862526206729982,3.4881185215706623,,unknown
Stalking by a partner,0.7822828688353342,0.9273499727719322,,unknown
Stalking by a family member,0.41965226490244284,0.3037211068923304,,unknown
"Unweighted base - number of adults3,7",13551,13188,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,unknown
"1.Chapter 5 provides the User Guide for definitions of domestic abuse, sexual assault and stalking.",,,,unknown
"2. From April 2017, the upper age limit for the self-completion module was increased to ask all respondents aged 16 to 74.",,,,unknown
3. The sample size is lower for the years ending March 2018 and March 2019 due to use of a split-sample experiment. ,,,,unknown
4. A small change to the weighting procedure has been incorporated into all historic datasets. Therefore data for the year ending March 2018 have been re-calculated using the new weights and will differ to figures published prior to January 2019.,,,,unknown
5. New offence category 'Causing sexual activity without consent' was added to the total category of any sexual assault (including attempts) for the year ending March 2016 to the year ending March 2019. This category is not directly comparable with 22A 'Causing sexual activity without consent' offence category in Home Office Counting Rules (HOCR) as offence 22A has a wider definition than is covered in the CSEW.,,,,unknown
6. The category 'Causing sexual activity without consent' cannot be disaggregated by perpetrator as this was not asked of the respondent.,,,,unknown
7. The bases given are for any domestic abuse; the bases for the other measures presented will be similar.,,,,unknown
:   Denotes 'not applicable'.,,,,unknown
