"table s6:  perceptions of the local police by household and area characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
ALL ADULTS,58.109944051352024,87.65266039033665,67.00967753813433,67.33267445886207,55.470697819871596,80.00340263653175,75.31360796447369,33704,unknown
Structure of household,,,,,,,,,unknown
Single adult and child(ren),62.380963908938135,84.20672863181107,62.961923385631145,66.36673778780539,53.137216462699946,73.38330750924904,69.50338513165109,1605,unknown
Adults and child(ren),63.08872031872698,88.77391963472341,70.67422936299995,68.64939868895792,57.385950647454045,81.61386507399794,76.97954812442191,7377,unknown
Adult(s) and no child(ren),56.0755894142167,87.35810174437574,65.7688920251897,66.86977541528077,54.83157756590743,79.63812230197705,74.89895107925558,24722,unknown
Tenure,,,,,,,,,unknown
Owner occupiers,55.07637840711704,88.54880477099061,67.04788968167816,67.59580903383002,54.42585154434496,80.8952834488325,75.70691779587517,21771,unknown
Social renters,59.32875737540058,85.03206477704524,65.28935208337353,66.10471155263936,56.458716084247385,74.29922802971413,69.90797300064008,5612,unknown
Private renters,65.75750134616123,87.03380043848145,68.16070835396596,67.65971619053205,57.825070282075664,81.52432560644013,77.92220258904199,6169,unknown
Accommodation type ,,,,,,,,,unknown
Houses,57.0641743926922,87.78322049490032,67.25047331463328,67.1069090750885,55.02581918635177,80.21360967457007,75.22622729282136,28618,unknown
Detached,53.83271157611329,88.59629168004913,67.24680920886408,68.43836922276448,54.71618421810906,82.382311054928,76.82177734276888,8436,unknown
Semi-detached,56.683924948147336,87.74567769550184,67.47247160058258,66.77393856824686,54.866522087886636,79.54209935329843,74.35132335273832,10459,unknown
Terraced,60.093891129038056,87.15255971062395,67.0225624361954,66.36535662316932,55.44344725919389,79.12744053368598,74.82415064920079,9723,unknown
Flats/maisonettes,64.55072595773711,86.92590293248013,65.70224329832152,68.8830617379165,58.44080786813267,78.75456416011421,75.86379078197794,4924,unknown
Other accomodation,45.69831979771356,79.94941868214796,59.78184308676746,59.68007620427381,44.37707360973514,70.65639386036054,69.1084580101277,84,unknown
Output Area Classification,,,,,,,,,unknown
Rural residents ,52.31745958113255,88.44676014471835,67.9555552215331,67.35689734581912,53.73269238497282,81.77208259859866,75.76925670407583,4497,unknown
Cosmopolitans ,67.75814507306703,88.88597714260918,64.28745793195783,66.64633396250456,54.78013603967311,84.17172971243329,82.38597940865947,1247,unknown
Ethnicity central ,66.12668019776015,86.56085065038639,62.91314611860804,67.38021428664386,57.38286925964231,77.10611866707812,74.969690774939,1743,unknown
