"table s7 : trends in public confidence in the police and local council, year ending march 2008 to year ending march 2019 csew1,2",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,age_band
England and Wales,,,,,,,,,,,,,,Adults aged 16 and over,unknown
,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '123,Apr '12 to Mar '133,Apr '13 to Mar '143,Apr '14 to Mar '153,Apr '15 to Mar '163,,,,April 2018 to March 2019  compared with:,,unknown
,,,,,,,,,,Apr '16 to Mar '173,Apr '17 to Mar '183,Apr '18 to Mar '193,Apr '11 to Mar '124,Apr '17 to Mar '18,unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,,,,,,,,,Statistically significant difference,,unknown
Agree,44.943229857570785,48.644435171440996,51.36869329717093,52.3315116473245,61.43728471611472,59.30648927718663,61.42624697759541,62.11129487761684,62.36423190866098,61.240159233288715,58.765410526687724,55.03870331601978,*,*,unknown
Disagree,25.1008489592332,22.416188500722313,19.599766659731387,17.976020107324256,15.777152307891706,16.20290769764541,14.749292284393814,13.96785654366619,13.726765535898606,14.733636748732332,16.62790049479891,19.350872644088785,*,*,unknown
No opinion,29.955921183196004,28.93937632783601,29.031540043096882,29.69246824535093,22.78556297599344,24.490603025167886,23.824460738010735,23.92084857871681,23.909002555440388,24.026204017979023,24.606688978513418,25.61042403989169,*,*,unknown
Unweighted base - number of adults5,19720,45041,43372,45393,44378,33456,33761,31914,33336,33679,33193,32566,,,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,,,,unknown
1. A small change to the weighting procedure has been incorporated into all historic datasets. The effect of this change will only have a negligible impact on the estimates in this table from year ending March 2012.  ,,,,,,,,,,,,,,,unknown
"2. Following changes to data affecting a small number of police force areas, estimates have been revised between year ending March 2012 and year ending March 2018. Consequently, there may be a small change on the unweighted bases and estimates in this table.",,,,,,,,,,,,,,,unknown
3. Numbers from year ending March 2012 CSEW onwards are not directly comparable with those previous. See the methodological note published alongside Focus On: Public Perceptions of Policing 2011/12 for more information.,,,,,,,,,,,,,,,unknown
4. Significance tests are presented for comparisons with year ending March 2012 as this is the earliest year that is directly comparable with the latest figures.,,,,,,,,,,,,,,,unknown
5. Only half the overall sample were asked this question in year ending March 2008.,,,,,,,,,,,,,,,unknown
