"table s8: public confidence in the police and local council by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",,,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,,,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,55.038703316020396,25.610424039892006,19.35087264408888,32566,,Respondent's employment status,,,,,unknown
,,,,,,In employment,54.86652958766515,25.011433916290372,20.122036496044153,19020,unknown
16-24,58.39316813701226,25.446964547815043,16.159867315172562,2099,,Unemployed,50.36965264869192,28.880360938781585,20.749986412526525,610,unknown
25-34,55.73014124550632,26.041789898990746,18.228068855503448,4835,,Economically inactive,55.679759294326615,26.483111056036464,17.83712964963705,12922,unknown
35-44,55.676536750266145,23.572996235838502,20.750467013895253,5349,,Student,63.457337446245376,24.406665652014944,12.135996901739556,602,unknown
45-54,52.67961157773878,23.87288424872321,23.447504173538007,5583,,Looking after family/home,57.01036791185111,24.126930708558262,18.862701379590625,1358,unknown
55-64,52.085664049276005,27.179542813400037,20.734793137324186,5324,,Long-term/temporarily sick/ill,46.11185667340468,24.880902327565938,29.00724099902905,1420,unknown
65-74,53.275561558599705,27.006198343430913,19.718240097969336,5171,,Retired,55.643738229870976,27.53174743291926,16.824514337209447,9200,unknown
75+,59.41448447522462,27.383739715066874,13.201775809708426,4205,,Other inactive,54.140832734705256,27.322807020770956,18.536360244523806,342,unknown
Men,54.23362393378963,25.535601142161706,20.230774924048355,15038,,Respondent's occupation,,,,,unknown
,,,,,,Managerial and professional occupations,55.20051503076616,26.472659445135793,18.326825524098474,11996,unknown
16-24,58.87940041810011,24.944601319096808,16.17599826280309,991,,Intermediate occupations,52.521081266288896,26.2835783413629,21.19534039234836,7484,unknown
25-34,54.78236810402949,26.752110281875535,18.46552161409475,2121,,Routine and manual occupations,54.77838680906682,24.46407445471047,20.757538736222468,10869,unknown
35-44,56.08735932627296,23.77623672609132,20.136403947635802,2333,,Never worked and long-term unemployed,57.931003320654995,24.924112318345855,17.144884360999047,993,unknown
45-54,51.80343497429462,22.845383329601685,25.351181696103765,2632,,Full-time students,63.02448950113009,24.36552743417594,12.609983064693967,912,unknown
55-64,51.520424030562516,27.165922041952495,21.313653927484964,2564,,Not classified,57.89600094413847,25.93214194244246,16.171857113419065,312,unknown
65-74,50.90999844367738,26.716561969719894,22.373439586602977,2465,,,,,,,unknown
75+,56.73152038663084,28.225889939095815,15.042589674273382,1932,,Highest qualification,,,,,unknown
,,,,,,Degree or diploma,55.55951431506381,25.88969874849051,18.550786936445576,13573,unknown
Women,55.82459661816227,25.68346381146074,18.491939570376946,17528,,Apprenticeship or A/AS level,54.67202974074185,24.882071431841947,20.44589882741603,5683,unknown
,,,,,,O level/GCSE,53.332344723965605,26.213422937635805,20.454232338398747,5745,unknown
16-24,57.876247123210646,25.981034620054626,16.142718256734742,1108,,Other,57.31467286278612,23.884037574498276,18.801289562715414,1517,unknown
25-34,56.70622931558874,25.310248540273978,17.98352214413707,2714,,,55.643664858771444,25.422321559814602,18.934013581413883,5933,unknown
35-44,55.2746337927283,23.374168423311577,21.351197783960306,3016,,,,,,,unknown
45-54,53.54062423734046,24.8826022617793,21.576773500880076,2951,,Disability2,,,,,unknown
55-64,52.63745866598049,27.192839586648866,20.169701747370603,2760,,Disabled,49.70006341381045,25.675431102761078,24.6245054834284,6390,unknown
65-74,55.512247865919406,27.280055213744337,17.207696920336087,2706,,Not disabled,56.13340204234446,25.57914980781276,18.287448149842835,26087,unknown
75+,61.58254009156037,26.703213080078918,11.714246828360722,2273,,,,,,,unknown
,,,,,,Religion,,,,,unknown
Ethnic group,,,,,,No religion,52.70061820200096,27.127672815909733,20.171708982089516,11870,unknown
White ,54.397195326476556,26.044234775379298,19.55856989814455,29025,,Christian,56.149734965219025,25.210019600910304,18.640245433870653,18315,unknown
