"table s9: public confidence in the police and local council by household and area characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,Unweighted base - number of adults,unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,,,,,unknown
Structure of household,,,,,unknown
Single adult and child(ren),52.86463285747506,23.660930727951545,23.474436414573592,1545,unknown
Adults and child(ren),56.33856571522846,23.903872492958495,19.757561791812883,7169,unknown
Adult(s) and no child(ren),54.62626708661086,26.327006760210743,19.04672615317777,23852,unknown
Tenure,,,,,unknown
Owner occupiers,54.49144733551224,26.112066654772338,19.39648600971451,21033,unknown
Social renters,53.47890064304154,23.601825765264728,22.919273591693926,5445,unknown
Private renters,57.71230944771322,25.6149516601685,16.67273889211829,5948,unknown
Accommodation type ,,,,,unknown
Houses,54.49628234307935,25.95895201453494,19.544765642385784,27670,unknown
Detached,56.17529797646077,27.35403029617004,16.47067172736919,8128,unknown
Semi-detached,53.80190406644807,25.782999253924523,20.415096679627062,10086,unknown
Terraced,53.844900809254305,25.00360199532561,21.15149719542032,9456,unknown
Flats/maisonettes,58.570398049326144,23.296705799071173,18.132896151603077,4752,unknown
Other accommodation,54.734308261005715,23.288189196612198,21.977502542382112,73,unknown
Output Area Classification,,,,,unknown
Rural residents,55.84356095931719,29.174100456501318,14.982338584181425,4314,unknown
Cosmopolitans,60.96449221137381,25.308263020444667,13.727244768181327,1217,unknown
Ethnicity central,57.151201975758184,22.821570519912385,20.027227504329325,1719,unknown
Multicultural metropolitans,53.973215249364934,24.23108127194341,21.795703478692,3922,unknown
Urbanites,56.82826579070144,25.69550204229003,17.47623216700833,5860,unknown
Suburbanites,55.33168382662785,26.861882177758595,17.806433995613393,6984,unknown
Constrained city dwellers,52.45583395763901,22.711600216365813,24.83256582599523,2199,unknown
Hard-pressed living,51.88470893737601,24.896400701852457,23.218890360771464,6351,unknown
Area type,,,,,unknown
Urban,54.76406566726022,25.028074571129256,20.20785976161107,25488,unknown
Rural,56.20726324385363,28.088271692116372,15.704465064029998,7078,unknown
Level of physical disorder,,,,,unknown
High,50.783827456231165,23.38602067908037,25.83015186468835,1529,unknown
Not high,55.25667180061012,25.703428095587665,19.039900103802736,30907,unknown
English Indices of Deprivation (Employment),,,,,unknown
20% most deprived output areas,48.78875484638057,24.47697454311569,26.73427061050411,5921,unknown
Other output areas,55.19617300156261,25.78994634489542,19.01388065354149,18496,unknown
20% least deprived output areas,58.41768563044859,27.468132380165244,14.114181989386013,5751,unknown
Welsh Indices of Deprivation (Employment),,,,,unknown
20% most deprived Output Areas,58.2142489784912,21.15881998682056,20.62693103468827,446,unknown
Other Output Areas,63.18211979040061,20.32130814799195,16.496572061607235,1458,unknown
20% least deprived Output Areas,66.26992899630581,23.691101962534837,10.038969041159342,494,unknown
Region,,,,,unknown
North East,52.17892439579044,23.168348776684493,24.652726827525022,1901,unknown
North West,55.89523348337434,24.613720301085575,19.49104621553975,4254,unknown
Yorkshire and The Humber,50.272643262135055,27.22656078387105,22.50079595399391,3051,unknown
East Midlands,49.46224132840793,29.880632309147405,20.657126362444256,2857,unknown
West Midlands,50.69505837725969,26.42958513287355,22.875356489866938,2748,unknown
East of England,54.239681986163276,25.52995286116443,20.230365152672228,3821,unknown
London,59.152709869126966,22.53267289030588,18.31461724056708,3994,unknown
South East,57.282240534104965,25.90951982873582,16.80823963715942,4195,unknown
South West,55.25802110294459,28.9772916097553,15.764687287300019,3347,unknown
Wales,62.861924100701785,21.204802437191315,15.933273462106905,2398,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,unknown
