"table s11: visiblity of police on foot patrols, by personal characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,Local police,Unweighted base- number of adults2,,,Local police,Unweighted base - number of adults2,unknown
,Percentage of adults reporting high visibility,,,,Percentage of adults reporting high visibility,,unknown
ALL ADULTS,21.96711901412713,9119,,Respondent's employment status,,,unknown
,,,,In employment,23.381963438231057,5240,unknown
Sex,,,,Unemployed,28.947901280123965,176,unknown
Men,23.933324036401114,4277,,Economically inactive,19.06553088671685,3696,unknown
Women,20.07820122603349,4842,,Student,36.682384195384486,186,unknown
,,,,Looking after family/home,28.961781775215606,412,unknown
Age,,,,Long-term/temporarily sick/ill,28.15723589042896,398,unknown
16-24,31.0035939945873,682,,Retired,12.842087838929897,2588,unknown
25-34,28.28101829506896,1325,,Other inactive,15.39859700575789,112,unknown
35-44,26.62941749116559,1439,,,,,unknown
45-54,21.59740359604071,1610,,Respondent's occupation (NS-SEC),,,unknown
55-64,16.95740364186209,1485,,Managerial and professional occupations,19.834592124457963,3214,unknown
65-74,13.518216298717553,1450,,Intermediate occupations,20.066726236401994,2087,unknown
75+,10.742067435181864,1128,,Routine and manual occupations,22.153929390679224,3090,unknown
,,,,Never worked and long-term unemployed,28.006614973377836,362,unknown
Ethnic group,,,,Full-time students,36.73737709905799,288,unknown
White ,20.219871037662053,8191,,Not classified,18.03291762674156,78,unknown
   English/Welsh/Scottish/Northern Irish/British,18.986435151294888,7606,,,,,unknown
   Irish,30.515346347201238,83,,Highest qualification,,,unknown
   Gypsy or Irish Traveller,-,5,,Degree or diploma,22.538066590482707,3597,unknown
   Any other white background,35.09025021300679,497,,Apprenticeship or A/AS level,23.25672726011155,1566,unknown
Mixed/Multiple,39.29274545337657,110,,O level/GCSE,21.767048150867254,1653,unknown
   White and Black Caribbean,-,42,,Other,23.154969243240934,399,unknown
   White and Black African,-,19,,,19.342524930942677,1886,unknown
   White and Asian,-,25,,,,,unknown
   Any other Mixed/Multiple ethnic background,-,24,,Long-standing illness or disability ,,,unknown
Asian/Asian British,32.76932764532708,486,,Long-standing illness or disability ,20.89681379384252,2237,unknown
   Indian,29.219212980787272,195,,Limits activities,20.84382976484647,1752,unknown
   Pakistani,38.15234235436479,122,,Does not limit activities,21.066238498508717,485,unknown
   Bangladeshi,-,44,,No long-standing illness or disability ,22.279843314724467,6867,unknown
   Chinese,-,47,,,,,unknown
   Any other Asian background,42.19880983378275,78,,Overall level of perceived ASB,,,unknown
Black/African/Caribbean/Black British,32.420856647755215,243,,High,31.867786913673825,714,unknown
   African,35.25337476857413,140,,Not high,21.119748565743468,7796,unknown
   Caribbean,27.17768148899424,86,,,,,unknown
   Any other Black/African/Caribbean background,-,17,,Experience of crime in last 12 months3,,,unknown
Other ethnic group,34.80728442953096,82,,Victim,26.34938108579031,1230,unknown
   Arab,-,36,,Not a victim,21.247815052762505,7889,unknown
   Any other ethnic group,-,46,,,,,unknown
Marital status,,,,,,,unknown
Married/civil partnered,19.48819291370337,4117,,,,,unknown
Cohabiting,22.54015446387882,950,,,,,unknown
Single,29.27735657901015,2082,,,,,unknown
Separated,22.848245274126324,266,,,,,unknown
Divorced/legally dissolved partnership,21.654001791560862,828,,,,,unknown
Widowed,11.046093192305728,856,,,,,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,unknown
2. The question on visibility of police on foot patrols is only asked to a quarter of the CSEW sample.,,,,,,,unknown
3. The 'Experience of Crime' variable covers the victimisation of all types of crime excluding fraud and computer misuse. Fraud and computer misuse estimates are currently Experimental statistics and these questions were only asked of half the sample for the year ending March 2017.,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
