"table s17: percentage of incidents in which victims were satisfied with the police by cjs factors, year ending march 2017 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Satisfaction with the police,Unweighted base - number of adults,unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Treated fairly by the police,,,unknown
Yes,83.95780300450602,1724,unknown
No,8.016095739499502,395,unknown
Treated with respect by the police,,,unknown
Yes,76.30731003030097,1920,unknown
No,8.130114198363456,188,unknown
If police found out who did it,,,unknown
Yes,67.28404686595091,643,unknown
No,68.17951110747016,1207,unknown
Not yet,77.87864489949986,107,unknown
Action taken against offender,,,unknown
Charged,90.33843318680053,180,unknown
Given caution,68.24398924493745,65,unknown
Gave them a fine (or Penalty Notice for Disorder),-,4,unknown
Made them do something to make amends for the matter,-,10,unknown
Some other action,72.44730833144047,59,unknown
No action (yet) taken against the offender,49.000790868420744,251,unknown
Did offender go to court,,,unknown
Yes,90.6539306684598,151,unknown
No,56.170197746344655,337,unknown
Not yet,78.3218935639755,53,unknown
How well police kept the victim informed,,,unknown
Well,88.28277046365197,750,unknown
Not well,35.16739470012838,725,unknown
Not necessary to keep me informed,83.12028435227808,654,unknown
Police gave victim chance to talk to somone formally or informally,,,unknown
Yes,81.61616904446733,144,unknown
No,61.29845528115554,63,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
