"table s19: attitudes to local police working in partnership, by police force area, english regions and wales, year ending march 2017 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
Area Code,Area Name,,Police and local council are dealing with issues,,,,unknown
,,,"% saying
strongly agree/
tend to agree",Statistically significantly different from England and Wales1,Statistically significantly different from       Apr '15 to Mar '161,Unweighted base - number of adults,unknown
K04000001,ENGLAND AND WALES,,61.25034959916912,:,*↓,33679,unknown
E92000001,ENGLAND,,61.13431680325147,,*↓,31132,unknown
E12000001,North East,,57.34760553365545,*,*↓,1950,unknown
E23000013,Cleveland,,61.134298601240445,,,526,unknown
E23000008,Durham,,60.98983611208452,,,634,unknown
E23000007,Northumbria,,54.63233142180279,*,*↓,790,unknown
E12000002,North West,,63.56954229856072,*,,4085,unknown
E23000006,Cheshire,,65.9126302475867,,,624,unknown
E23000002,Cumbria,,66.20535644207493,*,,590,unknown
E23000005,Greater Manchester,,64.49755166157755,,,1471,unknown
E23000003,Lancashire,,67.63183885708625,*,,735,unknown
E23000004,Merseyside,,54.531882934731385,*,,665,unknown
E12000003,Yorkshire and the Humber,,55.81416239609078,*,,3170,unknown
E23000012,Humberside,,50.47582172118215,*,,628,unknown
E23000009,North Yorkshire,,67.17471861203497,,,641,unknown
E23000011,South Yorkshire,,47.62342236147605,*,,720,unknown
E23000010,West Yorkshire,,58.71939846263006,,,1181,unknown
E12000004,East Midlands,,57.782232197722706,*,,3135,unknown
E23000018,Derbyshire,,52.66045360604725,*,,638,unknown
E23000021,Leicestershire,,66.24447661398467,*,,640,unknown
E23000020,Lincolnshire,,59.912580643166336,,,620,unknown
E23000022,Northamptonshire,,52.73043918726008,*,*↓,598,unknown
E23000019,Nottinghamshire,,56.70505483355532,*,,639,unknown
E12000005,West Midlands,,62.42077371403985,,,2816,unknown
E23000015,Staffordshire,,60.357816599325155,,,378,unknown
E23000017,Warwickshire,,62.61085443375337,,,632,unknown
E23000016,West Mercia,,62.82469810296872,,,570,unknown
E23000014,West Midlands,,62.76764029230125,,,1236,unknown
E12000006,East,,59.57583269017863,,,3902,unknown
E23000026,Bedfordshire,,57.24926783227106,,,641,unknown
E23000023,Cambridgeshire,,62.455207053411286,,,622,unknown
E23000028,Essex,,54.13672377343111,*,,844,unknown
E23000027,Hertfordshire,,62.81988700352866,,,591,unknown
E23000024,Norfolk,,65.35001134361183,,,590,unknown
E23000025,Suffolk,,58.35540320611308,,,614,unknown
E12000007,London,,62.86570931607108,,,3990,unknown
E12000007,City of London / Metropolitan Police,,62.86570931607108,,,3990,unknown
E12000008,South East,,63.247639263165254,,,4437,unknown
E23000030,Hampshire,,64.16159254797768,,,972,unknown
E23000032,Kent,,57.996090768623844,,,838,unknown
E23000031,Surrey,,68.3545835126637,,,625,unknown
E23000033,Sussex,,57.13843967532031,,,833,unknown
E23000029,Thames Valley,,67.80348235126147,*,,1169,unknown
E12000009,South West,,62.32427048038148,,,3647,unknown
E23000036,Avon and Somerset,,55.92834612163934,*,,780,unknown
E23000035,Devon and Cornwall,,71.04074327697745,*,,930,unknown
E23000039,Dorset,,59.747073758591604,,,601,unknown
E23000037,Gloucestershire,,65.78571650343001,,,732,unknown
E23000038,Wiltshire,,57.622751838818246,,,604,unknown
W92000004,WALES,,63.28274021279806,,,2547,unknown
W15000004,Dyfed-Powys,,70.27158682262147,*,,592,unknown
W15000002,Gwent,,54.26574507047701,*,,690,unknown
W15000001,North Wales,,61.46596963682114,,,594,unknown
W15000003,South Wales,,65.90826763871523,,,671,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
1. '*' denotes statistically significantly different in comparison with England and Wales while '*↑/↓' denotes statistically significant different in comparison with the year ending March 2016 estimate.,,,,,,,unknown
