"table s22:  awareness of police and crime commissioners, by personal characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,"Awareness of Police and Crime
 Commissioners",Unweighted base - number of adults2,,,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentages,,,,Percentages,,unknown
ALL ADULTS,62.32352996610698,30928,,Respondent's employment status,,,unknown
,,,,In employment,62.853355447695606,17525,unknown
Age,,,,Unemployed,49.54214248594619,614,unknown
16–24,40.53996572959204,2239,,Economically inactive,62.226626772473445,12759,unknown
25–34,49.48282235588588,4404,,Student,40.34505214141929,636,unknown
35–44,61.256057368210136,4847,,Looking after family/home,45.147995101569386,1277,unknown
45–54,68.81529385751968,5414,,Long-term/temporarily sick/ill,50.62784639853901,1393,unknown
55–64,74.15946500529678,5057,,Retired,71.30571427488505,9100,unknown
65–74,77.0195167748105,5110,,Other inactive,48.20342265248896,353,unknown
75+,64.4893444663723,3857,,,,,unknown
,,,,Respondent's occupation (NS-SEC),,,unknown
Sex,,,,Managerial and professional occupations,75.23691180939387,10682,unknown
Men,66.70958275093469,14291,,Intermediate occupations,64.95615151404937,7300,unknown
Women,58.159049674152506,16637,,Routine and manual occupations,53.88834577417101,10727,unknown
,,,,Never worked and long-term unemployed,38.05772529389117,1029,unknown
Ethnic group,,,,Full-time students,42.165827534276815,950,unknown
White ,64.46569473718483,28739,,Not classified,51.32774518648584,240,unknown
English/Welsh/Scottish/Northern Irish/British,66.19397254331,27263,,,,,unknown
Irish,64.43453960399037,189,,Highest qualification,,,unknown
"Gypsy, Traveller or Irish Traveller",-,17,,Degree or diploma,73.69369091108507,11767,unknown
Any other White background,32.11703997116419,1270,,Apprenticeship or A/AS level,63.53436503681758,5572,unknown
Mixed/Multiple,47.22411457146859,259,,O level/GCSE,57.1653951339346,5856,unknown
White and Black Caribbean,38.472278361101736,92,,Other,51.257248043351126,1200,unknown
White and Black African,-,35,,,46.07129229488841,6457,unknown
White and Asian,54.50552404324122,77,,,,,unknown
Any other Mixed/Multiple background,53.52067776448456,55,,Long-standing illness or disability ,,,unknown
Asian/Asian British,37.534465679555645,1221,,Long-standing illness or disability ,63.93163734542537,7818,unknown
Indian,41.50132745553732,485,,Limits activities,62.03016942653261,6160,unknown
Pakistani,37.4332866710105,374,,Does not limit activities,70.32428280428074,1651,unknown
Bangladeshi,36.30737215048586,86,,No long-standing illness or disability ,61.82720782211937,23039,unknown
Chinese,22.97773595705304,108,,,,,unknown
Any other Asian background,36.18043092711699,168,,,,,unknown
Black/African/Caribbean/Black British,49.333640117481956,492,,Confidence in police and local council dealing with issues,,,unknown
African,45.34830936722007,292,,Agree,63.524184003035785,18012,unknown
Caribbean,61.101506456055596,156,,No opinion,59.955197015722476,7108,unknown
Any other Black/African/Caribbean background,-,44,,Disagree,63.02877490962526,4518,unknown
Other ethnic group,31.00587570787739,194,,,,,unknown
Arab,22.676425454798554,78,,Experience of crime in last 12 months3,,,unknown
Any other ethnic group,37.21757915090444,116,,Victim,59.66426441187102,4034,unknown
,,,,Not a victim,62.75334298905534,26894,unknown
Marital status,,,,,,,unknown
Married/civil partnered,70.46446113377286,14014,,,,,unknown
Cohabiting,57.57741105939247,3416,,,,,unknown
Single,47.92259400249787,6531,,,,,unknown
Separated,61.418247782570226,929,,,,,unknown
Divorced/legally dissolved partnership,65.03845648464345,2881,,,,,unknown
Widowed,57.172840930873534,3083,,,,,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
1. Section 7.3 of User Guide provides definitions of personal characteristics.,,,,,,,unknown
2. Unweighted base refers to non-London residents only,,,,,,,unknown
3. The 'Experience of Crime' variable covers the victimisation of all types of crime excluding fraud and computer misuse. Fraud and computer misuse estimates are currently Experimental statistics and these questions were only asked of half the sample for the year ending March 2017.,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
