"table s23:  awareness of police and crime commissioners, by household and area characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentages,,unknown
ALL ADULTS,62.32352996610698,30928,unknown
Structure of household,,,unknown
Single adult and child(ren),46.270502749933385,1518,unknown
Adults and child(ren),56.242625895897326,6592,unknown
Adult(s) and no child(ren),65.12737752650641,22818,unknown
Total household income,,,unknown
"Less than £10,000",49.48038308698487,2999,unknown
"£10,000 to less than £20,000",56.89135283999477,6040,unknown
"£20,000 to less than £30,000",63.5001734052532,4728,unknown
"£30,000 to less than £40,000",65.78253060877327,3662,unknown
"£40,000 to less than £50,000",68.00601559509595,2644,unknown
"£50,000 or more",71.84268502894376,5818,unknown
No income stated or not enough information provided,54.62883209931216,5036,unknown
Tenure,,,unknown
Owner occupiers,69.98035011212191,20399,unknown
Social renters,48.01365610118573,4931,unknown
Private renters,48.031736603632154,5453,unknown
Accommodation type ,,,unknown
Houses,63.725947425699104,27214,unknown
Detached,73.70971051895627,8484,unknown
Semi-detached,62.01828647025269,9970,unknown
Terraced,56.25013156943387,8760,unknown
Flats/maisonettes,49.76690875621536,3560,unknown
Other accomodation,62.35641249934449,78,unknown
Output Area Classification,,,unknown
Rural residents ,74.37648277079337,4448,unknown
Cosmopolitans ,54.370457779852956,834,unknown
Ethnicity central ,38.518292149830316,333,unknown
Multicultural metropolitans ,48.4938544826576,2735,unknown
Urbanities ,64.76633533972144,6194,unknown
Suburbanities ,69.86235906275013,7309,unknown
Constrained city dwellers ,50.237469083334595,2385,unknown
Hard-pressed living ,57.789545614189954,6690,unknown
Area type,,,unknown
Urban,59.82367271528373,23534,unknown
Rural,71.76306648094571,7394,unknown
Level of physical disorder,,,unknown
High,41.87874601243245,1523,unknown
Not high,63.57703967573497,29179,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,50.400783041749534,5512,unknown
Other Output Areas,63.61599663394616,17105,unknown
20% least deprived Output Areas,69.37295169389813,5637,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of area and household characteristics.,,,unknown
2. Unweighted base refers to non-London residents only,,,unknown
