"table s24:  contact and details of contact with police and crime commissioners (pcc), year ending march 2017 csew",unnamed: 1,age_band
England and Wales,Adults aged 16 and over,unknown
,Percentage,unknown
Had contacted their local PCC in the last 12 months,1.5296699897787127,unknown
Unweighted base - number of adults1,30924,unknown
How contact made2,,unknown
By telephone,31.176071359063545,unknown
At a local event,27.184239707734566,unknown
By email,16.49442768959924,unknown
Had contact with them through work,13.222740474652072,unknown
At a surgery session,2.269077135885975,unknown
By letter,2.268455848126834,unknown
Some other way,19.391956997487807,unknown
Nature of contact2,,unknown
Shared information on community activity / local crime,24.79597434278463,unknown
Shared views on policing / crime priorities,17.178357048377826,unknown
Had contact with them through work,12.943159030858814,unknown
Spoke to them as a victim of crime,11.407864668659158,unknown
Asked for information,11.23149479795767,unknown
Shared views on police budget / council tax charged for the police,4.282984642968526,unknown
Made a complaint about the local police,2.740653849695689,unknown
Made a complaint about the PCC or their office,0.3609960459852278,unknown
Something else,28.972590792085285,unknown
Unweighted base - number of adults3,484,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,unknown
1. The unweighted base is adults resident outside of the London Area. Within the London area responsibility for holding police to account is the responsibility of the Mayor of London and not a Police and Crime Commissioner.,,unknown
2. Figures add to more than 100 as more than one response is possible.,,unknown
3. Unweighted base refer to questions on how contact with PCC was made. Bases for the questions on nature of contact will be similar.,,unknown
