"table s26:  confidence in the criminal justice system by personal characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Confident that the CJS is fair,Confident that the CJS is effective,Unweighted base - number of adults2,,,Confident that the CJS is fair,Confident that the CJS is effective,Unweighted base - number of adults2,unknown
,Percentages,,,,,Percentages,,,unknown
ALL ADULTS,67.84506451157544,52.53028249477835,17144,,Respondent's employment status,,,,unknown
,,,,,In employment,68.34055890004129,52.89796275977645,9943,unknown
Age,,,,,Unemployed,60.41779835611042,55.65498405816858,323,unknown
16-24,74.27575498824481,68.33052689174751,1249,,Economically inactive,67.41030717084584,51.66451137279725,6866,unknown
25-34,69.52519496160569,58.770533333794006,2480,,Student,80.101398300123,74.98742947648539,368,unknown
35-44,67.52988056042129,52.69327475563157,2737,,Looking after family/home,70.78322030944236,59.37867833571065,708,unknown
45-54,65.07904511432467,47.33877691233288,3079,,Long-term/temporarily sick/ill,52.973869833453044,42.66034628646165,760,unknown
55-64,64.23187889084745,45.161172032539085,2817,,Retired,66.71650159747233,46.916605404658824,4818,unknown
65-74,64.62849265703451,43.33260609278829,2750,,Other inactive,68.20235796528227,61.35479007463417,212,unknown
75+,71.6672937636925,53.43301811540029,2032,,,,,,unknown
,,,,,Respondent's occupation (NS-SEC),,,,unknown
Sex,,,,,Managerial and professional occupations,70.50456448570542,50.9940296393365,6116,unknown
Men,69.96048881282853,52.31739920419256,8007,,Intermediate occupations,63.652528264705325,47.71208741225682,4027,unknown
Women,65.80834495891182,52.73251709899359,9137,,Routine and manual occupations,65.74875446741653,52.462573785368335,5702,unknown
,,,,,Never worked and long-term unemployed,69.80472131462724,61.85042533822093,597,unknown
Ethnic group,,,,,Full-time students,77.49614408930499,73.0825881801232,558,unknown
White ,67.34632299672181,50.557447803657276,15401,,Not classified,70.59993424408711,59.507666174179555,144,unknown
English/Welsh/Scottish/Northern Irish/British,66.35161374695663,48.975308883016375,14399,,,,,,unknown
Irish,65.54777492670704,47.42958832806071,143,,Highest qualification,,,,unknown
"Gypsy, Traveller or Irish Traveller",-,-,10,,Degree or diploma,71.28390408856681,53.55397933532052,6839,unknown
Any other White background,81.46950853935246,73.8051440032196,849,,Apprenticeship or A/AS level,65.34795063841979,50.374338861258096,3022,unknown
Mixed/Multiple,66.05595855242188,50.27524672374051,190,,O level/GCSE,64.13192472501868,50.77944312244529,3125,unknown
White and Black Caribbean,60.067760442139296,50.8796846073913,61,,Other,65.78351343325546,56.12197632993945,693,unknown
White and Black African,-,-,29,,,67.06160396727486,53.321855446634004,3429,unknown
White and Asian,78.14305732614163,57.30726084115288,56,,,,,,unknown
Any other Mixed/Multiple background,-,-,44,,Long-standing illness or disability ,,,,unknown
Asian/Asian British,74.06800141264834,66.9261296670546,901,,Long-standing illness or disability ,59.862292206952326,43.73167265618058,4096,unknown
Indian,74.76640761832176,64.10435609684751,359,,Limits activities,57.954291189679985,42.80835003263506,3216,unknown
Pakistani,71.20405258927191,64.58645391329158,224,,Does not limit activities,66.23476486178296,46.86964511024691,877,unknown
Bangladeshi,70.2688256135733,67.67670932127336,80,,No long-standing illness or disability ,69.91535584111206,54.85136682830046,13019,unknown
Chinese,73.64684631223268,66.89659448406924,88,,,,,,unknown
Any other Asian background,80.07529898963142,77.23695456908469,150,,Confidence in police and local council dealing with issues,,,,unknown
Black/African/Caribbean/Black British,65.70789815201208,67.0217993279655,470,,Agree,77.49164913141948,62.55313337432648,10113,unknown
African,71.35263682998844,75.04376506501886,269,,No opinion,61.08084047376763,44.042235807187154,3778,unknown
Caribbean,54.21794752176399,49.464790980223135,161,,Disagree,41.605903977238476,26.980613427571114,2528,unknown
Any other Black/African/Caribbean background,-,-,40,,,,,,unknown
Other ethnic group,73.79401744736302,70.19331094140566,165,,Experience of crime in last 12 months3,,,,unknown
Arab,68.22697334095147,70.03555242047794,64,,Victim,62.41829381457268,47.77659851920391,2274,unknown
Any other ethnic group,77.77065172913521,70.3111570885739,101,,Not a victim,68.7284048480343,53.31080041172246,14870,unknown
Marital status,,,,,,,,,unknown
Married/civil partnered,67.87587833572618,49.5165616291927,7770,,,,,,unknown
Cohabiting,65.35514595599156,49.08639581840942,1816,,,,,,unknown
Single,69.81400035235656,61.63652060446056,3838,,,,,,unknown
Separated,66.02976069486517,50.29656844107448,502,,,,,,unknown
Divorced/legally dissolved partnership,62.44016611394376,46.43751865897756,1577,,,,,,unknown
Widowed,70.43110512888084,54.325114308588276,1596,,,,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,unknown
1. Section 7.3 of User Guide provides definitions of personal characteristics.,,,,,,,,,unknown
2. Unweighted base refers to confidence that the CJS is fair. Base for CJS is effective will be similar.,,,,,,,,,unknown
3. The 'Experience of Crime' variable covers the victimisation of all types of crime excluding fraud and computer misuse. Fraud and computer misuse estimates are currently Experimental statistics and these questions were only asked of half the sample for the year ending March 2017.,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,unknown
