"table s27: confidence in the criminal justice system, by household and area characteristics, 2015/16 csew",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,Adults aged 16 and over/households,unknown
,Confident that the CJS is fair,Confident that the CJS is effective,Unweighted base - number of adults2,unknown
,Percentages,,,unknown
ALL ADULTS,67.84506451157544,52.53028249477835,17144,unknown
Structure of household,,,,unknown
Single adult and child(ren),60.36046954373592,50.963313853805445,826,unknown
Adults and child(ren),69.51382115029602,55.85701529052919,3694,unknown
Adult(s) and no child(ren),67.49732660823769,51.342115916779754,12624,unknown
Total household income,,,,unknown
"Less than £10,000",63.22296138455054,50.84188486236696,1640,unknown
"£10,000 to less than £20,000",65.24159743909455,51.98580225330791,3292,unknown
"£20,000 to less than £30,000",66.96999338716691,52.4199368096283,2589,unknown
"£30,000 to less than £40,000",66.97743357321133,51.21693120539228,1976,unknown
"£40,000 to less than £50,000",69.09714538685986,50.99170683868386,1444,unknown
"£50,000 or more",71.70289446584633,51.4203630130833,3429,unknown
No income stated or not enough information provided,67.42792915052652,56.48309249733524,2773,unknown
Tenure,,,,unknown
Owner occupiers,68.47910489973847,49.992229639802474,11108,unknown
Social renters,59.59873546008151,51.39695433838045,2828,unknown
Private renters,71.67560337475716,60.57834385587877,3122,unknown
Accommodation type ,,,,unknown
Houses,67.47186086304956,51.39769801968803,14571,unknown
Detached,70.37124373338925,49.975222586812514,4364,unknown
Semi-detached,65.71382032990665,50.272897718433406,5363,unknown
Terraced,66.91328617372291,53.80419718729469,4844,unknown
Flats/maisonettes,70.18857572046853,59.76111303242728,2489,unknown
Other accomodation,-,-,38,unknown
Output Area Classification,,,,unknown
Rural residents,70.78010315297844,50.930646440697835,2228,unknown
Cosmopolitans,75.15433697597985,64.11532518839572,639,unknown
Ethnicity central,71.80922041465519,63.98825033755679,857,unknown
Multicultural metropolitans,69.60306264561653,58.63863988662731,1989,unknown
Urbanities,68.62014183262949,51.74236685357254,3279,unknown
Suburbanities,69.01346876397342,49.57270739797753,3689,unknown
Constrained city dwellers,59.64560067864302,47.66699730475708,1164,unknown
Hard-pressed living ,61.98342466972427,47.83139239230836,3299,unknown
Area type,,,,unknown
Urban,67.36057310944209,52.948775776310356,13452,unknown
Rural,69.98805495689258,50.65597586121233,3692,unknown
Level of physical disorder,,,,unknown
High,62.80619824512452,52.32971765637306,853,unknown
Not high,68.15459537563856,52.550589206664874,16188,unknown
English Indices of Deprivation (Employment),,,,unknown
20% most deprived Output Areas,62.29049305304297,49.95962757451565,2936,unknown
Other Output Areas,68.25249841679052,52.88652305021709,9750,unknown
20% least deprived Output Areas,71.70807703552103,54.31013727287554,3175,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of area and household characteristics.,,,,unknown
2. Unweighted base refers to confidence that the CJS is fair. Base for CJS is effective will be similar.,,,,unknown
