"table s29: perceptions of changing crime levels, year ending december 1996 to year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,Adults aged 16 and over,unknown
,Jan '96 to Dec '96,Jan '98 to Dec '98,Jan '00 to Dec '00,Apr '01 to Mar '02,Apr '02 to Mar '03,Apr '03 to Mar '04,Apr '04 to Mar '05,Apr '05 to Mar '06,Apr '06 to Mar '07,Apr '07 to Mar '08,Apr '08 to Mar '092,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '12,Apr '12 to Mar '132,Apr '13 to Mar '14,Apr '14 to Mar '15,Apr '15 to Mar '16,Apr '16 to Mar '17,April 2016 to March 2017 compared with:,unknown
,,,,,,,,,,,,,,,,,,,,Apr '15 to Mar '16,unknown
,Percentage saying there is 'a little more' or 'a lot more' crime than two years ago,,,,,,,,,,,,,,,,,,,Statistically significant difference,unknown
National,75.18298279403,58.20034071143,66.33697388668,64.60660541062151,72.3716766137431,65.31529089960986,60.64685846085367,62.624652853812655,64.44134750180837,65.3974927995324,74.85367064508415,66.42349508246306,59.875333890460105,66.02325379755675,:,:,:,:,:,,unknown
Local,54.76633365364,46.23002814014,49.97281395766,51.12022033163278,53.96923023066299,48.52973600906173,42.39032222887681,41.92339687245511,41.32980183732571,38.89087080059729,36.18818464136437,30.588140279336155,27.887806983632924,29.24726660990767,:,:,:,:,:,,unknown
Unweighted base - number of adults3,8235,7248,9369,8136,8958,9292,10965,11738,11580,11404,11464,10966,11584,11373,:,:,:,:,:,,unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,,,,,,,,,,,,,,,,,,unknown
National,:,:,:,:,:,:,:,:,:,:,84.10291853176572,79.97714068790692,73.79368648921555,79.33621052949236,69.46743919412776,61.415694713442804,57.37414716543696,59.73326879284482,62.80706062821647,*,unknown
Local,:,:,:,:,:,:,:,:,:,:,48.961192540390726,43.44870078066606,40.0003688506088,39.29402217105106,34.59716723819671,32.25543870470191,30.285072922037592,31.311565516408834,37.17438613180013,*,unknown
Unweighted base - number of adults3,:,:,:,:,:,:,:,:,:,:,34447,33119,34735,34119,26451,26554,25022,26300,26361,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,,,,,,,,,,,unknown
1. The question about the perception of the local crime rate is only asked to half of the sample.,,,,,,,,,,,,,,,,,,,,,unknown
"2. From year ending March 2009 to year ending March 2012, two questions on perceptions of changing crime levels were included in the CSEW. For year ending March 2013, the question 'How much would you say the crime rate here as changed since two years ago?' was dropped from the survey.",,,,,,,,,,,,,,,,,,,,,unknown
3. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more. ,,,,,,,,,,,,,,,,,,,,,unknown
: denotes not available,,,,,,,,,,,,,,,,,,,,,unknown
