"table s3: ratings of the local police, by household and area characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Local police,Unweighted base - number of adults,unknown
,"Percentage saying police 
doing a good/excellent job",,unknown
ALL ADULTS,62.25710159619743,33450,unknown
Structure of household,,,unknown
Single adult and child(ren),58.675440065299696,1706,unknown
Adults and child(ren),63.148308076702165,7363,unknown
Adult(s) and no child(ren),62.0604339251395,24381,unknown
Total household income,,,unknown
"Less than £10,000",59.83746312841125,3175,unknown
"£10,000 to less than £20,000",61.94714857788064,6536,unknown
"£20,000 to less than £30,000",61.0980776913494,5020,unknown
"£30,000 to less than £40,000",62.2775145571954,3860,unknown
"£40,000 to less than £50,000",63.52283554344864,2826,unknown
"£50,000 or more",64.6548538565212,6530,unknown
No income stated or not enough information provided,60.82067019933791,5500,unknown
Tenure,,,unknown
Owner occupiers,61.5453920767776,21306,unknown
Social renters,57.246460948082614,5671,unknown
Private renters,68.05014362792772,6277,unknown
Accommodation type ,,,unknown
Houses,61.486281275725055,28287,unknown
Detached,63.98016274634797,8234,unknown
Semi-detached,60.60384764388942,10308,unknown
Terraced,60.427761699450045,9745,unknown
Flats/maisonettes,66.91891903444775,5009,unknown
Other accomodation ,69.49503448208945,70,unknown
Output Area Classification,,,unknown
Rural residents ,64.85601955095959,4182,unknown
Cosmopolitans ,72.4163763234927,1301,unknown
Ethnicity central ,64.24335307590498,1791,unknown
Multicultural metropolitans ,61.3127268186213,4021,unknown
Urbanities ,64.2673860817414,6277,unknown
Suburbanities ,63.23634537783301,7100,unknown
Constrained city dwellers ,56.12833716137803,2341,unknown
Hard-pressed living ,56.95069821188915,6437,unknown
Area type,,,unknown
Urban,62.15030402041558,26493,unknown
Rural,62.76224904660735,6957,unknown
Level of physical disorder,,,unknown
High,57.39836154925314,1785,unknown
Not high,62.597353627107,31440,unknown
Employment deprivation index,,,unknown
20% most deprived output areas,55.968929419443604,5874,unknown
Other output areas,62.40816545406337,19001,unknown
20% least deprived output areas,67.80268206108705,6037,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide have definitions of area and household characteristics.,,,unknown
