"table s35:  high levels of perceived anti-social behaviour in local area by personal characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,High level of perceived ASB2,Unweighted base - number of adults3,,,High level of perceived ASB2,Unweighted base - number of adults3,unknown
,Percentages,,,,Percentages,,unknown
ALL ADULTS,9.050071229580773,8658,,Respondent's employment status,,,unknown
,,,,In employment,9.018041808630478,5067,unknown
Age,,,,Unemployed,21.230394965856693,160,unknown
16-24,12.664434437760704,655,,Economically inactive,8.277965117199756,3422,unknown
25-34,10.893536255010657,1289,,Student,10.48935757136371,182,unknown
35-44,12.006074456377315,1403,,Looking after family/home,12.512415641804541,391,unknown
45-54,9.135546785023175,1538,,Long-term/temporarily sick/ill,22.827527891030176,375,unknown
55-64,7.6796851701733,1414,,Retired,4.285489358663071,2367,unknown
65-74,5.3948428190579625,1347,,Other inactive,14.672371189593125,107,unknown
75+,2.2583998553394316,1012,,,,,unknown
,,,,Respondent's occupation (NS-SEC),,,unknown
Sex,,,,Managerial and professional occupations,6.059751105533116,3063,unknown
Men,8.261420006115335,4121,,Intermediate occupations,9.31705940051965,2003,unknown
Women,9.829681403225104,4537,,Routine and manual occupations,10.760097782646904,2896,unknown
,,,,Never worked and long-term unemployed,18.45925383679858,344,unknown
Ethnic group,,,,Full-time students,10.372080124514786,284,unknown
White ,8.103149884083937,7761,,Not classified,5.496380153573358,68,unknown
English/ Welsh/ Scottish/ Northern Irish/ British ,7.991592430755221,7221,,,,,unknown
Irish ,4.568479900776204,72,,Highest qualification,,,unknown
"Gypsy, Traveller or Irish Traveller ",-,5,,Degree or diploma,7.1707476349827175,3449,unknown
Any other White background,10.100489143049138,463,,Apprenticeship or A/AS level,9.342404987244752,1489,unknown
Mixed/ Multiple ethnic groups,12.39899957090315,104,,O level/GCSE,10.313161383330865,1570,unknown
White and Black Caribbean ,-,38,,Other,12.086988928456432,366,unknown
White and Black African ,-,19,,,10.906031041427354,1764,unknown
White and Asian ,-,25,,,,,unknown
Any other Mixed/ Multiple ethnic background,-,22,,Long-standing illness or disability ,,,unknown
Asian/ Asian British,16.122422041872962,466,,Long-standing illness or disability ,10.796145010493637,2079,unknown
Indian ,12.262171535213113,185,,Limits activities,12.254242844902882,1619,unknown
Pakistani ,22.612526897898004,120,,Does not limit activities,6.203154516636293,460,unknown
Bangladeshi ,-,44,,No long-standing illness or disability ,8.583916261884623,6565,unknown
Chinese ,-,44,,,,,unknown
Any other Asian background ,9.91338428983685,73,,Confidence in police and local council dealing with issues,,,unknown
Black/ African/ Caribbean/ Black British,11.00995371517475,236,,Agree,5.797224186828993,278,unknown
African ,10.020239606955563,135,,No opinion,7.953959362310507,150,unknown
Caribbean ,13.505226999265027,84,,Disagree,26.97200773993088,281,unknown
Any other Black/ African/ Caribbean background ,-,17,,,,,unknown
Other ethnic group,23.84410649638499,81,,Experience of crime in last 12 months,,,unknown
Arab ,-,35,,Victim,7.3511916870207274,510,unknown
Any other ethnic group ,19.294896667862034,46,,Not a victim,9.050071229580773,725,unknown
Marital status,,,,,,,unknown
Married/civil partnered,7.261943212006846,3925,,,,,unknown
Cohabiting,8.86987791426171,925,,,,,unknown
Single,12.926141389617666,1993,,,,,unknown
Separated,12.312123612958132,247,,,,,unknown
Divorced/legally dissolved partnership,11.973220471411567,770,,,,,unknown
Widowed,4.369024260636451,784,,,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
1. Section 7.3 of the User Guide provides definitions of the personal characteristics.,,,,,,,unknown
2. This measure is derived from responses to the seven individual anti-social behaviour strands as described in Sections 5.7 and 6.3 of the User Guide.,,,,,,,unknown
3. Questions on perceptions of anti-social behaviour were only asked of one quarter of the CSEW sample in 2015/16.,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
