"table s36:  high levels of perceived anti-social behaviour in local area by household and area characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,High level of perceived ASB2,Unweighted base - number of adults3,unknown
,Percentages,,unknown
ALL ADULTS,9.050071229580773,8658,unknown
Structure of household,,,unknown
Single adult and child(ren),17.585050360120896,415,unknown
Adults and child(ren),11.38555135836553,1931,unknown
Adult(s) and no child(ren),7.81149746325093,6312,unknown
Total household income,,,unknown
"Less than £10,000",14.878524165481489,824,unknown
"£10,000 to less than £20,000",9.94285341961133,1644,unknown
"£20,000 to less than £30,000",10.749159187657401,1317,unknown
"£30,000 to less than £40,000",9.275843710143103,1037,unknown
"£40,000 to less than £50,000",7.128253944951258,743,unknown
"£50,000 or more",5.600944115946387,1707,unknown
No income stated or not enough information provided,10.032537276432242,1384,unknown
Tenure,,,unknown
Owner occupiers,6.59653741379861,5526,unknown
Social renters,18.50032303433064,1462,unknown
Private renters,9.339378275160932,1628,unknown
Accommodation type ,,,unknown
Houses,8.4406472875709,7264,unknown
Detached,2.6046341099301085,2155,unknown
Semi-detached,7.549335654625036,2661,unknown
Terraced,14.180632229768664,2448,unknown
Flats/maisonettes,12.916330694821612,1343,unknown
Other,-,21,unknown
Output Area Classification,,,unknown
Rural residents,1.4275883200097197,1117,unknown
Cosmopolitans,5.43088309736222,320,unknown
Ethnicity central,17.72092515322771,468,unknown
Multicultural metropolitans,16.586536724485164,1017,unknown
Urbanites,5.758237238597965,1674,unknown
Suburbanites,2.5664931960252138,1796,unknown
Constrained city dwellers,19.12515210134792,597,unknown
Hard-pressed living,13.047170979970407,1669,unknown
Area type,,,unknown
Urban,10.568265728207034,6822,unknown
Rural,2.061405372105384,1836,unknown
Level of physical disorder,,,unknown
High,24.378100981599456,456,unknown
Not high,8.125078440836544,8146,unknown
Employment deprivation index,,,unknown
20% most deprived output areas,21.504330501922663,1483,unknown
Other output areas,7.497954728476904,4950,unknown
20% least deprived output areas,2.3884613406823227,1575,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of the household and area characteristics.,,,unknown
2. This measure is derived from responses to the seven individual anti-social behaviour strands as described in Sections 5.7 and 6.3 of the User Guide.,,,unknown
3. Questions on perceptions of anti-social behaviour were only asked of one quarter of the CSEW sample in 2015/16.,,,unknown
