"table s5:  perceptions of the local police by personal characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted  base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
ALL ADULTS,61.456815781015585,87.03296914422492,67.92374334823927,70.40265870561662,60.69334004087765,79.95749595594026,78.3315647131796,34767,unknown
Age,,,,,,,,,unknown
16-24,68.29605197677608,84.9749792522158,67.53219605164486,70.5619170879069,61.06416850606459,79.69229186638823,78.60098189819522,2552,unknown
25-34,67.93878101575055,85.7310302134039,69.61994287705816,69.45470486724156,60.85912958125665,79.68912255240764,79.40646844361726,5209,unknown
35-44,62.817848640680374,85.78790103186236,68.89949982037041,69.38396746256905,59.494103236371934,79.38635147911562,77.61828797951878,5731,unknown
45-54,57.275541389738,86.73819282134122,66.37146314275327,69.42463412431101,57.03432267461122,78.66840533335659,76.40525567475413,6099,unknown
55-64,54.33796395069193,86.69215408110347,64.83642578076643,69.44623226052073,58.56295030766317,77.2545491074281,75.99032392899109,5557,unknown
65-74,55.12454143940514,89.2366200184986,66.85302781644121,71.13471626565604,62.316220912100995,81.92371691782111,79.0486128454823,5471,unknown
75+,63.16414253127572,92.04373539795549,72.34236979732299,75.36384032372882,69.53198430176661,85.48950328902039,83.40285645660168,4148,unknown
Men,59.89018504973879,85.78928407937967,68.64700095667256,68.96309792490122,59.28636936908088,79.79798077062914,77.5406452440648,16143,unknown
16-24,68.08908825435472,84.49194900269659,68.61020505465241,69.53049933689712,61.3435712943656,79.7432273540611,78.68729285777188,1207,unknown
25-34,67.65475426091876,84.46057879761251,70.41578925399784,69.23421326667012,60.761553515308066,79.14025390100413,79.01833645694389,2218,unknown
35-44,59.471832861244735,83.70722303707673,68.46676514973437,67.36695312414592,56.89502112546592,78.02805446535056,75.4894871828899,2642,unknown
45-54,55.97800456850599,85.87782215278223,68.18493175935023,67.42539970506162,55.32853427534062,80.00781839688972,75.77891741414223,2892,unknown
55-64,53.63137641967857,86.11326348311174,66.72364964406502,68.87032811134524,57.48569719127309,78.2313177717318,75.9679664917343,2673,unknown
65-74,53.22006562590699,88.00287663264233,67.2003463879607,68.77344579620555,58.84221945779551,81.35383855866148,78.3038947076296,2657,unknown
75+,59.6787097225036,90.71693900396411,71.79851196728771,74.29909416568586,69.6623843319663,84.73065772714224,81.85025502905125,1854,unknown
Women,62.69565540738423,88.13095530170479,67.1432954285821,71.65946691565237,61.94784333927762,80.05878140137611,79.09014502317862,18624,unknown
16-24,68.51016447727798,85.47828505108897,66.40706730056796,71.63891727988835,60.77356278149744,79.63869355780237,78.51107491364655,1345,unknown
