"table s6:  perceptions of the local police by household and area characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over/households,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
ALL ADULTS,61.456815781015585,87.03296914422492,67.92374334823927,70.40265870561662,60.69334004087765,79.95749595594026,78.3315647131796,34767,unknown
Structure of household,,,,,,,,,unknown
Single adult and child(ren),63.88425194143483,82.45198048672773,62.95573827584491,65.86611316851348,56.39312864673591,72.07146473112114,70.9745409982313,1755,unknown
Adults and child(ren),64.15168974700161,87.17757360827709,70.3506655328767,71.07510269636767,61.062316777767045,80.7214630338617,79.19058712065433,7566,unknown
Adult(s) and no child(ren),60.16649398868085,87.09005691695803,67.1429808929506,70.23516712405204,60.65164127432394,79.93858157981505,78.29589260218539,25446,unknown
Total household income,,,,,,,,,unknown
"Less than £10,000",61.71262556880177,85.63007358328669,67.64783153715982,71.31270471832455,62.85320192600368,76.97350413275478,75.91650368003413,3301,unknown
"£10,000 to less than £20,000",61.40827852736807,86.261997582581,69.03692553398393,70.35718703353949,62.78611652496849,78.26702945211163,76.16310505496547,6775,unknown
"£20,000 to less than £30,000",59.944662537318315,86.9368781484245,67.32518819655228,70.05548352323663,60.602200622896476,79.60968902644251,77.23415171624546,5184,unknown
"£30,000 to less than £40,000",60.85552216468104,87.24374965545464,68.82819792523667,69.52418110849703,59.65946879435722,80.4611058476784,78.30987931007937,3979,unknown
"£40,000 to less than £50,000",60.28077940136546,87.3112017558,68.76295089338741,70.09282386061896,60.08573124873228,81.4865679781442,79.85142522227528,2909,unknown
"£50,000 or more",61.14469418677084,88.61945787535352,66.85700215129046,71.11675248251508,58.9348190352794,82.65418664551103,82.14088798784675,6726,unknown
No income stated or not enough information provided,63.07965700745822,85.95744489520801,67.73905713917978,69.95323526975076,61.00919315410249,78.3303478389358,76.62787083720119,5891,unknown
Tenure,,,,,,,,,unknown
Owner occupiers,59.132949142395965,88.55445561583674,68.46612545799998,71.12376832199303,60.009644520366365,81.5072852694058,79.45956417369338,22235,unknown
Social renters,61.3199969352054,82.73727296938581,65.29685079045919,66.76477047169567,60.204938387611485,73.82460148937508,72.10120239847107,5841,unknown
Private renters,67.59329441443556,85.75278453114153,68.2592429364353,70.80940136396201,62.74451659193733,79.89070301212091,79.68251162584298,6488,unknown
Accommodation type ,,,,,,,,,unknown
Houses,60.46050107405849,87.29979358055655,68.09841709828522,70.56603529768509,60.381017489427336,80.25280431353688,78.31292896266653,29397,unknown
Detached,58.9336574499019,89.32983878231735,69.29879918405219,72.448968695569,61.28402662293507,82.90079260761351,80.75179147841862,8646,unknown
Semi-detached,60.471979232303376,87.10289770077921,67.85289962546878,70.1089186023748,59.72042608414155,79.71928824899473,77.72267901008598,10694,unknown
Terraced,61.66119219033484,85.87633355535121,67.39703043479213,69.53430596819678,60.33979211199583,78.68435392204877,76.96822942069056,10057,unknown
