"table s8 : public confidence in the police and local council by personal characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",,,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,,,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,61.250349599169475,24.024676696336897,14.72497370449361,33679,,Respondent's employment status,,,,,unknown
,,,,,,In employment,61.010103797592194,23.967624857189335,15.022271345218316,19594,unknown
Age,,,,,,Unemployed,56.64301135309194,24.306798213086154,19.050190433821953,675,unknown
16-24,62.392613968984755,24.53882158598517,13.068564445030049,2488,,Economically inactive,61.95220995555631,24.145504297842233,13.902285746601361,13375,unknown
25-34,61.67278304914825,24.387784682902915,13.9394322679489,5079,,Student,63.75155975412458,26.249965286998645,9.998474958876818,739,unknown
35-44,61.76434782640947,22.41452665121831,15.821125522371787,5589,,Looking after family/home,62.07010781807052,23.06442165442163,14.86547052750789,1453,unknown
45-54,58.70424779434816,24.589097411746746,16.706654793904843,5933,,Long-term/temporarily sick/ill,55.05523222287064,22.071558706668643,22.87320907046073,1498,unknown
55-64,59.34230852717207,24.0726344553019,16.58505701752593,5395,,Retired,63.223913817739664,24.224381309227944,12.551704873032229,9276,unknown
65-74,61.12459536812762,23.55851897471686,15.316885657155503,5267,,Other inactive,53.16125915013858,25.401107122258093,21.437633727603387,409,unknown
75+,65.88682906510921,24.87190624722118,9.241264687669625,3928,,,,,,,unknown
,,,,,,Respondent's occupation (NS-SEC),,,,,unknown
Sex,,,,,,Managerial and professional occupations,62.09566978091754,24.31742078118052,13.586909437902325,11895,unknown
Men,60.26082456300932,23.99843113895862,15.74074429803206,15707,,Intermediate occupations,59.7014492786117,25.071517706059186,15.227033015329011,7871,unknown
Women,62.209027995444785,24.050104096288514,13.740867908266843,17972,,Routine and manual occupations,60.62327130882173,23.084055103459523,16.292673587718618,11248,unknown
,,,,,,Never worked and long-term unemployed,60.26356563041267,23.9987695656066,15.737664803980525,1258,unknown
Ethnic group,,,,,,Full-time students,65.01598687940178,24.073984313710543,10.910028806887881,1096,unknown
White ,,,,,,Not classified,68.15993521802176,20.374518601135744,11.465546180842543,311,unknown
English/Welsh/Scottish/Northern Irish/British,60.723304075482844,23.78914172638088,15.48755419813625,27959,,,,,,,unknown
Irish,57.98875819135224,27.413947422316205,14.597294386331603,278,,Highest qualification,,,,,unknown
Gypsy/Irish Traveller,-,-,-,20,,Degree or diploma,62.55544641762334,24.27211542259865,13.172438159778476,13458,unknown
Any other White background,64.71108742827016,25.387026839318615,9.901885732411241,1855,,Apprenticeship or A/AS level,60.56510970306026,23.69747330823181,15.737416988708116,5808,unknown
Mixed/Multiple,,,,,,O level/GCSE,58.86153168231814,23.6770042111859,17.461464106496024,6129,unknown
White and Black Caribbean,50.02708678697435,35.98592980657476,13.986983406450895,117,,Other,59.162493916594585,25.91435479993424,14.923151283471237,1365,unknown
White and Black African,53.23519824985984,27.817378260307823,18.94742348983235,52,,,61.969716749481826,23.77719427619331,14.253088974324932,6833,unknown
White and Asian,59.795428258095015,30.649172839046358,9.55539890285862,99,,,,,,,unknown
Any other Mixed/Multiple ethnic background,44.841942432481616,36.534482501208245,18.62357506631008,88,,Long-standing illness or disability ,,,,,unknown
Asian/Asian British,,,,,,Long-standing illness or disability ,56.322150551819895,24.848969584745603,18.8288798634344,8096,unknown
Indian,65.24241373770914,20.76484015593848,13.99274610635235,737,,Limits activities,55.438171379272916,24.81612567770646,19.745702943020294,6379,unknown
Pakistani,61.72512092507453,25.677297799217918,12.59758127570764,477,,Does not limit activities,59.388343576103665,24.998206649225953,15.613449774670377,1713,unknown
Bangladeshi,57.528318397338566,26.218696055935176,16.25298554672627,158,,No long-standing illness or disability ,62.552749150474554,23.809372060867105,13.637878788657758,25509,unknown
