"table s9: public confidence in the police and local council  by household and area characteristics, year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,Unweighted base - number of adults,unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,61.250349599169475,24.024676696336897,14.72497370449361,33679,unknown
Structure of household,,,,,unknown
Single adult and child(ren),58.9788405653225,22.67072328624953,18.350436148428027,1715,unknown
Adults and child(ren),60.66027647844562,23.54462713954592,15.79509638200828,7355,unknown
Adult(s) and no child(ren),61.55955530336487,24.257020031472397,14.183424665162422,24609,unknown
Total household income,,,,,unknown
"Less than £10,000",60.195240539565575,23.16291521215125,16.641844248283235,3214,unknown
"£10,000 to less than £20,000",60.507930726209416,24.005372306159433,15.486696967630891,6573,unknown
"£20,000 to less than £30,000",60.27783564992274,24.489823114019565,15.232341236057648,5059,unknown
"£30,000 to less than £40,000",60.738890588737796,24.12324609965876,15.137863311603365,3871,unknown
"£40,000 to less than £50,000",62.65779890697784,23.268623460392202,14.073577632629824,2852,unknown
"£50,000 or more",62.41653548616299,23.531951065941968,14.051513447894804,6557,unknown
No income stated or not enough information provided,61.188853822032684,24.923624543146055,13.887521634821187,5551,unknown
Tenure,,,,,unknown
Owner occupiers,61.26841248252958,24.260233630986196,14.471353886484476,21496,unknown
Social renters,58.557283641971125,22.9174394785009,18.525276879527798,5701,unknown
Private renters,62.867155911506565,24.20018245766342,12.932661630829864,6283,unknown
Accommodation type ,,,,,unknown
Houses,61.308796521284606,23.68782057886779,15.003382899847331,28468,unknown
Detached,62.32079841048215,25.449883725889755,12.229317863627518,8332,unknown
Semi-detached,60.884754838201225,23.699869647046963,15.415375514751616,10373,unknown
Terraced,60.939650029040884,22.271801008169838,16.788548962789505,9763,unknown
Flats/maisonettes,60.80908285000412,26.12632615759581,13.064590992400207,5049,unknown
Other accommodation,61.061461769258784,19.64219568170418,19.29634254903704,75,unknown
Output Area Classification,,,,,unknown
Rural residents,62.84017419450926,26.868917299559108,10.290908505931371,4249,unknown
Cosmopolitans,64.78758259630594,25.10709388731164,10.105323516382441,1316,unknown
Ethnicity central,61.373430457163344,25.71972828787804,12.906841254958737,1800,unknown
Multicultural metropolitans,61.80890145750758,22.447613181396946,15.743485361095042,4021,unknown
Urbanites,62.45832786678617,24.201826236830403,13.339845896383451,6311,unknown
Suburbanites,63.40743682513508,24.474875731900113,12.11768744296435,7177,unknown
Constrained city dwellers,54.73974566785552,22.850745942733504,22.409508389410952,2332,unknown
Hard-pressed living,57.342186827390954,22.36909965550052,20.288713517108782,6473,unknown
Area type,,,,,unknown
Urban,61.04378244715819,23.678146680987886,15.278070871853616,26614,unknown
Rural,62.212494836136635,25.63873876035935,12.148766403503728,7065,unknown
Level of physical disorder,,,,,unknown
High,53.35396872310071,25.591657138455336,21.054374138443936,1791,unknown
Not high,61.60098293054046,24.014807180159817,14.384209889299798,31642,unknown
Employment deprivation index,,,,,unknown
20% most deprived output areas,56.4398508387079,22.57602323789703,20.984125923395183,5904,unknown
Other output areas,61.01296086431746,24.635035321342,14.352003814339914,19128,unknown
20% least deprived output areas,66.13653718614589,24.24874712114992,9.614715692703701,6100,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,unknown
