"table s10: trends in visiblity of police foot patrols, year ending march 2007 to year ending march 2016 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
England and Wales,,,,,,,,,,,,Adults aged 16 and over,unknown
,Apr '06 to Mar '07,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '12,Apr '12 to Mar '13,Apr '13 to Mar '14,Apr '14 to Mar '15,Apr '15 to Mar '16,Apr'15 to Mar'16  compared with:,,unknown
Rating1,,,,,,,,,,,Apr '06 to Mar '07,Apr '14 to Mar '15,unknown
,Percentages,,,,,,,,,,Statistically significant difference,,unknown
High visibility,25.61509578357986,30.399883095041147,33.20660178254872,38.98715111154496,39.15007451073514,38.36808016042272,33.603318712571244,32.29346181511721,29.343608313838484,26.788343770934965,,*,unknown
More than once a day,1.7353987497397116,2.0436535132189766,2.7960204403987974,3.3105265852994354,3.873945167878039,3.3764677825087945,2.181737129060501,2.1722507126196136,2.1798318193094994,1.702781626102113,,,unknown
Once a day,5.841429124567546,7.054913312559579,8.329003608913387,10.231175944414286,9.824164794449612,9.464152087730975,7.58089475121858,7.379078982169405,6.433481942247937,5.590279858567431,,,unknown
About once a week,18.0382679092726,21.301316269262593,22.081577733236536,25.445448581831243,25.451964548407485,25.527460290182955,23.840686832292164,22.74213212032819,20.73029455228105,19.49528228626542,*,,unknown
Medium visibility,34.422769098417035,35.14762114292688,35.657951706199626,33.707213434775966,35.419124695954594,36.009353162158284,39.13781330141669,39.81971982921691,40.64483620892271,38.98318921297388,*,,unknown
About once a month,12.543523940383745,14.51618603198438,14.928313316459716,14.816867495261196,16.071682960174826,16.846883185581145,16.929956353631344,17.3537582144364,16.971889859531622,16.50082062587813,*,,unknown
Less than once a month,21.87924515803329,20.631435110942498,20.729638389739907,18.890345939514773,19.34744173577977,19.16246997657714,22.20785694778535,22.465961614780483,23.67294634939109,22.482368587095753,,,unknown
Low visibility (Never),39.962135118003104,34.45249576203197,31.13544651125166,27.305635453679063,25.43080079331028,25.622566677418984,27.25886798601207,27.88681835566588,30.011555477238815,34.22846701609116,*,*,unknown
Unweighted base - number of adults2,10744,11598,11436,11009,11462,11317,8707,9171,8502,9009,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,,,unknown
1. Those that responded 'Don't know' have been excluded from this table,,,,,,,,,,,,,unknown
2. This question is asked to a quarter of the overall CSEW sample,,,,,,,,,,,,,unknown
