"table s22:  awareness of police and crime commissioners, by personal characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,,,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentages,,,,Percentages,,unknown
ALL ADULTS,59.242459236177915,31620,,Respondent's employment status,,,unknown
,,,,In employment,59.64437235674468,17523,unknown
Age,,,,Unemployed,44.06683722746796,627,unknown
16–24,34.3981380120512,2213,,Economically inactive,59.61465757753635,13438,unknown
25–34,46.64776550273896,4299,,Student,31.639367492063514,612,unknown
35–44,57.81915712124438,4786,,Looking after family/home,42.44984392746913,1304,unknown
45–54,66.48384017368946,5500,,Long-term/temporarily sick/ill,50.83423202988499,1387,unknown
55–64,73.70738724293462,5199,,Retired,69.39256515156475,9782,unknown
65–74,75.52540638756628,5419,,Other inactive,49.612082547431605,353,unknown
75+,59.613506331707136,4204,,,,,unknown
,,,,Respondent's occupation (NS-SEC),,,unknown
Sex,,,,Managerial and professional occupations,73.20490726857946,10773,unknown
Men,64.48793088242033,14398,,Intermediate occupations,62.26207546368527,7389,unknown
Women,54.230776185687844,17222,,Routine and manual occupations,50.7090689322739,11332,unknown
,,,,Never worked and long-term unemployed,35.34359631328678,1019,unknown
Ethnic group,,,,Full-time students,33.03362748528512,924,unknown
White ,61.134699443430726,29563,,Not classified,63.274647540198515,183,unknown
English/Welsh/Scottish/Northern Irish/British,62.59547790607258,28236,,,,,unknown
Irish,70.11898308648878,208,,Highest qualification,,,unknown
"Gypsy, Traveller or Irish Traveller",-,14,,Degree or diploma,69.67530809596815,11714,unknown
Any other White background,29.03049603582432,1105,,Apprenticeship or A/AS level,58.9445863185308,5839,unknown
Mixed/Multiple,46.61255113778688,258,,O level/GCSE,53.727888130819025,6025,unknown
White and Black Caribbean,53.989407000688026,99,,Other,49.69185543452939,1293,unknown
White and Black African,-,30,,,46.382731915582184,6647,unknown
White and Asian,45.25974422578717,68,,,,,unknown
Any other Mixed/Multiple background,41.03229215930279,61,,Long-standing illness or disability ,,,unknown
Asian/Asian British,36.29919600325697,1162,,Long-standing illness or disability ,60.04807781175424,8098,unknown
Indian,40.335368857243346,469,,Limits activities,58.0525509996265,6325,unknown
Pakistani,35.33339269832655,343,,Does not limit activities,66.64299197808307,1766,unknown
Bangladeshi,21.893859032333772,59,,No long-standing illness or disability ,58.96166707236614,23441,unknown
Chinese,25.088060765477348,117,,,,,unknown
Any other Asian background,39.78312189227131,174,,Perception of local crime rate3,,,unknown
Black/African/Caribbean/Black British,46.7868015566693,468,,Higher than average,51.63038474794867,1000,unknown
African,43.07858546769782,282,,About average,55.23476393713008,5158,unknown
Caribbean,56.960542138668714,153,,Lower than average,63.66427282079551,9593,unknown
Any other Black/African/Caribbean background,-,33,,,,,unknown
Other ethnic group,29.13612007623328,142,,Confidence in police and local council dealing with issues,,,unknown
Arab,18.953275189131936,53,,Agree,60.707435338771965,18613,unknown
Any other ethnic group,35.84433953955434,89,,No opinion,58.01495382096549,7372,unknown
,,,,Disagree,58.37272324651158,4288,unknown
Marital status,,,,,,,unknown
Married/civil partnered,67.39453888296953,14448,,Experience of crime in last 12 months,,,unknown
Cohabiting,54.046313666103664,3359,,Victim,55.15581672224258,4230,unknown
Single,44.67722828630807,6526,,Not a victim,59.941196680114594,27390,unknown
Separated,56.8116080276089,909,,,,,unknown
Divorced/legally dissolved partnership,62.53240131788957,2919,,,,,unknown
Widowed,54.699501813857495,3363,,,,,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
1. Section 7.3 of User Guide provides definitions of personal characteristics.,,,,,,,unknown
2. Unweighted base refers to non-London residents only,,,,,,,unknown
3. Perception of local crime rate was only asked of half of the CSEW sample.,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
