"table s30: perceptions of changing crime levels by personal characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,National,Local,Unweighted base - number of adults2,,,National,Local,Unweighted base - number of adults2,unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,,,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,unknown
,,,,,Respondent's employment status,,,,unknown
,,,,,In employment,56.13290935733362,31.805061494113147,14809,unknown
ALL ADULTS,59.733268792844896,31.31156551640885,26300,,Unemployed,63.24205844153804,34.920982714804786,511,unknown
,,,,,Economically inactive,65.72917385495623,30.2474476649439,10939,unknown
Age,,,,,Student,48.74129716826523,26.141595457401472,517,unknown
16-24,53.975048945206,30.155750948006578,1824,,Looking after family/home,64.96084109119221,41.24580941369687,1112,unknown
25-34,53.02455050598779,32.516725130003096,3700,,Long-term/temporarily sick/ill,71.44717463822164,37.02713426977409,1122,unknown
35-44,56.27763410144498,34.377785536109414,4141,,Retired,68.62613631046302,28.020243655675163,7899,unknown
45-54,60.06758276563555,33.74272687893669,4616,,Other inactive,55.44789783925458,29.062401139192286,289,unknown
55-64,62.17577446383136,31.406187574341445,4240,,,,,,unknown
65-74,66.68467672755425,29.82068067897572,4426,,Respondent's occupation (NS-SEC),,,,unknown
75+,72.24494731041496,24.164150506774334,3353,,Managerial and professional occupations,50.2882638267633,27.219487341680754,9187,unknown
,,,,,Intermediate occupations,63.906218600805985,33.642293576528054,6132,unknown
Sex,,,,,Routine and manual occupations,68.09224753751734,34.06498100894849,9141,unknown
Men,52.91281122828718,28.259643915296827,11926,,Never worked and long-term unemployed,64.54288503757459,31.781525550685615,877,unknown
Women,66.19318464714598,34.18206082384649,14374,,Full-time students,49.40996801607239,29.732929604374213,788,unknown
,,,,,Not classified,66.98008514231554,30.402012832136315,175,unknown
Ethnic group,,,,,,,,,unknown
White ,59.766841012848495,30.440856546910062,23874,,Highest qualification,,,,unknown
English/Welsh/Scottish/Northern Irish/ British ,60.67081744681215,30.52687363382731,22519,,Degree or diploma,49.34117665479239,28.93520469237792,10088,unknown
Irish ,55.92543907350633,35.58064969690837,205,,Apprenticeship or A/AS level,60.200546830099896,31.39470579785825,4711,unknown
"Gypsy, Traveller or Irish Traveller ",-,-,12,,O level/GCSE,67.52547900076782,35.52856273658699,4908,unknown
Any other White background,46.97227677200012,27.94751786550791,1138,,Other,67.86453444204746,29.210686059695213,1034,unknown
Mixed/Multiple,57.2501333044805,28.747290836677763,277,,,72.02420182973019,31.750298816017164,5444,unknown
White and Black Caribbean ,65.66666428942997,26.9640657898132,103,,,,,,unknown
White and Black African ,-,-,35,,Long-standing illness or disability ,,,,unknown
White and Asian ,50.53467127476213,28.425811228317976,74,,Long-standing illness or disability ,68.3747825929545,33.69094190531392,6459,unknown
Any other Mixed/ Multiple ethnic background,44.18392873969067,33.38671249647221,65,,Limits activities,69.78508999324424,34.08085415778483,5019,unknown
Asian/Asian British,62.864823207738866,43.4448746542085,1292,,Does not limit activities,63.843672153490274,32.329749807139294,1434,unknown
Indian ,65.18058692277828,44.67461339440205,528,,No long-standing illness or disability ,57.46208560357976,30.632711093793823,19757,unknown
Pakistani ,70.06537309707205,48.54127798366491,314,,,,,,unknown
Bangladeshi ,57.13568330362316,43.50350691808417,100,,Perception of local crime rate3,,,,unknown
Chinese ,40.65115608203668,24.151675961435576,119,,Higher than average,69.35589865774769,68.31665647243071,1294,unknown
Any other Asian background ,59.75528496781612,37.94498266542224,231,,About average,63.8269806807689,37.06555832627239,5861,unknown
Black/African/Caribbean/Black British,53.70451010015817,27.645097820957798,662,,Lower than average,56.00752767087959,18.73564183031715,10143,unknown
African ,48.37393868018684,24.098842819835824,391,,,,,,unknown
Caribbean ,63.107401703110845,32.44345559737546,230,,Confidence in police and local council dealing with issues,,,,unknown
Any other Black/ African/ Caribbean background,-,-,41,,Agree,56.32487203005574,26.310251595482132,15706,unknown
Other ethnic group,54.182474999305974,35.36989937821757,151,,No opinion,60.84012348827129,31.98487978725577,6089,unknown
Arab ,-,-,49,,Disagree,71.64450246567321,52.243692997407635,3476,unknown
Any other ethnic group ,55.92286979804445,33.22581511106256,102,,,,,,unknown
,,,,,Experience of crime in last 12 months,,,,unknown
Marital status,,,,,Victim,63.131340937237,45.64505821761358,3584,unknown
Married/civil partnered,59.96810828657794,31.43960100711402,11975,,Not a victim,59.12977592570519,28.83377168413894,22716,unknown
Cohabiting,58.12536332688839,34.780960987176194,2758,,,,,,unknown
Single,55.61606486415074,30.805625277295075,5633,,Religion,,,,unknown
Separated,61.67308333151489,31.629910236190817,777,,No religion,53.05309405185581,28.877108565567276,8724,unknown
Divorced/legally dissolved partnership,65.14920816245883,32.06387949347659,2379,,Christian,63.6745806899218,31.07830505967688,16003,unknown
Widowed,72.09653389322582,25.888409170037896,2675,,Buddhist,54.24229567148586,42.13118994554287,103,unknown
,,,,,Hindu,64.65053249387306,43.30124475439001,301,unknown
,,,,,Muslim,60.716303721402355,42.45013287879009,740,unknown
,,,,,Other,64.58157397841723,44.62171152560325,363,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,unknown
1. See Section 7.3 of User Guide for definitions of personal characteristics.,,,,,,,,,unknown
2. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more.,,,,,,,,,unknown
3. The question about the perception of the local crime rate is only asked to half of the sample.,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,unknown
