"table s31: perceptions of changing crime levels by household and area characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,Adults aged 16 and over/households,unknown
,National,Local,"Unweighted base
 - number of adults2",unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,unknown
ALL ADULTS,59.733268792844896,31.31156551640885,26300,unknown
Structure of household,,,,unknown
Single adult and child(ren),69.62799853352253,40.1895847792517,1311,unknown
Adults and child(ren),57.25682367457616,33.496033943139125,5570,unknown
Adult(s) and no child(ren),60.272575447733054,30.17490176835353,19419,unknown
Total household income,,,,unknown
"Less than £10,000",67.87496288837173,32.02934366139345,2732,unknown
"£10,000 to less than £20,000",69.50816266095758,32.74315788647886,5098,unknown
"£20,000 to less than £30,000",63.39593423249493,32.92232679309214,3992,unknown
"£30,000 to less than £40,000",58.64361216735253,32.02769079705795,3060,unknown
"£40,000 to less than £50,000",54.685140106567374,30.137457713085475,2091,unknown
"£50,000 or more",47.63230031007153,27.194263330244766,4725,unknown
No income stated or not enough information provided,62.708454908390564,33.131427122882414,4591,unknown
Tenure,,,,unknown
Owner occupiers,59.19436361874878,30.42983024977495,17298,unknown
Social renters,70.05498572415017,34.58815094221268,4180,unknown
Private renters,54.12015607442927,31.713319014809926,4639,unknown
Accommodation type ,,,,unknown
Houses,60.7645071154243,31.722254822124444,22613,unknown
Detached,55.76417196378745,26.715522657190732,6919,unknown
Semi-detached,63.78847450366567,32.18091853928923,8220,unknown
Terraced,61.78326089214189,35.749654616391915,7474,unknown
Flats/maisonettes,52.38356375512955,27.9109875913371,3458,unknown
Other accommodation,82.30411418046879,28.614203986142318,71,unknown
Output Area Classification,,,,unknown
Rural residents,58.23508490220826,24.246928464785032,3697,unknown
Cosmopolitans,36.70788416834899,20.286242325691347,810,unknown
Ethnicity central,47.150683099584015,29.820773701889493,1103,unknown
Multicultural metropolitans,63.266261751846145,42.57262837791843,2934,unknown
Urbanites,56.34451346140483,27.849001820292713,4999,unknown
Suburbanites,60.12668817507463,28.252967925215906,5781,unknown
Constrained city dwellers,67.2487819083986,36.922104583766,1752,unknown
Hard-pressed living,68.17253238564311,35.02951601019592,5224,unknown
Area type,,,,unknown
Urban,59.99639169076873,33.1792975944377,20200,unknown
Rural,58.62924212259271,23.625767162831092,6100,unknown
Level of physical disorder,,,,unknown
High,64.27729910851058,40.64488534113989,1039,unknown
Not high,59.457990312202824,30.88841922518829,25077,unknown
Employment deprivation index,,,,unknown
20% most deprived output areas,66.00165667526228,38.10977137055005,4537,unknown
Other output areas,60.28910792067037,31.475497407895702,14693,unknown
20% least deprived output areas,51.169174630800775,24.408468955411248,4879,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,unknown
2. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more.,,,,unknown
