"table s39:  prevalence of intimate violence among adults aged 16 to 59 by category, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 to 59,unknown
,Since the age of 16,,,,In the last year,,,,unknown
,Men,Women,All,,Men,Women,All,,unknown
,Percentage who were victims once or more,,,,,,,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",13.593449121463381,26.25335113507009,19.960227747693555,,4.376421767489658,7.709673219269052,6.050634821974403,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",10.110993542232077,23.047445529716196,16.609635337808694,,2.987351671725324,6.230880299786246,4.614546129731559,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",6.066477811454299,9.30447198402716,7.6947064319797045,,1.9668934295383547,2.183250304694842,2.075641495924726,,unknown
Partner abuse - non-sexual,8.801599035171167,20.126492631700525,14.493633390222573,,2.753862252707522,5.399304169547049,4.083124192588074,,unknown
"Non-physical abuse (emotional, financial)",5.227624424089029,14.001949009446601,9.641049124536474,,2.0500566434613194,3.9384805425271443,2.9993244815355693,,unknown
Threats or force,6.605020747971442,17.161225522920013,11.903109582632506,,1.4037280719292917,3.047741361147224,2.2285339449122636,,unknown
Threats,3.3827602917566955,13.444885375353023,8.427359510496467,,0.813897860813732,2.310985947733376,1.5640441821652322,,unknown
Force,5.877757510345316,14.87436829414454,10.38990377488735,,0.9384343698987929,1.709937407239519,1.3252969563645256,,unknown
Family abuse - non-sexual,5.317540506499918,6.827961410993134,6.079332404941654,,1.8107503137440566,1.9086764895543105,1.8601384399060752,,unknown
"Non-physical abuse (emotional, financial)",2.7090945033624707,3.95432478770343,3.3362370379647297,,1.2748151246207104,1.4075004003082539,1.3416264818959178,,unknown
Threats or force,3.9560946650675795,5.104270121668967,4.534675586005675,,0.871101202872573,1.0289666020334727,0.9506417352569483,,unknown
Threats,2.335480288253704,3.5556255648558532,2.9505765842655585,,0.7097101644386109,0.8739005288607846,0.7924610550805044,,unknown
Force,3.0883187537797423,4.0029807841625304,3.5490731985509516,,0.3536351507244802,0.5280467162250653,0.4415089143979704,,unknown
Any sexual assault (including attempts),3.558060948680825,19.864905058537637,11.762562767574368,,0.6795844867985218,3.229865030839238,1.961200960790143,,unknown
Serious sexual assault including attempts,0.4816064333239037,6.005590176498377,3.2561111630822897,,0.14562965320131172,0.7159421917137501,0.43204658201059554,,unknown
Serious sexual assault excluding attempts,0.3299492430087633,4.9575250652138765,2.653137327746757,,0.08021850906649716,0.4482602653302012,0.2649668330728844,,unknown
- Rape including attempts,0.34441718395300863,5.270666024939423,2.8170848961428674,,0.12924468449944262,0.4455024270933791,0.2879526308115423,,unknown
- Rape excluding attempts,0.21289122935457439,4.283518582965591,2.253463009737989,,0.05838449484763367,0.3209050794403466,0.18995999882389175,,unknown
- Assault by penetration including attempts,0.34987896545646263,4.0001766852204215,2.1825887556404147,,0.11904562821997161,0.49664228086122214,0.30859977760287244,,unknown
- Assault by penetration excluding attempts,0.2266978627839628,3.0491917391246224,1.6428622775674866,,0.06388381142152248,0.22760552097003503,0.14601659633557346,,unknown
Less serious sexual assault,3.3276234321258533,18.59756130196395,11.019994510097826,,0.5897704524117864,2.8245726902570256,1.7153733857298579,,unknown
Any sexual assault (including attempts) by a partner,0.5903626830266984,5.310583456954246,2.9608975384202463,,0.11879519924403563,0.4994100733694562,0.3098252967961209,,unknown
Serious sexual assault (including attempts) by a partner,0.15962349518645355,3.2984924004105394,1.7344505617143404,,0.04859154512332738,0.2974140031947678,0.17342441496410008,,unknown
Less serious sexual assault by a partner,0.4649550626711718,4.322443653994084,2.4056960524655486,,0.06992098175093077,0.37816581310021297,0.22500037002313628,,unknown
Any sexual assault (including attempts) by a family member,0.22535588735678708,1.656221527704288,0.9451468217042164,,0.005463577408674629,0.03627569634841888,0.02096121501818548,,unknown
Serious sexual assault (including attempts) by a family member,0.06439812270725057,0.5640991037520428,0.315665002504939,,0.005452236891387407,0.013400823325689962,0.009449060167526648,,unknown
Less serious sexual assault by a family member,0.17436383240233055,1.4904242888625727,0.8379969718047325,,0,0.022669392661447307,0.01143124393827661,,unknown
Stalking2,9.881529356651914,20.877474389399012,15.418581547950586,,2.7480717205936838,4.599852603507714,3.6805861940886655,,unknown
Stalking by a partner,2.64305468042332,8.843811502145892,5.761185784986348,,0.4610525161279594,1.2848466556626308,0.8753143464829679,,unknown
Stalking by a family member,1.2333840345819131,2.8761903192502176,2.0614931700184047,,0.2313609952134809,0.49795775077031185,0.36574965831933753,,unknown
Unweighted base - number of adults3,8982,10891,19873,,8950,10819,19769,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,unknown
1. Chapter 5 of the User Guide provides definitions of the various types of intimate violence.,,,,,,,,,unknown
2. The definition of stalking was incorrectly described in a previous publication; Chapter 5 of the User Guide for the correct definition.,,,,,,,,,unknown
3. The bases given are for any domestic abuse; the bases for the other measures presented will be similar.,,,,,,,,,unknown
