"table s41:  prevalence of intimate violence in the last year, by category, year ending march 2005 to year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,age_band
England and Wales,,,,,,,,,,,,,,Adults aged 16 to 59,unknown
,,,,,,,,,,,,,Apr '15 to Mar '16 compared with,,unknown
,"Apr '04 to
Mar '05","Apr '05 to
Mar '06","Apr '06 to
Mar '07","Apr '07 to 
Mar '082","Apr '08 to
Mar '09","Apr '09 to
Mar '10","Apr '10 to 
Mar '113","Apr '11 to 
Mar '123","Apr '12 to 
Mar '133","Apr '13 to
Mar '14","Apr '14 to
Mar '15","Apr '15 to
Mar '16","    Apr '04 to 
Mar '05","    Apr '14 to 
Mar '15",unknown
,Percentage victims once or more,,,,,,,,,,,,Statistically significant difference,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)5",8.855837141020832,8.973245100946952,8.836310387002007,:,6.511476681695317,6.638691379637733,6.936374648827428,6.99815144115277,6.585266949642927,6.5093986986783,6.0785906302651425,6.050634821974403,*,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)4",6.851165917016162,7.079204894728285,6.891356302744472,:,4.938020552047708,5.171027118968315,5.5019315210665765,5.222391966803015,4.853386471691101,4.9223185437358215,4.630733958262348,4.614546129731559,*,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)4",3.432694717796015,3.3831463459675515,3.4712357266763867,:,2.6855593679435845,2.479311843864016,2.5567864630676564,2.6822744755243537,2.4982667272647854,2.1945450846459096,2.0546127263412806,2.075641495924726,*,,unknown
Partner abuse - non-sexual5,6.681110246407215,6.688937795284011,6.825840334344697,6.21539738418946,4.653017897584364,4.98510891667075,4.755495284964899,5.433865518134904,4.411267419886668,4.372400260866615,4.20376066281493,4.083124192588074,*,,unknown
"Non-physical abuse (emotional, financial)5",4.545626028893677,4.477795155347991,4.529567754292807,4.3778226394876185,3.173242291099364,3.4824824127746425,3.2364528527688794,3.6505464980814963,3.186901438013847,2.9974163159459306,2.767673135645425,2.9993244815355693,*,,unknown
Threats or force5,4.0989895680291335,4.154777892268116,4.314094155195449,3.6619617386595085,2.8945375544785525,3.007706756326125,2.819490325918108,3.3320797325234133,2.5621523698885746,2.567298160030027,2.5523783092616084,2.2285339449122636,*,,unknown
Threats5,2.877218002524393,2.970839057413934,2.9746564417655543,2.6974712983960543,2.166763834328495,2.5660056517143763,1.995972927699982,2.2892337464038506,1.800373317117599,1.725848675173327,1.8480312678713222,1.5640441821652322,*,,unknown
Force5,2.7511982993363473,2.7427038135095336,2.766239935444402,2.4402203621691645,1.9019531844913677,1.8561295672829958,1.9631596446414339,2.2095406181193855,1.5722696823524636,1.603112207471201,1.4278026539075046,1.3252969563645256,*,,unknown
Family abuse - non-sexual5,3.0322973013983296,2.9571437902328976,3.0806449036750387,2.06106106876347,2.3756313581064954,2.192127670887938,2.29981699630062,2.192830568791553,2.2364402704589503,1.9590699315512567,1.797931287376058,1.8601384399060752,*,,unknown
"Non-physical abuse (emotional, financial)5",1.8624022273486927,1.8386677344600764,1.977304419730365,1.331464021160348,1.4363511899247945,1.5195255598691733,1.3825852086056178,1.2914204661315738,1.282402495139384,1.1502574432970005,1.1480024267828322,1.3416264818959178,*,,unknown
Threats or force5,1.7090683387959302,1.8077671836950717,1.7553692795277962,1.1332751907318634,1.501535190851918,1.1480116000360725,1.346552237396916,1.3193487478302068,1.332848930258325,1.1196992207257193,1.0327885550084823,0.9506417352569483,*,,unknown
