"table s6:  perceptions of the local police by household and area characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over/households,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
ALL ADULTS,60.88150977277107,87.05965106577631,67.0449785428659,71.24571583619502,61.37431740962441,79.92837787396788,78.47588327424623,34922,unknown
Structure of household,,,,,,,,,unknown
Single adult and child(ren),63.42504218688128,82.462831269719,60.41790575497625,68.38350085332188,59.228182958976184,71.23485785525794,71.03520002433748,1773,unknown
Adults and child(ren),63.627565248105,86.93822728944136,69.03675052001337,72.02164828406342,62.213532203067004,80.77985419869998,78.99338662051797,7387,unknown
Adult(s) and no child(ren),59.538965730447025,87.24823593020032,66.42000200380629,71.00849042460791,61.083996702481,79.88615091307192,78.58512497580588,25762,unknown
Total household income,,,,,,,,,unknown
"Less than £10,000",63.74373799861554,85.182916992697,67.60045142252437,69.86337517904563,63.856432742848526,76.70451718225037,76.74914749594515,3647,unknown
"£10,000 to less than £20,000",60.520095742843836,88.05741417383511,68.03281221687493,71.41079932860563,64.18564228135534,79.0490838356825,78.30900268944731,6777,unknown
"£20,000 to less than £30,000",59.23958854867598,87.09135348056346,67.22264166023422,70.87025923587163,61.55587879342244,78.92257197972508,78.18982945628848,5249,unknown
"£30,000 to less than £40,000",58.27937392157661,87.58391279736192,66.94461731277816,71.08650466469648,60.45688476131055,79.70520426316737,79.29460942996153,4038,unknown
"£40,000 to less than £50,000",58.327349768891146,87.34749174215565,66.7526769338828,71.54027823369903,58.965718509084,79.91608709207364,77.85034281663178,2742,unknown
"£50,000 or more",61.021911069861275,88.37272443026653,65.80499271612103,72.17143176182333,59.576479596833344,83.70655243538889,81.90000378989042,6284,unknown
No income stated or not enough information provided,63.06816340767346,84.9526506445624,67.0156320783315,70.62277223934645,61.51612301112333,78.23872864159124,75.50946750255076,6181,unknown
Tenure,,,,,,,,,unknown
Owner occupiers,58.306184664256,88.30288845663951,67.35819928353322,71.88752565152082,61.11058734727304,81.45464971876405,79.75442668193845,22792,unknown
Social renters,60.279565706542535,82.72105149751107,64.13640730462157,68.35558933092709,60.335989321027824,73.09789842042281,72.55758821511746,5641,unknown
Private renters,68.19107385630906,86.5307708566655,67.6534601926182,71.33336942598392,62.75762804788377,80.2985598044168,79.26802104131545,6274,unknown
Accommodation type ,,,,,,,,,unknown
Houses,59.65077828523653,87.287880757743,67.1221076222835,71.35993857070598,61.01939694792286,80.02847004321092,78.36975381086974,29895,unknown
Detached,58.39830867877415,89.38243219003455,68.81176828556316,73.83319625661296,62.03317399754995,83.46507371138189,81.28163942469334,9117,unknown
Semi-detached,59.41503620192176,87.40546802243331,67.6283611529377,71.63235390303063,61.79108166336095,79.65779878774487,78.24470048483384,10822,unknown
Terraced,60.92514441833436,85.42922800201718,65.21349923350368,69.03311698443262,59.380592685058296,77.56838459279648,76.08662526658138,9956,unknown
