"table s8 : public confidence in the police and local council by personal characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",,,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,,,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,61.93043112660762,24.043504147089376,14.02606472630297,33787,,Respondent's employment status,,,,,unknown
,,,,,,In employment,61.71564887821951,24.03702742932605,14.247323692454414,19119,unknown
Age,,,,,,Unemployed,58.41969660423759,24.29100333203289,17.289300063729556,684,unknown
16-24,62.30279227162177,23.640223814117405,14.056983914260737,2430,,Economically inactive,62.56636617802408,24.027778844715396,13.405854977260583,13948,unknown
25-34,62.06474553045981,23.821410943339856,14.113843526200334,4816,,Student,64.42732430236666,25.213738614310056,10.35893708332338,703,unknown
35-44,61.627317268269074,23.920780207126896,14.451902524603714,5366,,Looking after family/home,60.99429489708491,23.267833153388402,15.73787194952658,1459,unknown
45-54,60.017290347194084,24.602391299972425,15.380318352833466,5927,,Long-term/temporarily sick/ill,53.61344741287001,23.20171104526923,23.184841541860592,1466,unknown
55-64,59.89037101345653,24.866597317840274,15.243031668703324,5474,,Retired,64.09932703221288,24.107912674333896,11.79276029345351,9923,unknown
65-74,62.94107019151786,23.21348248451293,13.845447323969342,5559,,Other inactive,61.4322200270783,23.810188333357875,14.75759163956371,397,unknown
75+,67.20819889002554,23.99551864831301,8.796282461661567,4215,,,,,,,unknown
,,,,,,Respondent's occupation (NS-SEC),,,,,unknown
Sex,,,,,,Managerial and professional occupations,62.26763288179457,24.269927684991334,13.462439433214508,11809,unknown
Men,60.5889925535087,24.425057869121204,14.985949577370253,15458,,Intermediate occupations,61.77911235104574,24.85065879448823,13.370228854465743,7825,unknown
Women,63.2293158346575,23.674054285735142,13.09662987960716,18329,,Routine and manual occupations,61.31965454382413,23.26887746554302,15.411467990632957,11731,unknown
,,,,,,Never worked and long-term unemployed,63.21911533113001,21.985553985473146,14.795330683396962,1152,unknown
Ethnic group,,,,,,Full-time students,63.59924529447593,24.81063597508851,11.590118730435387,1056,unknown
White ,,,,,,Not classified,55.772217340300365,28.85883003726255,15.368952622437074,214,unknown
English/Welsh/Scottish/Northern Irish/British,60.9137991165351,24.437683088213355,14.648517795251125,28778,,,,,,,unknown
Irish,60.90651424021585,23.853941042683253,15.239544717101028,270,,Highest qualification,,,,,unknown
Gypsy/Irish Traveller,-,-,-,14,,Degree or diploma,62.73374360437366,24.109205695810264,13.157050699816212,13025,unknown
Any other White background,69.1895847907587,23.090752908424548,7.71966230081671,1547,,Apprenticeship or A/AS level,61.210350462154864,24.129838866910152,14.659810670934927,6100,unknown
Mixed/Multiple,,,,,,O level/GCSE,61.047977885696724,23.822157510803937,15.129864603499227,6303,unknown
White and Black Caribbean,54.7147004964198,23.844515110853887,21.440784392726293,130,,Other,58.707475796422855,28.634799943091256,12.657724260485958,1375,unknown
White and Black African,-,-,-,42,,,62.45713999100828,23.109005948803922,14.433854060188276,6862,unknown
White and Asian,61.28657049266818,24.801596205739067,13.911833301592717,90,,,,,,,unknown
Any other Mixed/Multiple ethnic background,73.61884336430015,14.55057750239273,11.830579133307122,89,,Long-standing illness or disability ,,,,,unknown
Asian/Asian British,,,,,,Long-standing illness or disability ,57.20581296571511,25.406767031601657,17.387420002683257,8369,unknown
Indian,63.29633572278952,21.02745507884666,15.676209198363738,691,,Limits activities,56.289924166891524,25.054850272583508,18.655225560524862,6518,unknown
Pakistani,60.796667684347725,22.6282863540759,16.575045961576294,407,,Does not limit activities,60.20814350372392,26.56559314461576,13.226263351660261,1844,unknown
Bangladeshi,68.43525020233797,19.85529965802449,11.709450139637514,128,,No long-standing illness or disability ,63.24679184957071,23.667599283841604,13.085608866587728,25332,unknown
Chinese,61.77584165438179,29.227738290538337,8.99642005507977,154,,,,,,,unknown
