"table s18: attitudes to local police, by police force area, english regions and wales, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
Area Code,Area Name,,Rating of local police,,,,Police deal with local concerns,,,,unknown
,,,"% saying
police do
excellent/good job",Statistically significantly different from England and Wales2,Statistically significantly different from     Apr '16 to Mar '172,,% agree,Statistically significantly different from England and Wales2,Statistically significantly different from     Apr '16 to Mar '172,Unweighted base - number of adults3,unknown
K04000001,ENGLAND AND WALES,,61.688574154127096,:,,,59.35169943332675,:,*↓,32985,unknown
E92000001,ENGLAND,,61.73005535436695,,,,59.30561611389687,,*↓,30483,unknown
E12000001,North East,,68.9721113203093,*,,,62.62972395640365,*,,1973,unknown
E23000013,Cleveland,,61.35816203111282,,,,58.27120387113844,,,619,unknown
E23000008,Durham,,67.95998786813367,*,,,63.70203272268672,,,642,unknown
E23000007,Northumbria,,72.68115354047369,*,*↑,,63.9329837320627,*,,712,unknown
E12000002,North West,,62.16509341043975,,,,61.53625605072593,*,,4192,unknown
E23000006,Cheshire,,69.95373637898277,*,,,66.21740783542144,*,,618,unknown
E23000002,Cumbria,,67.32945109494581,*,*↑,,65.8668284343532,*,,646,unknown
E23000005,Greater Manchester,,59.6674006974383,,,,62.036039660349395,,,1445,unknown
E23000003,Lancashire,,62.15011640243541,,,,63.34092850642321,*,,812,unknown
E23000004,Merseyside,,59.173615657926824,,,,53.659200780179496,*,*↓,671,unknown
E12000003,Yorkshire and the Humber,,55.662457394411646,*,,,52.34360805924734,*,*↓,2901,unknown
E23000012,Humberside,,48.642682463078366,*,,,47.95336655473734,*,*↓,627,unknown
E23000009,North Yorkshire,,69.05418646805968,*,,,61.799621179197,,,541,unknown
E23000011,South Yorkshire,,48.613945739247264,*,,,41.06806288180662,*,*↓,616,unknown
E23000010,West Yorkshire,,57.99982351107966,*,,,57.17854449522303,,,1117,unknown
E12000004,East Midlands,,57.89594221771934,*,,,56.06729681042859,*,,3128,unknown
E23000018,Derbyshire,,56.545493527917635,*,,,56.89197242696503,,,642,unknown
E23000021,Leicestershire,,60.96330509696271,,,,58.97365803870465,,,613,unknown
E23000020,Lincolnshire,,59.45730991339477,,,,57.67895631124934,,,619,unknown
E23000022,Northamptonshire,,55.65336742064816,*,,,54.697034401050225,,,619,unknown
E23000019,Nottinghamshire,,56.844229285491636,,,,52.44196519183619,*,*↓,635,unknown
E12000005,West Midlands,,59.60840661879259,,,,57.39223852129139,,,2962,unknown
E23000015,Staffordshire,,62.00955730895357,,,,56.27333469925863,,,593,unknown
E23000017,Warwickshire,,59.25019485455132,,,,55.66684050130045,,*↓,571,unknown
E23000016,West Mercia,,63.768469998637045,,,,58.13583114375269,,,539,unknown
E23000014,West Midlands,,56.686255626073255,*,,,57.91273770998258,,,1259,unknown
E12000006,East,,59.03815174385967,*,,,55.6114793854034,*,,3837,unknown
E23000026,Bedfordshire,,50.072894667988024,*,,,57.75160254812319,,,611,unknown
E23000023,Cambridgeshire,,59.32414680609552,,,,54.50430209696779,*,,634,unknown
E23000028,Essex,,52.42985598186628,*,,,46.219867291890345,*,,797,unknown
E23000027,Hertfordshire,,65.9199526057412,*,,,64.00538724243447,,,595,unknown
E23000024,Norfolk,,68.80454482341632,*,,,61.82715246602002,,,575,unknown
E23000025,Suffolk,,58.6536064701265,,,,55.392039334446736,,,625,unknown
E12000007,London,,65.24872044764388,*,,,63.63534459378264,*,,3929,unknown
E12000007,City of London / Metropolitan Police,,65.24872044764388,*,,,63.63534459378264,*,,3929,unknown
E12000008,South East,,63.256828110636626,,,,60.949036409836594,,,4203,unknown
E23000030,Hampshire,,60.16542603707716,,,,59.08045286726844,,,948,unknown
E23000032,Kent,,58.81041085378348,,,,59.11144322443225,,,827,unknown
E23000031,Surrey,,73.57133048246645,*,,,66.39062499767095,*,,587,unknown
E23000033,Sussex,,61.685592256778015,,,,56.4868604636843,,,759,unknown
E23000029,Thames Valley,,65.58623114640523,*,,,64.5024981378469,*,,1082,unknown
E12000009,South West,,64.01119323766108,*,,,60.991026989009356,,,3358,unknown
E23000036,Avon and Somerset,,63.36652167302433,,,,58.45786204686543,,,773,unknown
E23000035,Devon and Cornwall,,60.23922426996799,,*↓,,61.58360147901896,,*↓,841,unknown
E23000039,Dorset,,69.27050040298504,*,,,64.36288362580159,*,,587,unknown
E23000037,Gloucestershire,,60.50793270108433,,*↓,,54.66108911248975,,,595,unknown
E23000038,Wiltshire,,71.94135041288435,*,*↑,,68.16547418221205,*,*↑,562,unknown
W92000004,WALES,,60.96515858287066,,,,60.1625091481006,,,2502,unknown
W15000004,Dyfed-Powys,,71.68405523220042,*,,,64.76078382145019,*,,613,unknown
W15000002,Gwent,,50.18614613995033,*,,,52.26646982842757,*,,659,unknown
W15000001,North Wales,,66.23947183336219,*,,,63.231803081454125,,,584,unknown
W15000003,South Wales,,58.84391536873989,,,,60.48354622745013,,,646,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,unknown
"1. Being based on small sample sizes, police force area estimates from the CSEW are less robust than national level estimates and should be treated with extreme caution.",,,,,,,,,,,unknown
2. '*' denotes statistically significantly different in comparison with England and Wales while '*↑/↓' denotes statistically significantly different in comparison with the year ending March 2017 estimate.,,,,,,,,,,,unknown
3. Unweighted base refers to ratings of local police; base for police deal with local concerns will be similar.,,,,,,,,,,,unknown
