"table s19: attitudes to local police working in partnership, by police force area, english regions and wales, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
Area Code,Area Name,,Police and local council are dealing with issues,,,,unknown
,,,"% saying
strongly agree/
tend to agree",Statistically significantly different from England and Wales2,Statistically significantly different from       Apr '16 to Mar '172,Unweighted base - number of adults,unknown
K04000001,ENGLAND AND WALES,,58.768093499934814,:,*↓,33193,unknown
E92000001,ENGLAND,,58.49781157927135,,*↓,30691,unknown
E12000001,North East,,52.7264932032771,*,*↓,1971,unknown
E23000013,Cleveland,,51.40514692764381,*,*↓,604,unknown
E23000008,Durham,,53.03290194034781,*,*↓,644,unknown
E23000007,Northumbria,,53.10106882908085,*,,723,unknown
E12000002,North West,,60.09222853895617,,*↓,4275,unknown
E23000006,Cheshire,,64.16995041138694,*,,635,unknown
E23000002,Cumbria,,66.16837499349869,*,,649,unknown
E23000005,Greater Manchester,,58.55794264243219,,*↓,1497,unknown
E23000003,Lancashire,,66.76234332294344,*,,812,unknown
E23000004,Merseyside,,50.88592485275615,*,,682,unknown
E12000003,Yorkshire and the Humber,,53.573677564650964,*,,2972,unknown
E23000012,Humberside,,54.17548038916232,,,655,unknown
E23000009,North Yorkshire,,64.63701103064449,*,,553,unknown
E23000011,South Yorkshire,,42.758724209771174,*,,628,unknown
E23000010,West Yorkshire,,55.561293601591736,,,1136,unknown
E12000004,East Midlands,,55.52713504743506,*,,3161,unknown
E23000018,Derbyshire,,56.84472582697169,,,644,unknown
E23000021,Leicestershire,,54.570114515331646,,*↓,620,unknown
E23000020,Lincolnshire,,57.22195112307706,,,629,unknown
E23000022,Northamptonshire,,54.24118998864873,,,620,unknown
E23000019,Nottinghamshire,,54.73268401546488,,,648,unknown
E12000005,West Midlands,,58.81298035805932,,,2913,unknown
E23000015,Staffordshire,,57.43215902030032,,,549,unknown
E23000017,Warwickshire,,52.44689865355831,*,*↓,560,unknown
E23000016,West Mercia,,61.230156371730885,,,526,unknown
E23000014,West Midlands,,59.61334570262577,,,1278,unknown
E12000006,East,,56.00109789591685,*,*↓,3877,unknown
E23000026,Bedfordshire,,55.71355190923308,,,621,unknown
E23000023,Cambridgeshire,,57.702615197117964,,,643,unknown
E23000028,Essex,,50.782411431098005,*,,808,unknown
E23000027,Hertfordshire,,59.22427204644199,,,608,unknown
E23000024,Norfolk,,65.11535435409895,*,,584,unknown
E23000025,Suffolk,,49.278112700913546,*,*↓,613,unknown
E12000007,London,,59.95965712580671,,*↓,3918,unknown
E12000007,City of London / Metropolitan Police,,59.95965712580671,,*↓,3918,unknown
E12000008,South East,,62.33028730508187,*,,4225,unknown
E23000030,Hampshire,,62.25175340980982,,,927,unknown
E23000032,Kent,,56.65667137997,,,843,unknown
E23000031,Surrey,,72.01552821899297,*,,601,unknown
E23000033,Sussex,,60.34275542628133,,,766,unknown
E23000029,Thames Valley,,63.373979652485446,*,,1088,unknown
E12000009,South West,,60.650045050233835,,,3379,unknown
E23000036,Avon and Somerset,,56.230719797126866,,,781,unknown
E23000035,Devon and Cornwall,,63.88029399074447,*,*↓,890,unknown
E23000039,Dorset,,63.36519874596311,,,578,unknown
E23000037,Gloucestershire,,55.825255815964226,,*↓,582,unknown
E23000038,Wiltshire,,65.32997008168056,*,,548,unknown
W92000004,WALES,,63.52056371178299,*,,2502,unknown
W15000004,Dyfed-Powys,,67.31795422958946,*,,597,unknown
W15000002,Gwent,,61.65403497297475,,,680,unknown
W15000001,North Wales,,63.307899429403385,,,588,unknown
W15000003,South Wales,,63.01447397216753,,,637,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
"1. Being based on small sample sizes, police force area estimates from the CSEW are less robust than national level estimates and should be treated with extreme caution.",,,,,,,unknown
2. '*' denotes statistically significantly different in comparison with England and Wales while '*↑/↓' denotes statistically significant different in comparison with the year ending March 2017 estimate.,,,,,,,unknown
