"table s22: awareness of police and crime commissioners, by personal characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,,,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentages,,,,Percentages,,unknown
ALL ADULTS,58.5355304587876,30538,,Respondent's employment status,,,unknown
,,,,In employment,58.53027201446245,17245,unknown
Age,,,,Unemployed,43.87203528606698,570,unknown
16–24,32.71353010278567,1997,,Economically inactive,59.48260050084979,12710,unknown
25–34,46.23582728861184,4302,,Student,31.498381622852417,574,unknown
35–44,56.23017400268742,4663,,Looking after family/home,42.95431954085984,1335,unknown
45–54,65.82089920220308,5222,,Long-term/temporarily sick/ill,46.13670612852797,1264,unknown
55–64,70.84137013357733,5078,,Retired,69.75662487866609,9241,unknown
65–74,75.77620699238365,5173,,Other inactive,46.0937768197091,296,unknown
75+,60.76005852237517,4103,,,,,unknown
,,,,Respondent's occupation (NS-SEC),,,unknown
Sex,,,,Managerial and professional occupations,73.01433789108299,10731,unknown
Men,62.245385638438414,14234,,Intermediate occupations,60.6894164952208,7073,unknown
Women,54.99331737867935,16304,,Routine and manual occupations,49.805018112040315,10727,unknown
,,,,Never worked and long-term unemployed,32.717069638301226,930,unknown
Ethnic group,,,,Full-time students,31.89094497634089,879,unknown
White ,60.570348361405145,28354,,Not classified,50.33225974985396,198,unknown
English/Welsh/Scottish/Northern Irish/British,62.27430331689795,26826,,,,,unknown
Irish,63.92690548540945,208,,Highest qualification,,,unknown
"Gypsy, Traveller or Irish Traveller",-,15,,Degree or diploma,69.54966020055333,11764,unknown
Any other White background,30.50328860238709,1305,,Apprenticeship or A/AS level,57.74894644533205,5552,unknown
Mixed/Multiple,48.35325587512836,266,,O level/GCSE,53.1272104366437,5644,unknown
White and Black Caribbean,43.11911041126956,83,,Other,46.661364210577474,1261,unknown
White and Black African,-,44,,,44.04441891143781,6229,unknown
White and Asian,50.70119018056518,71,,,,,unknown
Any other Mixed/Multiple background,48.78661143613017,68,,Long-standing illness or disability ,,,unknown
Asian/Asian British,35.937787769638014,1276,,Long-standing illness or disability ,60.015870529035965,7611,unknown
Indian,39.934534162409975,491,,Limits activities,58.4588643830552,6103,unknown
Pakistani,33.97386871371852,384,,Does not limit activities,65.88969653465962,1505,unknown
Bangladeshi,33.50532796340337,90,,No long-standing illness or disability ,58.06294867744288,22665,unknown
Chinese,29.18135398058898,104,,,,,unknown
Any other Asian background,35.50013881045517,207,,,,,unknown
Black/African/Caribbean/Black British,41.78093798539456,453,,Confidence in police and local council dealing with issues,,,unknown
African,37.774518113577905,279,,Agree,59.120738346715044,17024,unknown
Caribbean,51.89196730872203,147,,No opinion,57.413501796441814,7166,unknown
Any other Black/African/Caribbean background,-,27,,Disagree,59.56949748188434,5039,unknown
Other ethnic group,28.49242882646898,162,,,,,unknown
Arab,-,49,,Experience of crime in last 12 months (excluding fraud and computer misuse),,,unknown
Any other ethnic group,33.028047450929805,113,,Victim,55.83439270290484,3910,unknown
,,,,Not a victim,58.977333366332815,26628,unknown
Marital status,,,,,,,unknown
Married/civil partnered,66.60589916257314,14142,,Experience of crime in last 12 months (including fraud and computer misuse)3,,,unknown
Cohabiting,53.75306801790217,3246,,Victim,58.50118666048497,4265,unknown
Single,43.12240577842388,6351,,Not a victim,58.37800975953642,18394,unknown
Separated,56.283541622075475,885,,,,,unknown
Divorced/legally dissolved partnership,63.60712644759497,2792,,,,,unknown
Widowed,55.661189676628176,3081,,,,,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
1. Section 7.3 of User Guide provides definitions of personal characteristics.,,,,,,,unknown
2. Unweighted base refers to non-London residents only,,,,,,,unknown
3. Combined bases for the 'Experience of crime in the last 12 months (including fraud and computer misuse)' are smaller as questions relating to Fraud victimisation were only been asked of the full sample from October 2017 onwards and were previously only asked of half the sample. ,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
