"table s3: ratings of the local police, by household and area characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Local police,Unweighted base - number of adults,unknown
,"Percentage saying police 
doing a good/excellent job",,unknown
ALL ADULTS,61.688574154127274,32985,unknown
Structure of household,,,unknown
Single adult and child(ren),57.77213597672538,1611,unknown
Adults and child(ren),62.833637430341525,7280,unknown
Adult(s) and no child(ren),61.39454408614051,24094,unknown
Total household income,,,unknown
"Less than £10,000",60.56264011915159,2980,unknown
"£10,000 to less than £20,000",62.12903553903535,6428,unknown
"£20,000 to less than £30,000",61.83843012549781,4994,unknown
"£30,000 to less than £40,000",61.49075380983978,3775,unknown
"£40,000 to less than £50,000",61.03090882665754,2898,unknown
"£50,000 or more",63.67535238071396,6593,unknown
No income stated or not enough information provided,59.57471942574411,5317,unknown
Tenure,,,unknown
Owner occupiers,60.491118808903025,21291,unknown
Social renters,57.238781489685095,5403,unknown
Private renters,67.96365915809132,6128,unknown
Accommodation type ,,,unknown
Houses,60.91581145680814,27986,unknown
Detached,62.27419754247888,8190,unknown
Semi-detached,60.761380644159104,10161,unknown
Terraced,59.96869710544348,9635,unknown
Flats/maisonettes,66.48987483967564,4858,unknown
Other accomodation ,70.82430336647855,62,unknown
Output Area Classification,,,unknown
Rural residents ,62.68819693166012,4402,unknown
Cosmopolitans ,70.5312239440271,1206,unknown
Ethnicity central ,62.29441978664902,1753,unknown
Multicultural metropolitans ,61.32196377811952,3915,unknown
Urbanities ,63.50894186514097,6019,unknown
Suburbanities ,63.790349029389795,7007,unknown
Constrained city dwellers ,57.65217923070867,2381,unknown
Hard-pressed living ,55.88715966475174,6302,unknown
Area type,,,unknown
Urban,61.7063256540769,25736,unknown
Rural,61.61302239852885,7249,unknown
Level of physical disorder,,,unknown
High,59.317974417974185,1676,unknown
Not high,61.83303724788228,31206,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,56.60015812015199,5822,unknown
Other output areas,61.31087511273912,18562,unknown
20% least deprived output areas,67.8704493275927,6099,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide have definitions of area and household characteristics.,,,unknown
