"table s30: worry about crime by personal characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,Adults aged 16 and over,,,unknown
,Worry about burglary,Worry about car crime,Worry about violent crime,Unweighted base - number of adults2,,,Worry about burglary,Worry about car crime,Worry about violent crime,Unweighted base - number of adults2,unknown
,Percentage with high levels of worry,,,,,,Percentage with high levels of worry,,,,unknown
ALL ADULTS,10.055940323179312,6.683607932457051,11.873353700131947,8543,,Respondent's occupation (NS-SEC),,,,,unknown
,,,,,,Managerial and professional occupations,6.65056876488934,5.171162185249989,7.780788924989982,3041,unknown
Age,,,,,,Intermediate occupations,10.517573295861622,7.599756815671103,11.37961623873332,1990,unknown
16-24,7.001922994070017,3.5814307919613175,11.565437884420868,564,,Routine and manual occupations,13.635230740866792,7.935081777719195,16.67121129772604,2888,unknown
25-34,10.596178756505694,7.083901198334745,13.13673601438925,1271,,Never worked and long-term unemployed,20.07555901260937,13.580464355992419,21.80302966152785,289,unknown
35-44,12.325245871028038,7.790300340830542,12.997572785521339,1396,,Full-time students,2.6912858883013913,3.442796376084203,6.309127673266122,262,unknown
45-54,10.820940645486427,7.732224562050225,12.079619020050185,1458,,Not classified,9.174312636795907,4.683452705649781,5.841328349924731,73,unknown
55-64,9.82703253317043,7.902008618734911,11.837084494062486,1374,,,,,,,unknown
65-74,8.797442911335448,5.4672375511956055,10.517021523689667,1374,,Highest qualification,,,,,unknown
75+,10.01064590378425,4.9612986417919265,9.515571720874073,1106,,Degree or diploma,8.040419586810756,5.1718068470851275,9.611477436129721,3498,unknown
,,,,,,Apprenticeship or A/AS level,8.701158767644806,5.759016152837111,9.749692097064273,1486,unknown
Sex,,,,,,O level/GCSE,10.73225695502067,8.413327521928801,14.154618356821896,1471,unknown
Men,8.766363938327014,6.645322611963827,7.539614494927608,3978,,Other,15.568527596653714,8.293336393096657,17.999396762948248,369,unknown
Women,11.279616766073582,6.721501390160375,15.916155439839963,4565,,,14.144939654591068,9.747616068407059,15.58796414700556,1682,unknown
Ethnic group,,,,,,Long-standing illness or disability ,,,,,unknown
White ,8.485631989019417,5.384378657362634,9.624544801391696,7639,,Long-standing illness or disability ,12.693582667265895,7.413617189999585,13.235336849263426,1959,unknown
English/ Welsh/ Scottish/ Northern Irish/ British ,7.780899055698411,5.009678414143033,8.597607168106519,7044,,Limits activities,13.556595506698157,8.751294956892092,13.952825738845778,1591,unknown
Irish ,11.096505141345501,4.945475913700989,4.422700182920618,85,,Does not limit activities,9.228424926235963,3.4186546293183557,10.438054313795181,368,unknown
"Gypsy, Traveller or Irish Traveller ",-,-,-,5,,No long-standing illness or disability ,9.327143577657521,6.5209616115978015,11.526825917635577,6524,unknown
Any other White background,15.513011993238079,11.037031971309677,21.044003113986623,505,,,,,,,unknown
Mixed/Multiple,14.13406885887789,17.243052038179957,16.33831673763323,101,,Experience of crime in last 12 months (excluding fraud and computer misuse),,,,,unknown
White and Black Caribbean ,-,-,-,28,,Victim,15.963652687373308,12.559397798061111,15.604649738736038,1124,unknown
White and Black African ,-,-,-,19,,Not a victim,9.037936900059531,5.6352836345988,11.229709595554468,7419,unknown
White and Asian ,-,-,-,24,,,,,,,unknown
Any other Mixed/ Multiple ethnic background ,-,-,-,30,,Experience of crime in last 12 months (including fraud and computer misuse),,,,,unknown
Asian/Asian British,24.290892667536784,18.719913982142824,31.36894612373299,479,,Victim,13.114014217015896,11.03617186014142,13.810244491870222,1669,unknown
Indian ,20.84701811323873,18.69561814879358,28.025572571709024,186,,Not a victim,9.246228330005598,5.588956528093857,11.359577955503651,6874,unknown
Pakistani ,27.849180267782835,17.55146778455119,29.14811445331294,109,,,,,,,unknown
Bangladeshi ,-,-,-,47,,Religion,,,,,unknown
Chinese ,-,-,-,38,,No religion,7.198323363402963,4.701339400526811,7.445556971713736,3124,unknown
Any other Asian background ,23.482748219584057,24.371289409623135,33.460242941426046,99,,Christian,10.094242036586495,6.531803480746589,12.233432985828667,4818,unknown
Black/African/Caribbean/Black British,14.39519396462407,8.23985541789833,21.67164249801855,250,,Buddhist,-,-,-,41,unknown
African ,15.735012416562796,8.262225908285824,24.141586931954517,155,,Hindu,22.343358375435425,21.66809212112568,29.22297828325383,101,unknown
Caribbean ,11.199976599323422,11.185861270154408,16.21030144785969,80,,Muslim,26.82740109813095,14.077536928548595,32.6512701329947,303,unknown
Any other Black/ African/ Caribbean background,-,-,-,15,,Other,10.382707143369284,11.724238339854816,18.958818088086314,136,unknown
Other ethnic group,13.894007052861202,10.687620286030906,14.308692316052408,65,,,,,,,unknown
Arab ,-,-,-,15,,,,,,,unknown
Any other ethnic group ,14.0286315587738,20.601418241400435,16.75667931624417,50,,,,,,,unknown
Marital status,,,,,,,,,,,unknown
Married/civil partnered,10.563391133206009,7.485913147796089,12.048851337111037,3901,,,,,,,unknown
Cohabiting,8.244440606752327,5.617201604345044,10.614996672719442,910,,,,,,,unknown
Single,9.136628074016805,5.012093358031615,11.466217993399836,1888,,,,,,,unknown
Separated,13.7462270934744,8.81064560847123,11.761761120449735,253,,,,,,,unknown
Divorced/legally dissolved partnership,10.388009972225303,5.86309358214873,13.458498684642928,756,,,,,,,unknown
Widowed,11.78704298932641,6.549454678082729,12.745759071399226,822,,,,,,,unknown
Respondent's employment status,,,,,,,,,,,unknown
In employment,9.324755195613568,6.695976644609404,11.442734482322797,4908,,,,,,,unknown
Unemployed,17.164714249735642,8.316534714475218,17.834426976912575,175,,,,,,,unknown
Economically inactive,10.706294278065354,6.5773090234536475,12.091326623982342,3455,,,,,,,unknown
Student,2.3804354171648434,5.497544409868074,5.18897677480591,172,,,,,,,unknown
Looking after family/home,16.40815628358901,8.28152366501857,19.00110944626452,393,,,,,,,unknown
Long-term/temporarily sick/ill,23.830671008328387,11.954905942242005,23.404926167706076,335,,,,,,,unknown
Retired,8.97034391688386,5.407251847287553,9.922585257004478,2468,,,,,,,unknown
Other inactive,16.158218434003402,15.688611720105216,20.08143052449728,87,,,,,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,unknown
1. See Section 7.3 of User Guide for definitions of personal characteristics.,,,,,,,,,,,unknown
"2. Unweighted base refers to worry about burglary. Bases for violent crime will be similar but for car crime will be slightly lower as this is based only on those residing in households owning, or with use of a vehicle.",,,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,,,unknown
