"table s32: high levels of perceived anti-social behaviour in local area by personal characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,High level of perceived ASB2,Unweighted base - number of adults3,,,High level of perceived ASB2,Unweighted base - number of adults3,unknown
,Percentages:,,,,Percentages:,,unknown
ALL ADULTS,9.599742797657813,8464,,Respondent's occupation (NS-SEC),,,unknown
,,,,Managerial and professional occupations,7.1383898441229094,3061,unknown
Age,,,,Intermediate occupations,7.96591723941006,1942,unknown
16-24,12.263539268960143,580,,Routine and manual occupations,12.003662347785149,2866,unknown
25-34,12.237968972324134,1287,,Never worked and long-term unemployed,16.62136155521389,263,unknown
35-44,12.63903831903794,1365,,Full-time students,13.072537297581244,260,unknown
45-54,10.338772649842268,1477,,Not classified,14.031285806369018,72,unknown
55-64,7.765120061057577,1339,,,,,unknown
65-74,4.901001121291439,1357,,Highest qualification,,,unknown
75+,2.912953729656441,1059,,Degree or diploma,7.955169079721458,3413,unknown
,,,,Apprenticeship or A/AS level,10.981191707183616,1449,unknown
Sex,,,,O level/GCSE,10.300361129388925,1529,unknown
Men,8.217713132353518,4007,,Other,8.371472380031683,377,unknown
Women,10.997646789285096,4457,,,11.64506938402812,1665,unknown
Ethnic group,,,,Long-standing illness or disability ,,,unknown
White ,8.628182750132453,7593,,Long-standing illness or disability ,11.938969462226154,1992,unknown
English/ Welsh/ Scottish/ Northern Irish/ British ,8.655430842808267,7061,,Limits activities,12.554556137864886,1589,unknown
Irish ,4.10862767569066,67,,Does not limit activities,9.756037242453456,402,unknown
"Gypsy, Traveller or Irish Traveller ",-,1,,No long-standing illness or disability ,9.000021089769247,6408,unknown
Any other White background,8.799048660069406,464,,,,,unknown
Mixed/ Multiple ethnic groups,8.684710696953827,87,,Confidence in police and local council dealing with issues,,,unknown
White and Black Caribbean ,-,31,,Agree,6.369700207040424,4941,unknown
White and Black African ,-,10,,No opinion,8.073728066297626,1927,unknown
White and Asian ,-,20,,Disagree,26.159855488567622,1280,unknown
Any other Mixed/ Multiple ethnic background,-,26,,,,,unknown
Asian/ Asian British,17.661711490648877,483,,Religion,,,unknown
Indian ,12.064503705783354,216,,No religion,10.21836071492645,3103,unknown
Pakistani ,25.944031647513377,115,,Christian,7.860585606573197,4774,unknown
Bangladeshi ,-,36,,Buddhist,-,38,unknown
Chinese ,-,39,,Hindu,8.137755750672039,118,unknown
Any other Asian background ,17.635602667786795,77,,Muslim,23.343030682406326,281,unknown
Black/ African/ Caribbean/ Black British,18.7838104215577,213,,Other,13.597052893611266,128,unknown
African ,21.406529328673983,114,,,,,unknown
Caribbean ,15.579763507066993,84,,Experience of crime in last 12 months (excluding fraud and computer misuse),,,unknown
Any other Black/ African/ Caribbean background ,-,15,,Victim,7.973924333024924,1083,unknown
Other ethnic group,8.835276735726097,73,,Not a victim,9.599742797657813,7381,unknown
Arab ,-,28,,,,,unknown
Any other ethnic group ,3.874969382860908,45,,Experience of crime in last 12 months (including fraud and computer misuse)4,,,unknown
,,,,Victim,13.780386753282608,750,unknown
Marital status,,,,Not a victim,7.639250077383683,3487,unknown
Married/civil partnered,8.026495633888384,3871,,,,,unknown
Cohabiting,11.706262024079185,913,,,,,unknown
Single,12.076066246159833,1886,,,,,unknown
Separated,10.110044377588434,240,,,,,unknown
Divorced/legally dissolved partnership,11.547238065481112,744,,,,,unknown
Widowed,5.723061221549329,794,,,,,unknown
Respondent's employment status,,,,,,,unknown
In employment,9.96098684296045,4935,,,,,unknown
Unemployed,11.645253767984194,143,,,,,unknown
Economically inactive,8.80221025916517,3381,,,,,unknown
Student,11.545089259244365,171,,,,,unknown
Looking after family/home,17.212487479764043,381,,,,,unknown
Long-term/temporarily sick/ill,20.057806191448233,373,,,,,unknown
Retired,3.99274680296047,2373,,,,,unknown
Other inactive,19.049624257144938,83,,,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,unknown
1. Section 7.3 of the User Guide provides definitions of the personal characteristics.,,,,,,,unknown
2. This measure is derived from responses to the seven individual anti-social behaviour strands as described in Sections 5.7 and 6.3 of the User Guide.,,,,,,,unknown
3. Questions on perceptions of anti-social behaviour were only asked of one quarter of the CSEW sample in 2015/16.,,,,,,,unknown
4. Combined bases for the 'Experience of crime in the last 12 months (including fraud and computer misuse)' are smaller as questions relating to Fraud victimisation were only been asked of the full sample from October 2017 onwards and were previously only asked of half the sample. ,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
