"table s33: high levels of perceived anti-social behaviour in local area by household and area characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,High level of perceived ASB2,Unweighted base - number of adults3,unknown
,Percentages:,,unknown
ALL ADULTS,9.599742797657813,8464,unknown
Structure of household,,,unknown
Single adult and child(ren),16.24566423964386,396,unknown
Adults and child(ren),11.943669886310625,1855,unknown
Adult(s) and no child(ren),8.487338353684757,6213,unknown
Total household income,,,unknown
"Less than £10,000",14.097610175210795,771,unknown
"£10,000 to less than £20,000",14.119921525533202,1686,unknown
"£20,000 to less than £30,000",9.162330615073142,1298,unknown
"£30,000 to less than £40,000",8.929662567152262,938,unknown
"£40,000 to less than £50,000",9.031783263028156,734,unknown
"£50,000 or more",6.561492011452367,1702,unknown
No income stated or not enough information provided,9.07676604395961,1334,unknown
Tenure,,,unknown
Owner occupiers,7.146577845710889,5461,unknown
Social renters,18.729361796805215,1295,unknown
Private renters,10.665124214862209,1658,unknown
Accommodation type ,,,unknown
Houses,8.920985304612124,7221,unknown
Detached,3.0716072684941755,2180,unknown
Semi-detached,7.585306777122376,2542,unknown
Terraced,14.987033985697535,2499,unknown
Flats/maisonettes,13.996509764598,1220,unknown
Other,-,8,unknown
Output Area Classification,,,unknown
Rural residents,1.2145779800922332,1194,unknown
Cosmopolitans,10.19490924587721,320,unknown
Ethnicity central,16.012586997953353,435,unknown
Multicultural metropolitans,17.864708868194974,991,unknown
Urbanites,5.7629882221742745,1583,unknown
Suburbanites,3.0608449993356204,1744,unknown
Constrained city dwellers,19.37546047279461,593,unknown
Hard-pressed living,14.554963249496181,1604,unknown
Area type,,,unknown
Urban,11.23397290114139,6565,unknown
Rural,2.7332580965210953,1899,unknown
Level of physical disorder,,,unknown
High,27.54184168515033,424,unknown
Not high,8.568081134515802,8013,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,23.43102650187481,1443,unknown
Other output areas,7.851756782824336,4743,unknown
20% least deprived output areas,2.86401235760955,1637,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of the household and area characteristics.,,,unknown
2. This measure is derived from responses to the seven individual anti-social behaviour strands as described in Sections 5.7 and 6.3 of the User Guide.,,,unknown
3. Questions on perceptions of anti-social behaviour were only asked of one quarter of the CSEW sample in 2015/16.,,,unknown
