"table s34: prevalence of domestic abuse, sexual assault and stalking among adults aged 16 to 59 and 16 to 741,2, by type, year ending march 2018 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,age_band
England and Wales,,,,,,,,,,,,,,,,Adults aged 16 to 59/Adults aged 16 to 74,unknown
,Since the age of 16,,,,,,,,In the last year,,,,,,,,unknown
,Adults aged 16 to 59,,,,Adults aged 16 to 74,,,,Adults aged 16 to 59,,,,Adults aged 16 to 74,,,,unknown
,Men,Women,All,,Men,Women,All,,Men,Women,All,,Men,Women,All,,unknown
,Percentage who were victims once or more,,,,,,,,,,,,,,,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",13.177042376118015,28.877331676590533,20.998645178591673,,12.367756159573023,26.866479550965096,19.61150817446038,,4.209783677197024,7.928619295190161,6.0584701070405,,3.712306612028815,6.943145923361787,5.323028769477507,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",9.988040409667695,24.86592044893503,17.38122886100377,,9.294560430642111,23.07109127771206,16.161529570131897,,2.731632968346679,6.25643182401829,4.480210865925025,,2.3792662588427786,5.499781506416217,3.9321516409847455,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",6.0262005114668105,10.835817691316636,8.421838590700466,,5.645690449279214,10.091234578068134,7.866473368523361,,1.967774763843609,2.4418944907078743,2.2038173611100356,,1.7269557994583489,2.0978562748526874,1.9121393162236926,,unknown
Partner abuse - non-sexual,8.887629819916839,21.806330019873517,15.313159736006371,,8.24998843660982,20.22073456026768,14.22513779715498,,2.4440542294732626,5.635156992500675,4.030817580187002,,2.1158728969594978,4.97497718484753,3.5425111901000683,,unknown
"Non-physical abuse (emotional, financial)",5.108426702861241,15.933806774873474,10.488589689435628,,4.493915445444643,14.66153432386999,9.568934565474143,,1.537903035450295,4.50542459553288,3.0116067403705293,,1.3215248236183244,3.9484196890724292,2.631540280059258,,unknown
Threats or force,6.704497786011456,18.226512616063612,12.429009186508543,,6.247156559271389,16.959626538014934,11.588215218722105,,1.4357023386824814,3.005932987621249,2.215538622929863,,1.2383363585061777,2.650173676762456,1.942004891866608,,unknown
Threats,3.657223209589902,14.89604827842416,9.237499122820852,,3.3229714314141314,13.761824091360083,8.52593562784517,,0.7588431074904735,2.325797667252986,1.5366418408213913,,0.6411589105491705,2.0575218255118104,1.3468731625484525,,unknown
Force,6.059890050907231,15.465009365915686,10.723506769984436,,5.659089358916627,14.540060118433257,10.078869338305667,,1.2077082634956502,1.6749602024013903,1.4392071189005924,,1.0420012978492077,1.4589723500683283,1.2493684381385786,,unknown
Family abuse - non-sexual,5.309898063694581,8.353065139169905,6.830905450607217,,4.944631098823182,7.645329218242777,6.299001235093634,,1.7307492653678263,1.9106647887362975,1.820668671831246,,1.53482542137187,1.628082241995897,1.5815909070947072,,unknown
"Non-physical abuse (emotional, financial)",2.630226747940564,4.6447683523116865,3.637006426909022,,2.3492043249662053,4.219870811643787,3.2876363843074787,,1.2047538893839598,1.4503686865577519,1.3273925839252774,,1.0733581636492646,1.2182015387462384,1.1459718866285846,,unknown
Threats or force,3.60816349728538,6.559335089565946,5.082272505002657,,3.437263701240277,6.002287432846435,4.722953036699338,,0.699439476997115,1.04420538390789,0.8716320330774185,,0.6143922089090437,0.8799210277318339,0.747482141205441,,unknown
Threats,2.1608375529878865,4.42821344329232,3.2923903066274027,,2.0652416635755926,4.0558871411635105,3.0622603632517236,,0.42661993887078886,0.8438555531453497,0.6347839570449838,,0.37704341547585557,0.7202096478314531,0.548871060799845,,unknown
Force,3.031664373126107,4.949656663086295,3.989540507726599,,2.824494580320739,4.517550180433925,3.673006800239351,,0.441740425006402,0.5903806520533996,0.5159621222724979,,0.37308788527869596,0.48569124897761434,0.4295158942405089,,unknown
Any sexual assault (including attempts),4.5253264760297265,24.27686831922042,14.3543441314326,,4.20921152241751,23.839679645041638,14.013145121815723,,1.2051636905979535,4.231519381171258,2.7103850877196853,,1.0043367974792738,3.5095406559023528,2.254649370797854,,unknown
Sexual assault by rape or penetration including attempts,0.4535638599161691,7.729657224163447,4.073244809870189,,0.39512775948655515,6.997585008985035,3.6913020882003984,,0.06470227854295114,0.9102622674762196,0.48524557990331846,,0.05204125140249196,0.7601457387526636,0.4054829417720646,,unknown
Sexual assault by rape or penetration excluding attempts,0.3946905028103759,6.321440395521565,3.342808202998486,,0.3248756394197242,5.727812764014402,3.0217385955228724,,0.04920942522810108,0.6581073616225375,0.3519905221971388,,0.03957828295919101,0.5256013988730663,0.2821115426270826,,unknown
- Rape including attempts,0.39711474408226993,6.887461422206768,3.624956226753525,,0.34225672475113494,6.201051923508799,3.265878428743311,,0.049221473022368546,0.6754062635741895,0.36056575720012274,,0.03958280775597384,0.5457901955450379,0.2921384187375604,,unknown
- Rape excluding attempts,0.37377437398554314,5.7182816489121215,3.027774776091871,,0.30059184295525043,5.119635028967342,2.702196052179721,,0.04929051549743652,0.44279306296332,0.24463265163251988,,0.03963976110936344,0.35353419873843217,0.19602974264244127,,unknown
