"table s5:  perceptions of the local police by personal characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
ALL ADULTS,61.70567326487322,87.98606134265407,68.42579213319398,69.60999034889772,59.42777637761375,81.16358950964138,78.37150337194413,34293,unknown
Age,,,,,,,,,unknown
16-24,71.17406088185069,86.7766616158247,67.22728040447807,69.69123728744076,62.04178397923924,81.95869317827834,80.08049679413921,2291,unknown
25-34,66.87492766799853,85.35731679394088,69.86985006979818,67.38857253459054,58.76440069712076,80.4548694207403,78.04964580746827,5063,unknown
35-44,64.22804941160341,87.88071645055527,70.06733096922754,70.32954618274252,59.70491452136161,81.1661182280275,78.0973129911246,5512,unknown
45-54,56.75813266148882,87.36450612923467,66.8574505962153,68.46620708332803,56.2177446897444,79.30994778395042,76.45662945682852,5875,unknown
55-64,54.084172109419335,88.35839449270682,65.92380472551612,69.02370237029896,55.783750272664314,79.4201419041216,76.00163653521261,5609,unknown
65-74,55.05106118994889,89.97591204878843,67.4567554590057,70.17082895729708,59.19931830065379,81.77273275173846,78.03532616602996,5552,unknown
75+,62.79644820452803,92.0922409059613,72.36396008746686,74.28181785054363,67.74196009632992,86.38426602091174,84.57962520381808,4391,unknown
Men,59.92117149102197,86.77162819048624,68.84132448692016,68.02577500261093,57.544102132889506,81.4044640092288,77.72700857838747,15998,unknown
16-24,68.70834124542927,85.19808739544186,67.16116197795246,69.56919296555476,61.24356512958384,80.15038249037455,78.69675784164697,1120,unknown
25-34,65.37910040474912,83.82505228982743,69.37758636041266,65.49489020371537,56.61251355308322,81.01181881298717,78.0165306094199,2258,unknown
35-44,63.57009926151653,88.05390488122607,70.95792056696168,68.87982486107344,58.71222162271882,82.75211722754281,77.78948055039618,2511,unknown
45-54,55.34862151866383,86.75275614781,68.81374281551066,66.78758977854784,53.64426962172024,80.24602737988245,75.98911619109684,2743,unknown
55-64,52.82268308810127,87.38590105183293,67.34601971708535,67.84836752544469,54.471820059224974,80.60225541660914,76.41781715640312,2661,unknown
65-74,53.42226002134859,88.11160851577354,67.58609901971153,68.59101270570376,57.33686455954877,81.22380544675181,76.77756875251409,2764,unknown
75+,58.50489884984286,89.94772614205874,70.90262086807235,71.2214926490932,64.98430699499058,85.75772381241079,82.6267710928586,1941,unknown
Women,63.11238374509789,89.08449839346096,67.94592075630696,71.06157641571077,61.104060086214915,80.88877500747417,78.99103974729805,18295,unknown
16-24,73.7638921170023,88.42717208942655,67.2967982916669,69.81990770520828,62.886126417514596,83.86239139169577,81.52798565290018,1171,unknown
