"table s6:  perceptions of the local police by household and area characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over/households,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
ALL ADULTS,61.70567326487322,87.98606134265407,68.42579213319398,69.60999034889772,59.42777637761375,81.16358950964138,78.37150337194413,34293,unknown
Structure of household,,,,,,,,,unknown
Single adult and child(ren),61.17960559418534,83.60801841831052,63.74835366242423,66.02412291451549,54.95441210268097,73.42752952292844,70.30288893980031,1657,unknown
Adults and child(ren),64.50154531320538,88.17111433938703,70.61258101210913,70.55753362970623,60.41753108861736,82.00123351440482,79.22721359284249,7461,unknown
Adult(s) and no child(ren),60.43018804760857,88.03314862006756,67.70680602986897,69.32286738923646,59.1096680479352,81.10456279718765,78.3490567874913,25175,unknown
Total household income,,,,,,,,,unknown
"Less than £10,000",63.103025828002735,87.20156558858244,67.67378618915981,70.71849416455893,63.247028952322005,78.00495988076133,75.46395338185523,3111,unknown
"£10,000 to less than £20,000",62.5823935435224,88.27991996656918,69.44852527291805,71.96686736484222,62.93600082866027,80.35808836910948,77.31864012245714,6652,unknown
"£20,000 to less than £30,000",60.30221345370836,87.69271129344021,69.58830560116127,69.82974010516254,60.76902248433513,80.52598442925263,77.83238478789765,5175,unknown
"£30,000 to less than £40,000",59.701061728822424,87.43600142337753,68.5263101698474,69.17735018273144,58.09768026072548,80.63723307033452,78.38076090524193,3911,unknown
"£40,000 to less than £50,000",59.78417051609172,88.68904924503835,68.65300557278832,69.11434584129601,56.31842068255559,81.83678929963378,79.76176382070899,2974,unknown
"£50,000 or more",62.65633755598443,89.33514389585828,67.75912901306927,69.08968176077444,57.60667629288383,83.59249349707117,81.27391140795208,6780,unknown
No income stated or not enough information provided,61.714961232499434,86.41902614387182,67.4089198059469,68.07947331182889,58.46160016595007,80.2302043330552,76.40157589535569,5689,unknown
Tenure,,,,,,,,,unknown
Owner occupiers,59.002467667481774,89.18804253950185,68.75244098692355,70.08269863163511,58.03295915430824,82.22753980858019,79.22095174340193,22182,unknown
Social renters,61.43621070183871,84.55227225127369,66.03568891695647,67.07172001361896,60.38053876040572,75.43127371482008,72.64143726639381,5583,unknown
Private renters,68.94207387994017,86.87735200032247,69.16597554916412,70.10881900112311,62.62820913214673,82.12262002816672,80.1545231089038,6350,unknown
Accommodation type ,,,,,,,,,unknown
Houses,60.45518684700439,88.06652109790252,68.38205508539428,69.4236362696897,58.81867875912844,81.17989024572663,78.24830608288241,29068,unknown
Detached,58.596226864822654,89.23140828269158,68.29757370960462,70.34866726323872,58.02820675080243,83.00247021886914,79.79620871683724,8566,unknown
Semi-detached,60.05998944572713,88.19993201027685,69.34164585460533,69.09414080334643,59.06928837174106,80.60995598298146,77.85441766819467,10544,unknown
Terraced,62.37833264688862,86.97025354118793,67.46875940683134,69.00560200767998,59.20935954980582,80.26220759757395,77.37684615536263,9958,unknown
