"table s8: public confidence in the police and local council by personal characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",,,Agree,No opinion,Disagree,"Unweighted base
 - number of adults",unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,,,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,58.768093499934906,24.61964510236578,16.612261397699804,33193,,Respondent's employment status,,,,,unknown
,,,,,,In employment,58.32677832700919,24.68031656791635,16.992905105075177,19209,unknown
Age,,,,,,Unemployed,55.09280405447945,25.064740854919794,19.842455090600698,631,unknown
16-24,62.49816379180378,23.797976445552944,13.70385976264302,2230,,Economically inactive,59.840684528653675,24.44533923177953,15.71397623956704,13338,unknown
25-34,58.66400447170549,24.77294882604715,16.563046702247174,4907,,Student,64.85480211536284,25.269432619094147,9.875765265543054,679,unknown
35-44,57.867251123947064,24.476645065620914,17.656103810432334,5366,,Looking after family/home,58.13122942352634,22.254623304822946,19.614147271650655,1519,unknown
45-54,55.421152333552534,24.966784276945422,19.61206338950208,5748,,Long-term/temporarily sick/ill,53.156669204427864,23.311247246527618,23.532083549044497,1386,unknown
55-64,56.840443678859934,24.54772395856831,18.611832362571924,5457,,Retired,60.60510201171512,25.036589960907918,14.358308027376948,9402,unknown
65-74,58.654830269043025,25.37799565291144,15.967174078045504,5339,,Other inactive,54.427414141799005,22.838605933398085,22.73397992480288,352,unknown
75+,64.73898301975916,24.197625988289957,11.06339099195114,4146,,,,,,,unknown
,,,,,,Respondent's occupation (NS-SEC),,,,,unknown
Sex,,,,,,Managerial and professional occupations,57.89354695315107,25.580598927328584,16.525854119520172,11950,unknown
Men,57.83328765213099,24.87803700574409,17.28867534212524,15537,,Intermediate occupations,58.543695590490664,24.37803057319009,17.078273836319216,7602,unknown
Women,59.67179983099107,24.36984949023369,15.958350678775377,17656,,Routine and manual occupations,58.79829504615972,23.720642188290444,17.48106276554964,11254,unknown
,,,,,,Never worked and long-term unemployed,58.45148480402106,24.375145066422387,17.17337012955646,1097,unknown
Ethnic group,,,,,,Full-time students,64.24050539012092,24.860404444210065,10.899090165668998,1032,unknown
White ,,,,,,Not classified,60.773458139315785,24.831642661130722,14.394899199553551,258,unknown
English/Welsh/Scottish/Northern Irish/British,57.932080460250624,24.7844060086881,17.28351353106205,27539,,,,,,,unknown
Irish,62.87894208694117,20.423115872920956,16.69794204013787,283,,Highest qualification,,,,,unknown
Gypsy/Irish Traveller,-,-,-,14,,Degree or diploma,58.88443742286802,25.05069134770303,16.064871229429333,13410,unknown
Any other White background,65.28489306467922,23.44457132258258,11.270535612738266,1836,,Apprenticeship or A/AS level,58.10877657103492,23.837699009644336,18.05352441932064,5820,unknown
Mixed/Multiple,,,,,,O level/GCSE,57.170279517266366,25.479523235583635,17.350197247150092,5932,unknown
White and Black Caribbean,55.25345274692172,24.32125082958035,20.4252964234979,118,,Other,61.505437495692995,21.583656864607082,16.910905639700015,1380,unknown
White and Black African,58.75024705448454,31.38928618260049,9.86046676291493,61,,,60.45141379840218,24.07014028259456,15.478445919003509,6547,unknown
White and Asian,50.778140367842475,27.107925158254947,22.11393447390257,83,,,,,,,unknown
Any other Mixed/Multiple ethnic background,47.55766429647216,31.312157020525806,21.13017868300201,100,,Long-standing illness or disability ,,,,,unknown
Asian/Asian British,,,,,,Long-standing illness or disability ,55.68414236702208,24.42674708191428,19.889110551063325,7855,unknown
Indian,60.272423594579436,23.352598723298197,16.374977682122356,744,,Limits activities,54.66112633112806,24.654332988158988,20.6845406807129,6314,unknown
Pakistani,55.88392031146151,24.454227093050623,19.661852595487943,475,,Does not limit activities,59.62982604925548,23.582074628890187,16.788099321854276,1538,unknown
Bangladeshi,65.89324066200679,16.85698915054563,17.24977018744756,172,,No long-standing illness or disability ,59.58624395933416,24.653327735220635,15.760428305445744,25056,unknown
