attribute,value,n,accuracy,f1,precision,recall,selection_rate
age_group,1,8,1.0,1.0,1.0,1.0,0.125
age_group,2,16,1.0,1.0,1.0,1.0,0.1875
age_group,3,27,1.0,1.0,1.0,1.0,0.25925925925925924
age_group,4,21,1.0,1.0,1.0,1.0,0.38095238095238093
age_group,5,28,1.0,1.0,1.0,1.0,0.25
gender,0,57,1.0,1.0,1.0,1.0,0.2807017543859649
gender,1,43,1.0,1.0,1.0,1.0,0.23255813953488372
deprivation,1,20,1.0,1.0,1.0,1.0,0.15
deprivation,2,13,1.0,1.0,1.0,1.0,0.38461538461538464
deprivation,3,22,1.0,1.0,1.0,1.0,0.18181818181818182
deprivation,4,26,1.0,1.0,1.0,1.0,0.23076923076923078
deprivation,5,19,1.0,1.0,1.0,1.0,0.42105263157894735
