feature,mean_abs_shap
phq9_tier_code,2.1563174742773317
gad7_tier_code,1.1716705708123083
severity_index,0.523846623949662
phq9_score,0.32379267150486085
high_deprivation,0.27567343934003663
gad7_score,0.2631008749649285
high_risk,0.1889363212088462
comorbidity_count,0.14960623458846764
flag_depression,0.14603949752054635
age_band_code,0.13258700080019242
imd_proxy,0.10890213668009496
flag_comorbid_anx_dep,0.02238909803826895
flag_anxiety,0.014529087664068007
phq9_change_code,0.0
gad7_change_code,0.0
